ts_code,category,years_with_data,min_rows_per_year
300008.SZ,suspended_or_missing_days,5,241
300010.SZ,suspended_or_missing_days,5,240
300011.SZ,suspended_or_missing_days,5,238
300013.SZ,suspended_or_missing_days,5,237
300015.SZ,other_incomplete,5,242
300018.SZ,suspended_or_missing_days,5,237
300020.SZ,suspended_or_missing_days,5,241
300022.SZ,suspended_or_missing_days,5,238
300023.SZ,mid_year_IPO_or_delisted,3,92
300029.SZ,suspended_or_missing_days,5,241
300038.SZ,mid_year_IPO_or_delisted,3,91
300044.SZ,suspended_or_missing_days,5,241
300050.SZ,suspended_or_missing_days,5,238
300051.SZ,suspended_or_missing_days,5,237
300052.SZ,suspended_or_missing_days,5,233
300056.SZ,other_incomplete,5,242
300064.SZ,mid_year_IPO_or_delisted,3,92
300065.SZ,suspended_or_missing_days,5,238
300069.SZ,suspended_or_missing_days,5,233
300070.SZ,suspended_or_missing_days,5,237
300071.SZ,suspended_or_missing_days,5,240
300073.SZ,suspended_or_missing_days,5,233
300077.SZ,suspended_or_missing_days,5,238
300083.SZ,suspended_or_missing_days,5,233
300084.SZ,suspended_or_missing_days,5,238
300089.SZ,mid_year_IPO_or_delisted,4,93
300090.SZ,mid_year_IPO_or_delisted,1,128
300096.SZ,suspended_or_missing_days,5,241
300097.SZ,suspended_or_missing_days,5,241
300103.SZ,suspended_or_missing_days,5,237
300106.SZ,suspended_or_missing_days,5,233
300108.SZ,suspended_or_missing_days,5,203
300116.SZ,suspended_or_missing_days,5,86
300117.SZ,suspended_or_missing_days,5,241
300121.SZ,suspended_or_missing_days,5,237
300125.SZ,suspended_or_missing_days,5,241
300128.SZ,suspended_or_missing_days,5,233
300129.SZ,suspended_or_missing_days,5,238
300131.SZ,suspended_or_missing_days,5,232
300135.SZ,suspended_or_missing_days,5,237
300137.SZ,suspended_or_missing_days,5,241
300140.SZ,suspended_or_missing_days,5,232
300145.SZ,suspended_or_missing_days,5,234
300152.SZ,suspended_or_missing_days,5,232
300156.SZ,mid_year_IPO_or_delisted,1,124
300157.SZ,other_incomplete,5,242
300159.SZ,suspended_or_missing_days,5,241
300163.SZ,suspended_or_missing_days,5,234
300164.SZ,suspended_or_missing_days,5,233
300165.SZ,suspended_or_missing_days,5,237
300167.SZ,suspended_or_missing_days,5,241
300169.SZ,suspended_or_missing_days,5,237
300173.SZ,other_incomplete,5,242
300175.SZ,suspended_or_missing_days,5,238
300178.SZ,mid_year_IPO_or_delisted,3,89
300182.SZ,suspended_or_missing_days,5,240
300185.SZ,suspended_or_missing_days,5,239
300189.SZ,suspended_or_missing_days,5,234
300197.SZ,suspended_or_missing_days,5,232
300198.SZ,suspended_or_missing_days,5,240
300200.SZ,suspended_or_missing_days,5,237
300201.SZ,suspended_or_missing_days,5,202
300202.SZ,mid_year_IPO_or_delisted,3,91
300205.SZ,suspended_or_missing_days,5,241
300208.SZ,suspended_or_missing_days,5,241
300209.SZ,suspended_or_missing_days,5,240
300210.SZ,suspended_or_missing_days,5,240
300211.SZ,other_incomplete,5,242
300220.SZ,suspended_or_missing_days,5,241
300237.SZ,suspended_or_missing_days,5,237
300253.SZ,suspended_or_missing_days,5,238
300256.SZ,suspended_or_missing_days,5,233
300261.SZ,suspended_or_missing_days,5,230
300262.SZ,suspended_or_missing_days,5,108
300266.SZ,suspended_or_missing_days,5,237
300268.SZ,suspended_or_missing_days,5,241
300269.SZ,suspended_or_missing_days,5,240
300270.SZ,suspended_or_missing_days,5,238
300273.SZ,mid_year_IPO_or_delisted,4,93
300277.SZ,suspended_or_missing_days,5,232
300278.SZ,suspended_or_missing_days,5,241
300279.SZ,suspended_or_missing_days,5,240
300280.SZ,suspended_or_missing_days,5,232
300282.SZ,suspended_or_missing_days,5,93
300284.SZ,suspended_or_missing_days,5,238
300294.SZ,suspended_or_missing_days,5,239
300295.SZ,suspended_or_missing_days,5,233
300297.SZ,mid_year_IPO_or_delisted,4,90
300299.SZ,suspended_or_missing_days,5,235
300300.SZ,suspended_or_missing_days,5,241
300301.SZ,suspended_or_missing_days,5,234
300307.SZ,suspended_or_missing_days,5,238
300309.SZ,mid_year_IPO_or_delisted,4,71
300312.SZ,mid_year_IPO_or_delisted,3,92
300313.SZ,suspended_or_missing_days,5,231
300319.SZ,suspended_or_missing_days,5,232
300323.SZ,suspended_or_missing_days,5,237
300324.SZ,suspended_or_missing_days,5,237
300325.SZ,mid_year_IPO_or_delisted,3,92
300330.SZ,mid_year_IPO_or_delisted,4,15
300334.SZ,suspended_or_missing_days,5,238
300336.SZ,mid_year_IPO_or_delisted,4,91
300338.SZ,suspended_or_missing_days,5,241
300339.SZ,suspended_or_missing_days,5,238
300340.SZ,suspended_or_missing_days,5,237
300344.SZ,suspended_or_missing_days,5,238
300346.SZ,suspended_or_missing_days,5,234
300353.SZ,suspended_or_missing_days,5,233
300356.SZ,mid_year_IPO_or_delisted,4,91
300362.SZ,mid_year_IPO_or_delisted,2,30
300367.SZ,mid_year_IPO_or_delisted,3,90
300368.SZ,suspended_or_missing_days,5,241
300370.SZ,suspended_or_missing_days,5,240
300376.SZ,suspended_or_missing_days,5,241
300391.SZ,suspended_or_missing_days,5,240
300392.SZ,mid_year_IPO_or_delisted,4,93
300393.SZ,suspended_or_missing_days,5,240
300396.SZ,suspended_or_missing_days,5,238
300397.SZ,suspended_or_missing_days,5,233
300405.SZ,suspended_or_missing_days,5,233
300410.SZ,suspended_or_missing_days,5,238
300419.SZ,suspended_or_missing_days,5,232
300420.SZ,suspended_or_missing_days,5,237
300422.SZ,suspended_or_missing_days,5,237
300424.SZ,suspended_or_missing_days,5,238
300426.SZ,suspended_or_missing_days,5,239
300427.SZ,suspended_or_missing_days,5,238
300431.SZ,mid_year_IPO_or_delisted,1,146
300437.SZ,suspended_or_missing_days,5,238
300438.SZ,suspended_or_missing_days,5,239
300440.SZ,suspended_or_missing_days,5,239
300442.SZ,suspended_or_missing_days,5,233
300443.SZ,suspended_or_missing_days,5,238
300446.SZ,suspended_or_missing_days,5,231
300449.SZ,suspended_or_missing_days,5,238
300451.SZ,suspended_or_missing_days,5,238
300460.SZ,suspended_or_missing_days,5,237
300461.SZ,suspended_or_missing_days,5,239
300469.SZ,suspended_or_missing_days,5,239
300473.SZ,suspended_or_missing_days,5,234
300475.SZ,suspended_or_missing_days,5,236
300479.SZ,suspended_or_missing_days,5,237
300489.SZ,suspended_or_missing_days,5,237
300492.SZ,suspended_or_missing_days,5,240
300495.SZ,suspended_or_missing_days,5,81
300506.SZ,suspended_or_missing_days,5,234
300513.SZ,suspended_or_missing_days,5,237
300521.SZ,suspended_or_missing_days,5,232
300525.SZ,suspended_or_missing_days,5,233
300526.SZ,mid_year_IPO_or_delisted,4,92
300530.SZ,suspended_or_missing_days,5,237
300534.SZ,suspended_or_missing_days,5,232
300536.SZ,suspended_or_missing_days,5,241
300539.SZ,other_incomplete,5,242
300540.SZ,suspended_or_missing_days,5,238
300548.SZ,suspended_or_missing_days,5,238
300555.SZ,suspended_or_missing_days,5,241
300561.SZ,suspended_or_missing_days,5,233
300569.SZ,suspended_or_missing_days,5,238
300571.SZ,suspended_or_missing_days,5,238
300592.SZ,suspended_or_missing_days,5,232
300596.SZ,suspended_or_missing_days,5,234
300599.SZ,suspended_or_missing_days,5,233
300600.SZ,suspended_or_missing_days,5,241
300604.SZ,suspended_or_missing_days,5,232
300613.SZ,suspended_or_missing_days,5,232
300614.SZ,mid_year_IPO_or_delisted,4,151
300630.SZ,suspended_or_missing_days,5,198
300638.SZ,suspended_or_missing_days,5,236
300641.SZ,suspended_or_missing_days,5,237
300645.SZ,suspended_or_missing_days,5,233
300657.SZ,suspended_or_missing_days,5,236
300660.SZ,suspended_or_missing_days,5,233
300665.SZ,suspended_or_missing_days,5,233
300666.SZ,other_incomplete,5,242
300670.SZ,suspended_or_missing_days,5,233
300678.SZ,suspended_or_missing_days,5,233
300679.SZ,suspended_or_missing_days,5,232
300688.SZ,suspended_or_missing_days,5,232
300697.SZ,suspended_or_missing_days,5,238
300703.SZ,suspended_or_missing_days,5,239
300710.SZ,suspended_or_missing_days,5,238
300716.SZ,suspended_or_missing_days,5,237
300717.SZ,suspended_or_missing_days,5,235
300720.SZ,suspended_or_missing_days,5,233
300722.SZ,suspended_or_missing_days,5,241
300737.SZ,suspended_or_missing_days,5,233
300742.SZ,suspended_or_missing_days,5,93
300746.SZ,suspended_or_missing_days,5,240
300757.SZ,suspended_or_missing_days,5,232
300765.SZ,suspended_or_missing_days,5,232
300772.SZ,suspended_or_missing_days,5,236
300774.SZ,mid_year_IPO_or_delisted,4,101
300781.SZ,suspended_or_missing_days,5,238
300784.SZ,mid_year_IPO_or_delisted,1,140
300795.SZ,suspended_or_missing_days,5,241
300799.SZ,suspended_or_missing_days,5,86
300802.SZ,other_incomplete,5,242
300804.SZ,mid_year_IPO_or_delisted,2,128
300807.SZ,suspended_or_missing_days,5,240
300809.SZ,suspended_or_missing_days,5,238
300812.SZ,suspended_or_missing_days,5,238
300813.SZ,suspended_or_missing_days,5,235
300814.SZ,mid_year_IPO_or_delisted,4,95
300815.SZ,suspended_or_missing_days,5,228
300816.SZ,suspended_or_missing_days,5,222
300817.SZ,suspended_or_missing_days,5,216
300818.SZ,suspended_or_missing_days,5,220
300819.SZ,suspended_or_missing_days,5,199
300820.SZ,suspended_or_missing_days,5,219
300821.SZ,suspended_or_missing_days,5,199
300822.SZ,suspended_or_missing_days,5,198
300823.SZ,suspended_or_missing_days,5,194
300824.SZ,suspended_or_missing_days,5,132
300825.SZ,suspended_or_missing_days,5,188
300826.SZ,suspended_or_missing_days,5,183
300827.SZ,suspended_or_missing_days,5,179
300828.SZ,suspended_or_missing_days,5,172
300829.SZ,suspended_or_missing_days,5,171
300830.SZ,suspended_or_missing_days,5,164
300831.SZ,suspended_or_missing_days,5,163
300832.SZ,suspended_or_missing_days,5,160
300833.SZ,suspended_or_missing_days,5,154
300834.SZ,mid_year_IPO_or_delisted,3,235
300835.SZ,suspended_or_missing_days,5,151
300836.SZ,suspended_or_missing_days,5,148
300837.SZ,suspended_or_missing_days,5,142
300838.SZ,suspended_or_missing_days,5,141
300839.SZ,suspended_or_missing_days,5,127
300840.SZ,suspended_or_missing_days,5,121
300841.SZ,suspended_or_missing_days,5,135
300842.SZ,suspended_or_missing_days,5,133
300843.SZ,suspended_or_missing_days,5,125
300844.SZ,mid_year_IPO_or_delisted,4,94
300845.SZ,suspended_or_missing_days,5,124
300846.SZ,suspended_or_missing_days,5,126
300847.SZ,suspended_or_missing_days,5,120
300848.SZ,suspended_or_missing_days,5,113
300849.SZ,suspended_or_missing_days,5,119
300850.SZ,suspended_or_missing_days,5,118
300851.SZ,suspended_or_missing_days,5,114
300852.SZ,suspended_or_missing_days,5,118
300853.SZ,suspended_or_missing_days,5,109
300854.SZ,mid_year_IPO_or_delisted,4,70
300855.SZ,suspended_or_missing_days,5,110
300856.SZ,suspended_or_missing_days,5,111
300857.SZ,suspended_or_missing_days,5,108
300858.SZ,suspended_or_missing_days,5,108
300859.SZ,suspended_or_missing_days,5,100
300860.SZ,suspended_or_missing_days,5,88
300861.SZ,suspended_or_missing_days,5,88
300862.SZ,suspended_or_missing_days,5,88
300863.SZ,suspended_or_missing_days,5,88
300864.SZ,suspended_or_missing_days,5,88
300865.SZ,suspended_or_missing_days,5,88
300866.SZ,suspended_or_missing_days,5,88
300867.SZ,suspended_or_missing_days,5,88
300868.SZ,suspended_or_missing_days,5,88
300869.SZ,suspended_or_missing_days,5,88
300870.SZ,suspended_or_missing_days,5,88
300871.SZ,suspended_or_missing_days,5,88
300872.SZ,suspended_or_missing_days,5,88
300873.SZ,suspended_or_missing_days,5,88
300875.SZ,suspended_or_missing_days,5,88
300876.SZ,suspended_or_missing_days,5,88
300877.SZ,suspended_or_missing_days,5,88
300878.SZ,suspended_or_missing_days,5,88
300879.SZ,suspended_or_missing_days,5,82
300880.SZ,suspended_or_missing_days,5,82
300881.SZ,suspended_or_missing_days,5,82
300882.SZ,suspended_or_missing_days,5,75
300883.SZ,suspended_or_missing_days,5,75
300884.SZ,suspended_or_missing_days,5,36
300885.SZ,suspended_or_missing_days,5,75
300886.SZ,suspended_or_missing_days,5,71
300887.SZ,suspended_or_missing_days,5,71
300888.SZ,suspended_or_missing_days,5,70
300889.SZ,suspended_or_missing_days,5,71
300890.SZ,suspended_or_missing_days,5,70
300891.SZ,suspended_or_missing_days,5,70
300892.SZ,suspended_or_missing_days,5,65
300893.SZ,suspended_or_missing_days,5,65
300894.SZ,suspended_or_missing_days,5,1
300895.SZ,suspended_or_missing_days,5,65
300896.SZ,suspended_or_missing_days,5,63
300897.SZ,suspended_or_missing_days,5,63
300898.SZ,suspended_or_missing_days,5,55
300899.SZ,suspended_or_missing_days,5,55
300900.SZ,suspended_or_missing_days,5,46
300901.SZ,suspended_or_missing_days,5,46
300902.SZ,suspended_or_missing_days,5,46
300903.SZ,suspended_or_missing_days,5,41
300904.SZ,mid_year_IPO_or_delisted,2,97
300905.SZ,suspended_or_missing_days,5,41
300906.SZ,suspended_or_missing_days,5,41
300907.SZ,suspended_or_missing_days,5,32
300908.SZ,suspended_or_missing_days,5,29
300909.SZ,suspended_or_missing_days,5,32
300910.SZ,suspended_or_missing_days,5,25
300911.SZ,suspended_or_missing_days,5,21
300912.SZ,suspended_or_missing_days,5,19
300913.SZ,suspended_or_missing_days,5,19
300915.SZ,suspended_or_missing_days,5,22
300916.SZ,suspended_or_missing_days,5,22
300917.SZ,suspended_or_missing_days,5,9
300918.SZ,suspended_or_missing_days,5,8
300919.SZ,suspended_or_missing_days,5,7
300920.SZ,suspended_or_missing_days,5,5
300921.SZ,suspended_or_missing_days,5,8
300922.SZ,suspended_or_missing_days,5,5
300923.SZ,suspended_or_missing_days,5,6
300925.SZ,suspended_or_missing_days,5,2
300926.SZ,mid_year_IPO_or_delisted,4,240
300927.SZ,mid_year_IPO_or_delisted,4,240
300928.SZ,mid_year_IPO_or_delisted,4,241
300929.SZ,mid_year_IPO_or_delisted,4,231
300930.SZ,mid_year_IPO_or_delisted,4,230
300931.SZ,mid_year_IPO_or_delisted,4,230
300932.SZ,mid_year_IPO_or_delisted,4,229
300933.SZ,mid_year_IPO_or_delisted,4,229
300935.SZ,mid_year_IPO_or_delisted,4,231
300936.SZ,mid_year_IPO_or_delisted,4,227
300937.SZ,mid_year_IPO_or_delisted,4,226
300938.SZ,mid_year_IPO_or_delisted,4,226
300939.SZ,mid_year_IPO_or_delisted,4,225
300940.SZ,mid_year_IPO_or_delisted,4,221
300941.SZ,mid_year_IPO_or_delisted,4,217
300942.SZ,mid_year_IPO_or_delisted,4,217
300943.SZ,mid_year_IPO_or_delisted,4,216
300945.SZ,mid_year_IPO_or_delisted,4,216
300946.SZ,mid_year_IPO_or_delisted,4,218
300947.SZ,mid_year_IPO_or_delisted,4,216
300948.SZ,mid_year_IPO_or_delisted,4,210
300949.SZ,mid_year_IPO_or_delisted,4,209
300950.SZ,mid_year_IPO_or_delisted,4,206
300951.SZ,mid_year_IPO_or_delisted,4,209
300952.SZ,mid_year_IPO_or_delisted,4,200
300953.SZ,mid_year_IPO_or_delisted,4,195
300955.SZ,mid_year_IPO_or_delisted,4,191
300956.SZ,mid_year_IPO_or_delisted,4,189
300957.SZ,mid_year_IPO_or_delisted,4,190
300958.SZ,mid_year_IPO_or_delisted,4,188
300959.SZ,mid_year_IPO_or_delisted,4,193
300960.SZ,mid_year_IPO_or_delisted,4,188
300961.SZ,mid_year_IPO_or_delisted,4,187
300962.SZ,mid_year_IPO_or_delisted,4,180
300963.SZ,mid_year_IPO_or_delisted,4,180
300964.SZ,mid_year_IPO_or_delisted,4,100
300965.SZ,mid_year_IPO_or_delisted,4,184
300966.SZ,mid_year_IPO_or_delisted,4,180
300967.SZ,mid_year_IPO_or_delisted,4,178
300968.SZ,mid_year_IPO_or_delisted,4,176
300969.SZ,mid_year_IPO_or_delisted,4,179
300970.SZ,mid_year_IPO_or_delisted,4,179
300971.SZ,mid_year_IPO_or_delisted,4,176
300972.SZ,mid_year_IPO_or_delisted,4,174
300973.SZ,mid_year_IPO_or_delisted,4,176
300975.SZ,mid_year_IPO_or_delisted,4,172
300976.SZ,mid_year_IPO_or_delisted,4,174
300977.SZ,mid_year_IPO_or_delisted,4,173
300978.SZ,mid_year_IPO_or_delisted,4,169
300979.SZ,mid_year_IPO_or_delisted,4,169
300980.SZ,mid_year_IPO_or_delisted,4,172
300981.SZ,mid_year_IPO_or_delisted,4,168
300982.SZ,mid_year_IPO_or_delisted,4,168
300983.SZ,mid_year_IPO_or_delisted,4,173
300984.SZ,mid_year_IPO_or_delisted,4,134
300985.SZ,mid_year_IPO_or_delisted,4,166
300986.SZ,mid_year_IPO_or_delisted,4,165
300987.SZ,mid_year_IPO_or_delisted,4,161
300988.SZ,mid_year_IPO_or_delisted,4,160
300989.SZ,mid_year_IPO_or_delisted,4,163
300990.SZ,mid_year_IPO_or_delisted,4,160
300991.SZ,mid_year_IPO_or_delisted,4,154
300992.SZ,mid_year_IPO_or_delisted,4,151
300993.SZ,mid_year_IPO_or_delisted,4,152
300994.SZ,mid_year_IPO_or_delisted,4,95
300995.SZ,mid_year_IPO_or_delisted,4,150
300996.SZ,mid_year_IPO_or_delisted,4,144
300997.SZ,mid_year_IPO_or_delisted,4,145
300998.SZ,mid_year_IPO_or_delisted,4,145
300999.SZ,suspended_or_missing_days,5,56
301002.SZ,mid_year_IPO_or_delisted,4,142
301003.SZ,mid_year_IPO_or_delisted,4,146
301004.SZ,mid_year_IPO_or_delisted,4,129
301005.SZ,mid_year_IPO_or_delisted,4,146
301006.SZ,mid_year_IPO_or_delisted,4,142
301007.SZ,mid_year_IPO_or_delisted,4,136
301008.SZ,mid_year_IPO_or_delisted,4,138
301009.SZ,mid_year_IPO_or_delisted,4,135
301010.SZ,mid_year_IPO_or_delisted,4,134
301011.SZ,mid_year_IPO_or_delisted,4,135
301012.SZ,mid_year_IPO_or_delisted,4,132
301013.SZ,mid_year_IPO_or_delisted,4,127
301015.SZ,mid_year_IPO_or_delisted,4,126
301016.SZ,mid_year_IPO_or_delisted,4,126
301017.SZ,mid_year_IPO_or_delisted,4,123
301018.SZ,mid_year_IPO_or_delisted,4,121
301019.SZ,mid_year_IPO_or_delisted,4,128
301020.SZ,mid_year_IPO_or_delisted,4,122
301021.SZ,mid_year_IPO_or_delisted,4,122
301022.SZ,mid_year_IPO_or_delisted,4,124
301023.SZ,mid_year_IPO_or_delisted,4,121
301024.SZ,mid_year_IPO_or_delisted,4,106
301025.SZ,mid_year_IPO_or_delisted,4,113
301026.SZ,mid_year_IPO_or_delisted,4,114
301027.SZ,mid_year_IPO_or_delisted,4,115
301028.SZ,mid_year_IPO_or_delisted,4,112
301029.SZ,mid_year_IPO_or_delisted,4,109
301030.SZ,mid_year_IPO_or_delisted,4,110
301031.SZ,mid_year_IPO_or_delisted,4,115
301032.SZ,mid_year_IPO_or_delisted,4,110
301033.SZ,mid_year_IPO_or_delisted,4,108
301035.SZ,mid_year_IPO_or_delisted,4,106
301036.SZ,mid_year_IPO_or_delisted,4,105
301037.SZ,mid_year_IPO_or_delisted,4,104
301038.SZ,mid_year_IPO_or_delisted,4,101
301039.SZ,mid_year_IPO_or_delisted,4,120
301040.SZ,mid_year_IPO_or_delisted,4,102
301041.SZ,mid_year_IPO_or_delisted,4,96
301042.SZ,mid_year_IPO_or_delisted,4,100
301043.SZ,mid_year_IPO_or_delisted,4,96
301045.SZ,mid_year_IPO_or_delisted,4,94
301046.SZ,mid_year_IPO_or_delisted,4,92
301047.SZ,mid_year_IPO_or_delisted,4,93
301048.SZ,mid_year_IPO_or_delisted,4,91
301049.SZ,mid_year_IPO_or_delisted,4,87
301050.SZ,mid_year_IPO_or_delisted,4,87
301051.SZ,mid_year_IPO_or_delisted,4,84
301052.SZ,mid_year_IPO_or_delisted,4,83
301053.SZ,mid_year_IPO_or_delisted,4,81
301055.SZ,mid_year_IPO_or_delisted,4,78
301056.SZ,mid_year_IPO_or_delisted,4,77
301057.SZ,mid_year_IPO_or_delisted,4,75
301058.SZ,mid_year_IPO_or_delisted,4,75
301059.SZ,mid_year_IPO_or_delisted,4,73
301060.SZ,mid_year_IPO_or_delisted,4,73
301061.SZ,mid_year_IPO_or_delisted,4,73
301062.SZ,mid_year_IPO_or_delisted,4,72
301063.SZ,mid_year_IPO_or_delisted,4,66
301065.SZ,mid_year_IPO_or_delisted,4,72
301066.SZ,mid_year_IPO_or_delisted,4,68
301067.SZ,mid_year_IPO_or_delisted,4,68
301068.SZ,mid_year_IPO_or_delisted,4,64
301069.SZ,mid_year_IPO_or_delisted,4,65
301070.SZ,mid_year_IPO_or_delisted,4,67
301071.SZ,mid_year_IPO_or_delisted,4,66
301072.SZ,mid_year_IPO_or_delisted,4,63
301073.SZ,mid_year_IPO_or_delisted,4,62
301075.SZ,mid_year_IPO_or_delisted,4,63
301076.SZ,mid_year_IPO_or_delisted,4,60
301077.SZ,mid_year_IPO_or_delisted,4,62
301078.SZ,mid_year_IPO_or_delisted,4,57
301079.SZ,mid_year_IPO_or_delisted,4,54
301080.SZ,mid_year_IPO_or_delisted,4,55
301081.SZ,mid_year_IPO_or_delisted,4,53
301082.SZ,mid_year_IPO_or_delisted,4,48
301083.SZ,mid_year_IPO_or_delisted,4,52
301085.SZ,mid_year_IPO_or_delisted,4,55
301086.SZ,mid_year_IPO_or_delisted,4,53
301087.SZ,mid_year_IPO_or_delisted,4,50
301088.SZ,mid_year_IPO_or_delisted,4,47
301089.SZ,mid_year_IPO_or_delisted,4,43
301090.SZ,mid_year_IPO_or_delisted,4,49
301091.SZ,mid_year_IPO_or_delisted,4,46
301092.SZ,mid_year_IPO_or_delisted,4,44
301093.SZ,mid_year_IPO_or_delisted,4,45
301095.SZ,mid_year_IPO_or_delisted,3,100
301096.SZ,mid_year_IPO_or_delisted,4,10
301097.SZ,mid_year_IPO_or_delisted,3,182
301098.SZ,mid_year_IPO_or_delisted,4,36
301099.SZ,mid_year_IPO_or_delisted,4,30
301100.SZ,mid_year_IPO_or_delisted,4,11
301101.SZ,mid_year_IPO_or_delisted,4,12
301102.SZ,mid_year_IPO_or_delisted,3,188
301103.SZ,mid_year_IPO_or_delisted,3,192
301105.SZ,mid_year_IPO_or_delisted,3,1
301106.SZ,mid_year_IPO_or_delisted,3,224
301107.SZ,mid_year_IPO_or_delisted,3,152
301108.SZ,mid_year_IPO_or_delisted,4,21
301109.SZ,mid_year_IPO_or_delisted,3,178
301110.SZ,mid_year_IPO_or_delisted,3,199
301111.SZ,mid_year_IPO_or_delisted,4,19
301112.SZ,mid_year_IPO_or_delisted,3,127
301113.SZ,mid_year_IPO_or_delisted,4,8
301115.SZ,mid_year_IPO_or_delisted,3,82
301116.SZ,mid_year_IPO_or_delisted,3,232
301117.SZ,mid_year_IPO_or_delisted,3,233
301118.SZ,mid_year_IPO_or_delisted,4,32
301119.SZ,mid_year_IPO_or_delisted,4,30
301120.SZ,mid_year_IPO_or_delisted,3,174
301121.SZ,mid_year_IPO_or_delisted,3,99
301122.SZ,mid_year_IPO_or_delisted,3,226
301123.SZ,mid_year_IPO_or_delisted,3,227
301125.SZ,mid_year_IPO_or_delisted,3,142
301126.SZ,mid_year_IPO_or_delisted,4,19
301127.SZ,mid_year_IPO_or_delisted,4,2
301128.SZ,mid_year_IPO_or_delisted,4,38
301129.SZ,mid_year_IPO_or_delisted,4,44
301130.SZ,mid_year_IPO_or_delisted,3,211
301131.SZ,mid_year_IPO_or_delisted,3,198
301132.SZ,mid_year_IPO_or_delisted,3,97
301133.SZ,mid_year_IPO_or_delisted,4,26
301135.SZ,mid_year_IPO_or_delisted,3,179
301136.SZ,mid_year_IPO_or_delisted,3,237
301137.SZ,mid_year_IPO_or_delisted,3,192
301138.SZ,mid_year_IPO_or_delisted,4,13
301139.SZ,mid_year_IPO_or_delisted,3,120
301141.SZ,mid_year_IPO_or_delisted,2,183
301148.SZ,mid_year_IPO_or_delisted,3,172
301149.SZ,mid_year_IPO_or_delisted,4,38
301150.SZ,mid_year_IPO_or_delisted,3,172
301151.SZ,mid_year_IPO_or_delisted,3,180
301152.SZ,mid_year_IPO_or_delisted,3,84
301153.SZ,mid_year_IPO_or_delisted,3,156
301155.SZ,mid_year_IPO_or_delisted,4,28
301156.SZ,mid_year_IPO_or_delisted,3,135
301157.SZ,mid_year_IPO_or_delisted,2,200
301158.SZ,mid_year_IPO_or_delisted,3,233
301159.SZ,mid_year_IPO_or_delisted,3,239
301160.SZ,mid_year_IPO_or_delisted,3,144
301161.SZ,mid_year_IPO_or_delisted,3,73
301162.SZ,mid_year_IPO_or_delisted,3,166
301163.SZ,mid_year_IPO_or_delisted,3,174
301165.SZ,mid_year_IPO_or_delisted,3,30
301166.SZ,mid_year_IPO_or_delisted,4,4
301167.SZ,mid_year_IPO_or_delisted,4,20
301168.SZ,mid_year_IPO_or_delisted,4,16
301169.SZ,mid_year_IPO_or_delisted,4,43
301170.SZ,mid_year_IPO_or_delisted,2,128
301171.SZ,mid_year_IPO_or_delisted,3,90
301172.SZ,mid_year_IPO_or_delisted,2,107
301175.SZ,mid_year_IPO_or_delisted,3,120
301176.SZ,mid_year_IPO_or_delisted,3,63
301177.SZ,mid_year_IPO_or_delisted,4,13
301178.SZ,mid_year_IPO_or_delisted,4,36
301179.SZ,mid_year_IPO_or_delisted,4,18
301180.SZ,mid_year_IPO_or_delisted,4,34
301181.SZ,mid_year_IPO_or_delisted,3,213
301182.SZ,mid_year_IPO_or_delisted,4,7
301183.SZ,mid_year_IPO_or_delisted,3,152
301185.SZ,mid_year_IPO_or_delisted,4,31
301186.SZ,mid_year_IPO_or_delisted,4,7
301187.SZ,mid_year_IPO_or_delisted,3,171
301188.SZ,mid_year_IPO_or_delisted,4,37
301189.SZ,mid_year_IPO_or_delisted,4,4
301190.SZ,mid_year_IPO_or_delisted,4,6
301191.SZ,mid_year_IPO_or_delisted,3,150
301192.SZ,mid_year_IPO_or_delisted,3,96
301193.SZ,mid_year_IPO_or_delisted,4,17
301195.SZ,mid_year_IPO_or_delisted,3,104
301196.SZ,mid_year_IPO_or_delisted,3,237
301197.SZ,mid_year_IPO_or_delisted,3,99
301198.SZ,mid_year_IPO_or_delisted,4,22
301199.SZ,mid_year_IPO_or_delisted,4,19
301200.SZ,mid_year_IPO_or_delisted,3,208
301201.SZ,mid_year_IPO_or_delisted,3,230
301202.SZ,mid_year_IPO_or_delisted,2,122
301203.SZ,mid_year_IPO_or_delisted,2,182
301205.SZ,mid_year_IPO_or_delisted,3,74
301206.SZ,mid_year_IPO_or_delisted,3,220
301207.SZ,mid_year_IPO_or_delisted,3,214
301208.SZ,mid_year_IPO_or_delisted,3,121
301209.SZ,mid_year_IPO_or_delisted,3,86
301210.SZ,mid_year_IPO_or_delisted,2,125
301211.SZ,mid_year_IPO_or_delisted,4,8
301212.SZ,mid_year_IPO_or_delisted,3,174
301213.SZ,mid_year_IPO_or_delisted,4,20
301215.SZ,mid_year_IPO_or_delisted,3,202
301216.SZ,mid_year_IPO_or_delisted,3,187
301217.SZ,mid_year_IPO_or_delisted,3,225
301218.SZ,mid_year_IPO_or_delisted,3,203
301219.SZ,mid_year_IPO_or_delisted,3,195
301220.SZ,mid_year_IPO_or_delisted,3,132
301221.SZ,mid_year_IPO_or_delisted,4,8
301222.SZ,mid_year_IPO_or_delisted,3,201
301223.SZ,mid_year_IPO_or_delisted,3,48
301225.SZ,mid_year_IPO_or_delisted,2,133
301226.SZ,mid_year_IPO_or_delisted,3,189
301227.SZ,mid_year_IPO_or_delisted,3,65
301228.SZ,mid_year_IPO_or_delisted,3,224
301231.SZ,mid_year_IPO_or_delisted,3,76
