ts_code,entry_date,g0_exit_date,ctrl_exit_date,g0_pnl,ctrl_pnl,pnl_diff,g0_return_pct,ctrl_return_pct,match
000063.SZ,2020-05-26,2020-06-18,2020-06-18,16503.35,16543.12,-39.76,8.34,8.36,diff
000625.SZ,2024-05-07,2024-07-10,2024-07-10,6941.83,7022.0,-80.17,1.74,1.76,diff
000628.SZ,2024-04-01,2024-05-21,2024-05-21,-131449.79,-131429.8,-19.99,-22.19,-22.19,diff
000651.SZ,2020-12-10,2021-01-05,2021-01-05,18666.69,18683.31,-16.63,4.77,4.78,diff
000651.SZ,2021-10-28,2021-12-09,2021-12-09,14880.31,14882.52,-2.21,3.77,3.77,diff
000661.SZ,2021-05-25,2021-07-19,2021-07-19,7772.77,18776.78,-11004.0,1.75,3.64,diff
000725.SZ,2020-03-17,2020-05-11,2020-05-11,27443.06,27272.02,171.04,13.64,13.06,diff
000858.SZ,2021-07-09,2021-09-27,2021-09-27,-74117.04,-54012.84,-20104.2,-8.45,-5.59,diff
000858.SZ,2022-03-04,2022-05-30,2022-05-30,-21217.04,-16906.99,-4310.06,-6.34,-8.53,diff
000858.SZ,2023-04-11,2023-05-22,2023-05-22,-10015.95,-10014.01,-1.95,-2.65,-2.65,diff
000977.SZ,2024-05-29,2024-07-09,2024-07-09,9285.34,8939.03,346.31,4.65,4.48,diff
002241.SZ,2021-07-23,2021-08-05,2021-08-05,20482.88,20518.02,-35.14,10.26,10.27,diff
002241.SZ,2022-06-24,2022-08-05,2022-08-05,5665.14,5669.92,-4.77,2.84,2.84,diff
002241.SZ,2022-11-14,2023-01-05,2023-01-05,33962.25,34076.42,-114.17,8.52,8.55,diff
002340.SZ,2021-06-08,2021-07-06,2021-07-06,31636.13,31636.13,0.0,5.29,5.29,exact
002352.SZ,2021-04-13,2021-05-18,2021-05-18,7347.77,6983.72,364.05,1.87,1.84,diff
002415.SZ,2020-05-26,2020-06-18,2020-06-18,13731.51,14247.33,-515.82,6.9,7.16,diff
002415.SZ,2022-05-09,2022-06-08,2022-06-06,35178.48,21141.42,14037.06,5.9,3.55,diff
002456.SZ,2020-09-02,2020-10-28,2020-10-28,-3481.68,-11994.3,8512.63,-0.48,-1.99,diff
002460.SZ,2021-08-17,2021-08-30,2021-08-30,47015.81,47024.09,-8.29,24.02,24.03,diff
002466.SZ,2021-09-23,2021-11-09,2021-11-09,20545.88,20545.88,0.0,5.28,5.28,exact
002475.SZ,2020-12-15,2020-12-23,2020-12-23,16940.16,16941.61,-1.46,8.52,8.52,diff
002475.SZ,2021-01-29,2021-04-19,2021-04-19,-140638.23,-128562.82,-12075.41,-17.8,-21.91,diff
