total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,avg_exposure_pct,sim_id,seed
-7.455,-1.159,0.1122,-53.269,96,63.54,1.2232,0.7019,32.7,67.92,66,108
-4.526,-0.695,0.094,-43.722,107,66.36,0.9777,0.4957,32.6,66.88,67,109
66.959,8.019,0.4525,-33.859,119,70.59,1.1351,0.473,30.3,58.4,68,110
28.626,3.861,0.2827,-48.531,116,71.55,1.0248,0.4074,30.9,69.69,69,111
280.402,22.271,1.1484,-30.208,115,81.74,3.913,0.8742,25.7,37.78,70,112
-36.253,-6.552,-0.0783,-68.295,105,63.81,0.6576,0.373,30.9,68.84,71,113
118.465,12.48,0.6443,-35.486,112,73.21,2.0482,0.7494,29.4,52.36,72,114
21.694,2.999,0.248,-32.886,102,67.65,1.2298,0.5882,34.4,60.67,73,115
-26.739,-4.575,-0.051,-50.559,104,53.85,0.6313,0.5411,34.2,71.25,74,116
31.42,4.198,0.2962,-63.872,115,72.17,1.0572,0.4076,31.0,60.0,75,117
49.136,6.2,0.3778,-49.624,114,77.19,1.4147,0.418,30.1,64.45,76,118
176.037,16.51,0.8457,-29.35,111,74.77,1.7133,0.578,31.5,45.95,77,119
64.831,7.811,0.4565,-41.451,114,65.79,1.2502,0.6501,30.4,55.53,78,120
48.624,6.145,0.3764,-35.694,117,70.94,1.2934,0.5298,30.4,61.19,79,121
67.144,8.037,0.4431,-53.978,109,74.31,1.4401,0.4978,30.7,52.48,80,122
87.402,9.914,0.5155,-44.7,124,75.81,1.3227,0.4221,28.5,56.03,81,123
51.784,6.481,0.3916,-33.88,103,71.84,1.3378,0.5243,34.8,65.32,82,124
-25.488,-4.331,-0.0162,-61.052,110,61.82,0.7109,0.4391,32.8,73.96,83,125
111.347,11.921,0.6507,-32.003,113,79.65,1.673,0.4275,31.2,49.28,84,126
-36.048,-6.506,-0.1214,-56.118,96,69.79,0.8298,0.3592,32.8,73.21,85,127
151.16,14.866,0.7252,-23.876,122,75.41,2.069,0.6747,28.5,50.97,86,128
-14.435,-2.319,0.0579,-53.516,106,65.09,0.8499,0.4557,33.8,66.62,87,129
