amount_quantile,count,mean_5d,mean_10d,mean_20d,mean_40d,median_20d,wr_20d
Q1_highest,29737,0.994,1.36,2.59,4.474,1.527,56.7
Q2,29126,0.995,1.282,2.563,4.316,1.243,55.2
Q3,29122,1.127,1.42,2.662,4.187,1.153,54.5
Q4,29126,1.262,1.477,2.59,3.872,0.95,53.8
Q5_lowest,29543,1.18,1.419,2.376,3.067,0.592,52.2
Q_all,249,-0.3,-0.971,-1.192,-0.609,-1.381,45.0
