breadth_bin,n_dates,n_signals,n_stocks,mean_20d_pct,median_20d_pct,win_rate,p25_pct,p75_pct
0-5%,843,30224,2605,-0.062,-1.331,43.8,-7.07,5.37
5-10%,133,24787,2618,1.204,0.121,50.3,-5.38,6.25
10-25%,109,45968,2618,1.671,0.571,52.4,-5.25,6.75
25%+,49,49033,2618,6.091,4.26,65.9,-2.57,12.32
