year,n_seeds,mean_trades,p25_pnl,median_pnl,p75_pnl,mean_wr
2020,10,16.3,7064.0,103120.9773749609,124116.0,68.25
2021,10,18.4,69588.0,199605.32808850554,326061.0,75.25
2022,10,16.7,-80767.0,97726.43206161083,173576.0,73.61
2023,10,17.0,-238086.0,-121265.01253559446,111966.0,65.51
2024,10,14.5,-117307.0,8104.878082165611,113726.0,57.52
2025,10,17.7,121884.0,191415.31379982072,264043.0,74.27000000000001
2026,10,10.0,-229757.0,-150172.83817023446,-102900.0,51.05
