date,breadth,year
2024-01-22,0.7624140565317036,2024
2024-02-05,0.7521008403361344,2024
2022-04-25,0.6967150496562261,2022
2022-04-26,0.6829640947288006,2022
2022-03-15,0.6493506493506493,2022
2024-02-02,0.5847975553857907,2024
2023-10-23,0.5775401069518716,2023
2024-04-16,0.5324675324675324,2024
2024-06-06,0.5297937356760886,2024
2024-01-23,0.5110771581359816,2024
2022-03-09,0.4831932773109244,2022
2022-01-25,0.466768525592055,2022
2024-01-31,0.46333078686019863,2024
2023-04-25,0.4346829640947288,2023
2022-03-08,0.41596638655462187,2022
2022-01-27,0.4144385026737968,2022
2021-07-28,0.3712757830404889,2021
2020-03-16,0.3624904507257448,2020
2022-09-19,0.3510313216195569,2022
2022-12-22,0.3460656990068755,2022
2024-02-01,0.33995416348357527,2024
2023-04-21,0.33346065699006877,2023
2020-12-11,0.33116883116883117,2020
2020-09-10,0.3300229182582124,2020
2022-04-11,0.3284950343773873,2022
2022-09-16,0.3147440794499618,2022
2022-12-19,0.3097784568372804,2022
2024-01-19,0.3048128342245989,2024
2023-03-14,0.3017570664629488,2023
2023-10-19,0.2979373567608862,2023
2024-06-05,0.29717341482047366,2024
2021-09-29,0.29564553093964857,2021
2024-02-06,0.29411764705882354,2024
2022-09-26,0.2910618792971734,2022
2023-04-24,0.2838044308632544,2023
2024-06-24,0.2765469824293354,2024
2021-10-28,0.2750190985485103,2021
2024-04-15,0.27043544690603516,2024
2021-07-27,0.2669977081741788,2021
2023-10-18,0.2669977081741788,2023
2023-12-26,0.2654698242933537,2023
2024-01-18,0.26508785332314744,2024
2020-04-28,0.2647058823529412,2020
2023-10-20,0.2631779984721161,2023
2021-02-04,0.2620320855614973,2021
2023-06-26,0.25859434682964094,2023
2021-01-11,0.2509549274255157,2021
2022-08-02,0.2505729564553094,2022
2020-03-18,0.25019098548510316,2020
