metric,control_value,random_median,random_mean,random_p5,random_p25,random_p75,random_p95,control_percentile,p_random_better_pct
total_return_pct,30.295,2.6575,9.1117,-54.239,-25.1538,44.6712,87.4013,67.0,33.0
sharpe,0.3469,0.1494,0.149,-0.4782,-0.1031,0.4564,0.7168,67.0,33.0
maxdd_pct,-30.79,-42.389,-44.3345,-68.2536,-51.9355,-34.2712,-27.31,86.5,13.5
profit_factor,1.3045,1.0754,1.189,0.5837,0.823,1.458,2.0143,65.5,34.5
win_rate_pct,68.42,66.865,66.6968,57.823,61.835,71.08,75.3235,57.5,42.5
n_trades,76.0,81.0,79.64,64.95,76.0,85.25,91.1,28.0,72.0
