horizon,count,mean_pct,median_pct,win_rate_pct,p10_pct,p25_pct,p75_pct,p90_pct,std_pct
1d,149761,0.03,0.153,51.8,-3.463,-1.448,1.554,3.408,3.228
2d,149728,0.216,0.161,51.1,-4.498,-1.95,2.394,5.031,4.527
3d,149710,0.526,0.329,52.9,-5.159,-2.165,3.137,6.667,5.676
5d,149113,1.13,0.615,54.7,-5.825,-2.559,4.259,8.752,6.928
10d,148068,1.523,0.692,53.9,-8.66,-3.765,5.872,12.687,10.248
20d,147745,2.713,1.178,54.8,-10.769,-4.937,8.356,17.459,13.166
40d,147155,4.118,1.786,55.3,-15.126,-6.971,12.04,25.0,18.972
60d,147106,5.116,1.757,54.5,-17.4,-8.286,14.085,30.083,23.097
