group,horizon,count,mean_pct,median_pct,wr_pct
all,5d,144682,1.131,0.626,54.9
all,10d,144682,1.398,0.655,53.7
all,20d,144682,2.55,1.096,54.5
all,40d,144096,3.975,1.709,55.1
amount_top10,5d,10057,-0.094,-0.499,45.5
amount_top10,10d,10007,0.044,-0.757,45.3
amount_top10,20d,9966,0.101,-1.161,45.0
amount_top10,40d,9851,0.903,-1.241,46.4
non_selected,5d,135960,1.198,0.681,55.3
non_selected,10d,134993,1.487,0.746,54.3
non_selected,20d,134716,2.731,1.252,55.2
non_selected,40d,134245,4.201,1.895,55.7
