mechanism,stock,etf
raw_signal_20d_mean_pct,2.713,1.618
raw_signal_20d_median_pct,1.178,0.28
raw_signal_20d_win_rate,54.8,51.5
signal_20d_std_pct,13.166,8.928
median_breadth_pct,1.64,6.05
bbz_signal_std,0.2515,0.171
fwd20_dispersion_std,0.0955,0.045
amount_topn_20d_pct,0.041,0.695
amount_random_20d_pct,0.438,1.163
amount_daily_percentile,43.1,42.8
pf_baseline,1.228,N/A
win_rate_baseline,68.9,N/A
payoff_ratio,0.554,N/A
mid_hit_rate,100.0,100.0
upper_hit_rate,98.5,60.0
mfe_positive_but_lost,76.2,95.0
winner_median_hold,23.0,37
loser_median_hold,50.0,341
