sample,horizon,count,mean_pct,median_pct,win_rate_pct,p1_pct,p5_pct,p95_pct,p99_pct,max_pct
A_full_year,5d,149113,1.13,0.615,54.7,-16.22,-8.37,12.5,22.72,103.59
A_full_year,10d,148068,1.523,0.692,53.9,-24.18,-13.04,18.54,34.49,131.39
A_full_year,20d,147745,2.713,1.178,54.8,-22.97,-14.55,25.2,45.08,344.69
A_full_year,40d,147155,4.118,1.786,55.3,-30.71,-20.32,35.53,64.04,641.75
B_traded_stocks,5d,2228,0.422,0.0,49.6,-13.76,-8.73,11.57,18.78,38.12
B_traded_stocks,10d,2222,0.766,0.115,50.5,-19.12,-11.84,15.85,30.03,52.73
B_traded_stocks,20d,2209,1.389,-0.121,49.4,-21.07,-14.74,22.13,39.93,69.22
B_traded_stocks,40d,2189,2.951,-0.516,48.7,-29.87,-21.4,38.34,70.43,168.59
