parameter,value,std,total,ann,mdd,sharpe,n,wr
bb_window,10,1.5,57.41957410416627,7.355631208535751,-32.80073654872009,0.49530411676791336,90,73.33333333333333
bb_window,10,2.0,59.141834229746124,7.538514716129363,-39.19469645596772,0.5896478782310967,56,71.42857142857143
bb_window,10,2.5,15.541284553381661,2.2853978898467187,-51.7612134748675,0.5259182136180716,17,35.294117647058826
bb_window,10,3.0,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,10,3.5,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,10,4.0,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,15,1.5,136.17227210933925,14.388450082379478,-35.88952280912866,0.7575687263062981,68,69.11764705882352
bb_window,15,2.0,223.6168046137482,20.165942107564238,-32.80073654872009,1.1124577957031638,46,76.08695652173914
bb_window,15,2.5,22.684521856611674,3.249724925782904,-51.338086956289445,0.6830416567934876,26,69.23076923076923
bb_window,15,3.0,5.377380246180974,0.8226834238837633,-61.32438748076251,0.6718045470193675,6,66.66666666666666
bb_window,15,3.5,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,15,4.0,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,20,1.5,17.821683512451724,2.5985860899947033,-51.55440167982326,0.3064403336811918,48,72.91666666666666
bb_window,20,2.0,226.48292027080817,20.331798599593043,-36.73470206954827,1.1588128017907928,39,82.05128205128204
bb_window,20,2.5,34.39273572906474,4.732417879975692,-53.12619039725115,0.7046674277325031,21,52.38095238095239
bb_window,20,3.0,43.37893633518644,5.798170056668317,-49.01501314708073,0.6328424518229392,10,60.0
bb_window,20,3.5,11.898993516489886,1.7741806693982065,-61.37904983040748,0.7288096283906246,2,50.0
bb_window,20,4.0,14.543689957499994,2.146746997214244,-59.566188384614115,0.7350728265240609,0,0.0
bb_window,25,1.5,-40.47986537294636,-7.795547002944581,-66.41805667076426,0.0020667383480455575,42,64.28571428571429
bb_window,25,2.0,-24.989146324498467,-4.39814020480549,-62.378572836758195,0.00995567525707045,25,56.00000000000001
bb_window,25,2.5,12.19024826401849,1.8155723595653095,-65.72261918409646,0.34986975610578497,18,66.66666666666666
bb_window,25,3.0,66.61517178381074,8.313254379269686,-52.91596123513172,0.9438633611524503,13,76.92307692307693
bb_window,25,3.5,36.340434822875764,4.968407468110714,-59.566188384614115,0.8935744574707323,5,100.0
bb_window,25,4.0,11.073638853099066,1.6563896445497273,-59.566188384614115,0.7276378922318864,1,100.0
bb_window,30,1.5,137.42508757327693,14.483155699451222,-40.375128892017095,0.8339897494879958,36,69.44444444444444
bb_window,30,2.0,65.51686317324756,8.201257176405852,-40.868284384035434,0.5885835414363498,26,76.92307692307693
bb_window,30,2.5,-16.91435928566978,-2.8569166282227276,-68.45009399025062,0.053932428079055,13,53.84615384615385
bb_window,30,3.0,44.424263017939715,5.918456933397254,-41.086456139098466,0.6042601867027148,10,40.0
bb_window,30,3.5,11.268189123624573,1.684221355147164,-59.57994738858036,0.7355774867573928,4,75.0
bb_window,30,4.0,9.420565277012827,1.4182325092059411,-59.566188384614115,0.7118586081037815,2,100.0
bb_window,40,1.5,91.59663260521921,10.70631744110866,-44.32928417189399,0.7213346355723015,29,51.724137931034484
bb_window,40,2.0,53.60223040142622,6.94417985885063,-60.28097366052847,0.4289052256017111,17,76.47058823529412
bb_window,40,2.5,-42.5620634975037,-8.307718772262662,-76.04168008852497,-0.14317995239327536,9,44.44444444444444
bb_window,40,3.0,-48.53262860666228,-9.868517997748238,-75.56559484180843,0.06706623907668831,5,60.0
bb_window,40,3.5,2.0063778061956805,0.3112231178174385,-57.6732004407932,0.636308821895272,5,80.0
bb_window,40,4.0,9.622087436376049,1.4474274618964555,-59.566188384614115,0.7131490856041569,2,100.0
top_n,3,,145.72181968228276,15.099913101946182,-32.80073654872009,0.7712981055473763,26,73.07692307692307
top_n,5,,156.02306949673687,15.841690639576612,-32.80073654872009,0.9410714272989563,31,77.41935483870968
top_n,10,,226.48292027080817,20.331798599593043,-36.73470206954827,1.1588128017907928,39,82.05128205128204
top_n,15,,163.1534581753574,16.34052774588113,-36.318801074720604,1.0040414885958802,41,80.48780487804879
top_n,20,,155.9636180576569,15.83748244609322,-33.677117715720094,0.9855415751850223,45,80.0
top_n,30,,172.76378137858575,16.995121385997656,-43.24945901791587,1.0082246024112271,44,77.27272727272727
max_levels,1,,37.195898598541376,5.071160371155181,-54.53905397103439,0.7967063470336531,39,51.28205128205128
max_levels,2,,74.63795419149002,9.112984405672876,-50.0384659734389,0.8856555894517572,39,61.53846153846154
max_levels,3,,122.90606249721611,13.358690214005042,-45.861407897731866,0.9945416379422974,39,69.23076923076923
max_levels,4,,174.58364261328808,17.116881609842594,-41.62231162182599,1.0816930786272312,39,74.35897435897436
max_levels,5,,226.48292027080817,20.331798599593043,-36.73470206954827,1.1588128017907928,39,82.05128205128204
