start,end,total,ann,mdd,sharpe,n,wr
2020-01-01,2023-12-31,101.5,20.0,-36.7,1.14,27,85.0
2024-01-01,2026-08-25,78.6,25.6,-17.8,1.51,11,73.0
2020-01-01,2022-12-31,36.5,11.4,-36.7,0.88,19,84.0
2023-01-01,2023-12-31,39.5,41.5,-8.3,1.82,6,83.0
2024-01-01,2026-08-25,78.6,25.6,-17.8,1.51,11,73.0
