feature_id,name,family,expected_direction,n_days,contemporaneous_spearman,Y5_IC,Y10_IC,Y20_IC,Y40_IC,Y20_HAC_t,Y20_HAC_t_lag5,Y20_HAC_t_lag10,Y20_HAC_t_lag40,Y20_raw_p,Q1_Y20,Q2_Y20,Q3_Y20,Q4_Y20,Q5_Y20,Q5_minus_Q1,MONOTONIC_SPEARMAN,BAD20_AUC,BAD20_bestQ,BAD20_worstQ,LYO_direction_count,bootstrap_spread_lo,bootstrap_spread_hi,pit_labeled_days
F01,ALL_A_EW_RET20,TREND,POSITIVE,645,-0.18427801839342742,-0.11450135479661504,-0.1393433473650223,-0.331852053258108,-0.3296084541656427,-2.7094840770295225,-4.086163131415101,-3.2838755444573002,-2.562662098387734,0.006738793967455692,7.4905799992945665,5.098037943450445,4.658682189330938,4.549117278675508,4.834891031880566,-2.655688967414001,-0.7,0.3041074249605055,2.6785714285714284,0.0,0,-4.361311637964066,-1.0299282072452516,545
F02,ALL_A_EW_RET60,TREND,POSITIVE,616,-0.21007321731476494,-0.24806832492328795,-0.3174235536373339,-0.4408987462709248,-0.41782450122135123,-4.155257638296703,-6.224641416475319,-4.955299597249005,-3.9135609004452743,3.249212037137461e-05,7.275272584201504,5.222801495591088,4.670971931932447,5.311931632317325,4.074134933903288,-3.2011376502982163,-0.7,0.42370309050772625,0.0,0.0,0,-4.984478996489077,-0.865679307067146,516
F03,CSI300_RET20,TREND,POSITIVE,645,-0.06422862757675694,-0.04114789441932912,-0.04821564408851188,-0.09690304092474093,-0.1927421971000246,-0.7279538430173491,-1.1048819811780277,-0.8878988236175536,-0.6867000705725627,0.4666418416109086,6.259373768222939,5.456565658148957,4.610512538992308,3.831397579872321,6.534503267046055,0.27512949882311677,0.0,0.32767245918904686,0.0,0.0,0,-1.6333806381509943,1.9471455655728427,545
F04,CSI1000_RET20,TREND,POSITIVE,645,-0.08931074837859873,-0.005747968923080913,-0.028811217957461305,-0.1956112549857365,-0.17751300073728188,-1.4635963974347825,-2.2606963204162254,-1.7953556510254987,-1.3572937478027254,0.1433042574789376,7.016420538721814,4.527082290645009,5.168386956596029,4.864107759162531,5.320097894147301,-1.6963226445745132,-0.09999999999999999,0.43746708794102157,0.0,0.0,0,-3.6514577171793334,0.20116792766182023,545
F05,ALL_A_DISTANCE_MA20,TREND,POSITIVE,646,-0.24788989370382886,-0.08771370447274444,-0.09937298183221954,-0.2606057989248606,-0.30351153981380985,-2.3167164955567996,-3.2904974839534797,-2.691711477316629,-2.233125889561451,0.020519180397815084,7.300195554274736,5.3380371828749364,4.7260542981561935,4.578195766055431,5.064395420875012,-2.2358001333997235,-0.7,0.36619348054679285,0.0,0.0,0,-3.9420960062635046,-0.5739858691140087,546
F06,ALL_A_MA20_SLOPE,TREND,POSITIVE,644,-0.15018627908702134,-0.08629436128001217,-0.1302826537367609,-0.33059989590000116,-0.31459602420051863,-2.621137215283474,-3.9959167151205515,-3.1770807568778845,-2.500068147450818,0.008763698096378558,7.313487438644509,5.415803018505557,4.1712920921241725,4.598038106327247,4.9578906045769,-2.355596834067609,-0.6,0.2412974683544304,4.310344827586207,0.0,0,-4.389002786257117,-0.6138229239973776,544
F07,BREADTH_MA20,BREADTH,POSITIVE,646,-0.2547443434830476,-0.11911313311906885,-0.12784600678448246,-0.28495921221456555,-0.3238287334953145,-2.4882978656177515,-3.4998201032874556,-2.8710870340015164,-2.3818465722202764,0.012835617897190899,7.242806260111106,5.862619255510473,4.7729347309202135,4.3080980147054415,4.948870586306619,-2.293935673804487,-0.7,0.31519453207150366,0.847457627118644,0.0,0,-3.944295050608687,-0.5216747524587689,546
F08,BREADTH_UP1D,BREADTH,POSITIVE,646,-0.07897175167750407,-0.13890282448064994,-0.1091202126642647,-0.08877480015708561,-0.09420154394117737,-2.7066880594568405,-2.4134705972892143,-2.7056759939311754,-2.528546414653548,0.006795807977179047,6.408469376429378,5.280980697232583,4.876825385276535,5.362412261088566,5.359796830980007,-1.0486725454493708,-0.19999999999999998,0.48462145110410093,1.8867924528301887,0.9090909090909091,0,-1.651352802082877,-0.5646445153780897,546
F09,BREADTH_NEWLOW20,BREADTH,NEGATIVE,646,0.21769783671464413,0.18856515608462462,0.14753024726961383,0.18159721430111095,0.2152516196095816,2.2310028006527185,2.700803555378892,2.423203117324817,2.168019029683844,0.025680943499973408,5.198140011830192,4.7951824927453455,5.3698215391157476,5.242739125895576,6.603914180755661,1.4057741689254684,0.7999999999999999,0.4416403785488959,0.0,1.7094017094017095,0,0.11621877346420113,2.718512244217797,546
F10,BREADTH_BELOW_BB,BREADTH,NEGATIVE,646,0.2380621327474781,0.18300935610908756,0.14143971108709297,0.16117901728254622,0.20827691730886297,1.947640041121015,2.300060900468224,2.071843370182199,1.9396048276746163,0.05145804910555496,5.109491527832869,5.167290666280495,5.029098572679079,5.44860934220345,6.295369504689262,1.1858779768563927,0.7,0.4292849631966351,1.3333333333333335,1.4925373134328357,0,-0.07091651893166342,2.5106705736669914,546
