feature_a,feature_b,spearman,same_family
F01,F04,0.9150347784146136,True
F01,F06,0.917390174449371,True
F05,F07,0.9785822489952164,False
F08,F21,0.9044242961700192,False
F09,F10,0.9251231763320633,True
F09,F22,0.9083619931886178,False
F09,F23,0.9099647568971814,False
F10,F22,0.9214558510166998,False
F10,F23,0.9212638670409671,False
F14,F19,1.0,False
F14,F20,0.9605507825629515,False
F14,F21,-0.9239741345308862,False
F15,F17,0.9083311910515461,True
F18,F20,0.856791609185691,True
F19,F20,0.9605507825629515,True
F19,F21,-0.9239741345308862,True
F22,F23,0.9981394890799793,True
F22,F24,0.9142118681076765,True
F23,F24,0.9176859780158654,True
