feature_id,name,Y20_HAC_t,Y20_HAC_t_lag5,Y20_HAC_t_lag10,Y20_HAC_t_lag40,Y20_raw_p
F02,ALL_A_EW_RET60,-4.155257638296703,-6.224641416475319,-4.955299597249005,-3.9135609004452743,3.249212037137461e-05
F01,ALL_A_EW_RET20,-2.7094840770295225,-4.086163131415101,-3.2838755444573002,-2.562662098387734,0.006738793967455692
F06,ALL_A_MA20_SLOPE,-2.621137215283474,-3.9959167151205515,-3.1770807568778845,-2.500068147450818,0.008763698096378558
F08,BREADTH_UP1D,-2.7066880594568405,-2.4134705972892143,-2.7056759939311754,-2.528546414653548,0.006795807977179047
F18,LIMIT_DOWN_SHARE,2.6926709594136007,3.2840919765411716,3.031825788790985,2.550066445086076,0.007088218493890075
F21,CROSS_SECTION_P10_RET,-2.5523117073401407,-2.7781413502413357,-2.7875942374135563,-2.3343702941043682,0.010701073351037538
F07,BREADTH_MA20,-2.4882978656177515,-3.4998201032874556,-2.8710870340015164,-2.3818465722202764,0.012835617897190899
F05,ALL_A_DISTANCE_MA20,-2.3167164955567996,-3.2904974839534797,-2.691711477316629,-2.233125889561451,0.020519180397815084
F09,BREADTH_NEWLOW20,2.2310028006527185,2.700803555378892,2.423203117324817,2.168019029683844,0.025680943499973408
F14,DOWN_VOL_SHARE,2.080178914902709,2.4901850719747927,2.37520676274497,1.871440931880049,0.03750912546310481
F19,DROP5_SHARE,2.080178914902709,2.4901850719747927,2.37520676274497,1.871440931880049,0.03750912546310481
F20,DROP7_SHARE,2.065212813722835,2.510158269408142,2.3669704978874373,1.879189624785699,0.038902868635124044
F10,BREADTH_BELOW_BB,1.947640041121015,2.300060900468224,2.071843370182199,1.9396048276746163,0.05145804910555496
F25,MRH_20_REALIZED,1.6044085858596175,2.368584643570384,1.9064839506748579,1.540618676154748,0.10862401971388946
F04,CSI1000_RET20,-1.4635963974347825,-2.2606963204162254,-1.7953556510254987,-1.3572937478027254,0.1433042574789376
F22,N_OVERSOLD_SIGNALS,1.2842603464242497,1.4617662309318593,1.3514487743700123,1.2705301901877672,0.1990508764767669
F11,ALL_A_RV20,1.2155527007682048,1.9316826131795088,1.510678086597792,1.0483038323097358,0.22415536150723891
F27,MRH_WIN20_REALIZED,-1.1269798564811848,-1.599991901079525,-1.3259297448948169,-1.0224423608356752,0.2597509977626855
F23,OVERSOLD_SIGNAL_SHARE,1.1650530262445478,1.3028903717404252,1.2136480601916009,1.148606509819693,0.24399752937237484
F13,CROSS_SECTION_RET_STD,1.1075714692883827,1.699681524630094,1.3698206824819663,0.9330317054347369,0.26804693074900077
F26,MRH_60_REALIZED,0.9880165257253096,1.4872570621180106,1.1748231143406578,1.009563783477821,0.32314455481489723
F12,ALL_A_RV60,0.9061476501797616,1.537208558419556,1.1723133733684499,0.7401878013147148,0.3648577071660415
F03,CSI300_RET20,-0.7279538430173491,-1.1048819811780277,-0.8878988236175536,-0.6867000705725627,0.4666418416109086
F17,MEDIAN_STOCK_AMOUNT_RATIO20,-0.65835825262277,-0.8860562333885129,-0.748254920231517,-0.6043365800446566,0.5103079544830771
F24,N_OVERSOLD_Z60,0.40645977748760653,0.430543982353226,0.4143203811695825,0.3948241935480581,0.6844048051681912
F16,MARKET_AMOUNT_Z60,0.24403780402566094,0.3713468258768929,0.29374620234069987,0.22940705314113308,0.8072015414717055
F15,MARKET_AMOUNT_RATIO20,-0.14231976939940275,-0.19972343451704025,-0.1642624125697808,-0.13378067306831073,0.8868274317468328
