feature_id,name,n,pearson_R,spearman_R,spearman_win,spearman_mae,spearman_hold
F01,ALL_A_EW_RET20,665,-0.1622644173884093,-0.18427801839342742,-0.04784001286808609,0.05081667862263931,-0.016487899932958044
F02,ALL_A_EW_RET60,636,-0.17008564034902962,-0.21007321731476494,-0.2091993207146683,-0.03217452369563072,0.12971848609005254
F03,CSI300_RET20,665,-0.05436904390004487,-0.06422862757675694,-0.022399188976889445,0.0955434418021609,-0.06419055796485475
F04,CSI1000_RET20,665,-0.09417061911542274,-0.08931074837859873,0.013071108185869174,0.12013206249097182,-0.09552410079358627
F05,ALL_A_DISTANCE_MA20,666,-0.2582351203607325,-0.24788989370382886,-0.08163367485547847,-0.03563520007929383,-0.008036949065741018
F06,ALL_A_MA20_SLOPE,664,-0.10633138691003424,-0.15018627908702134,-0.029566997189482386,0.08195542008813671,-0.027877598370761696
F07,BREADTH_MA20,666,-0.2176810006298699,-0.2547443434830476,-0.09386404347418918,-0.0603512312158413,0.01145095910789086
F08,BREADTH_UP1D,666,-0.09284487337977057,-0.07897175167750407,-0.06544763202644546,-0.08265282112042943,0.006195251908748723
F09,BREADTH_NEWLOW20,666,0.23593682810290748,0.21769783671464413,0.13333327845441,0.10127212353993702,-0.002988312316669012
F10,BREADTH_BELOW_BB,666,0.21375645331572063,0.2380621327474781,0.14335821675728386,0.1078885772618389,-0.006364199134509989
F11,ALL_A_RV20,666,0.03382734459240677,0.09496440562486488,-0.0008507742332525789,-0.10279515799913497,0.056968288422615074
F12,ALL_A_RV60,637,0.01899216254577791,0.036637542214268674,0.09165662900817431,0.09266344771503245,-0.09934520900576775
F13,CROSS_SECTION_RET_STD,666,0.0839146386602389,0.13733720418798934,0.07220040338766749,0.0029000943543672185,0.04896363379833662
F14,DOWN_VOL_SHARE,666,0.14823241846463808,0.17804544362695146,0.07895346025380706,0.027144911867830687,0.03827372722158766
F15,MARKET_AMOUNT_RATIO20,665,-0.01147392018779313,-0.036285193609226586,0.002905013015083,-0.013632828407717438,-0.03044753360922181
F16,MARKET_AMOUNT_Z60,636,0.05812031852894496,0.027743561911696555,0.01709612069571409,-0.01404136114750118,0.0014797893986940433
F17,MEDIAN_STOCK_AMOUNT_RATIO20,666,-0.0184014743979153,-0.06009165707737475,0.010159650778393946,-0.021457895315703256,-0.01344608521199479
F18,LIMIT_DOWN_SHARE,666,0.15085045973973082,0.21351105774085333,0.09964395116309198,0.11770685025037013,-0.04869425869438638
F19,DROP5_SHARE,666,0.14823241846463808,0.17804544362695146,0.07895346025380706,0.027144911867830687,0.03827372722158766
F20,DROP7_SHARE,666,0.13169125145206417,0.18793792625763517,0.07663725181098287,0.034766849542116805,0.0296463193800327
F21,CROSS_SECTION_P10_RET,666,-0.16145280842352094,-0.1510737789184219,-0.08653651608962826,-0.06138989715961879,-0.011241757261843323
F22,N_OVERSOLD_SIGNALS,666,0.12652799392361,0.1780066361751368,0.10461717359948602,0.1124428194624037,0.012278715470390677
F23,OVERSOLD_SIGNAL_SHARE,666,0.12322744005248852,0.17617365333215657,0.10047559508947078,0.11607520386375568,0.01203140758779195
F24,N_OVERSOLD_Z60,606,0.07261091731831239,0.11126749188533865,0.05805184978772471,0.10543215314326009,0.02310989146880568
F25,MRH_20_REALIZED,664,0.017451566049428387,0.09573410172118597,0.044018564174445954,-0.11124810428875956,0.07113635582980417
F26,MRH_60_REALIZED,664,-0.09077162336569483,0.034387505604616064,-0.016904386543439502,-0.08030761283121116,0.07128937192752437
F27,MRH_WIN20_REALIZED,664,0.008515960676681157,-0.05115098936703778,-0.14007387507736355,-0.19495765918698468,0.18682285594169634
