feature_id,name,full_spearman_R,full_spearman_Y20
F01,ALL_A_EW_RET20,-0.20577174641329496,-0.1836090752055073
F02,ALL_A_EW_RET60,-0.1478197217330341,-0.2481693676184182
F03,CSI300_RET20,-0.12105422636876126,-0.12475823975563448
F04,CSI1000_RET20,-0.17165620403209422,-0.16369533617984316
F05,ALL_A_DISTANCE_MA20,-0.22357369002046082,-0.19416563244300872
F06,ALL_A_MA20_SLOPE,-0.17819828726366632,-0.15544357820667382
F07,BREADTH_MA20,-0.2187715154974989,-0.20814766846522864
F08,BREADTH_UP1D,-0.08090873515716535,-0.09709190383515462
F09,BREADTH_NEWLOW20,0.1723882589406114,0.16640943275603534
F10,BREADTH_BELOW_BB,0.16957439259634752,0.12458393025685817
F11,ALL_A_RV20,0.09594197014892933,0.1555428235104451
F12,ALL_A_RV60,0.05139811290956986,0.18361155535379636
F13,CROSS_SECTION_RET_STD,0.11794255000409654,0.08857915163418266
F14,DOWN_VOL_SHARE,0.16882473118089192,0.13401329986167293
F15,MARKET_AMOUNT_RATIO20,-0.01124600252546128,-0.07824363857679635
F16,MARKET_AMOUNT_Z60,-0.007174299078877289,-0.07676775905360479
F17,MEDIAN_STOCK_AMOUNT_RATIO20,0.0003693083831336835,-0.07396480390562071
F18,LIMIT_DOWN_SHARE,0.200329785257824,0.20594637440032032
F19,DROP5_SHARE,0.16882473118089192,0.13401329986167293
F20,DROP7_SHARE,0.17993126131436873,0.14847200379338935
F21,CROSS_SECTION_P10_RET,-0.13812281849849428,-0.1224828648218107
F22,N_OVERSOLD_SIGNALS,0.126912284578049,0.0920175868767646
F23,OVERSOLD_SIGNAL_SHARE,0.13134287621886423,0.09504958269613306
F24,N_OVERSOLD_Z60,0.09122000222990738,0.06989400949694145
F25,MRH_20_REALIZED,-0.02686741799741354,0.03625022428601661
F26,MRH_60_REALIZED,-0.06217380235743287,-0.011936437290991324
F27,MRH_WIN20_REALIZED,0.0003366184618889885,-0.08418544004661256
