feature,importance,task,model
atr14_pct,0.037426920278540665,ADD_ON_Y1,lgb
distance_ma10,0.016472285841753375,ADD_ON_Y1,lgb
distance_ma20,0.015347766360632375,ADD_ON_Y1,lgb
distance_52w_high,0.010571918276340232,ADD_ON_Y1,lgb
drawdown_20,0.00810329414532025,ADD_ON_Y1,lgb
bb_width,0.0070745745139722425,ADD_ON_Y1,lgb
daily_range_pct,0.006784006948220967,ADD_ON_Y1,lgb
bb_z,0.002916511195544702,ADD_ON_Y1,lgb
amount_ratio_5_20,0.00290495125897543,ADD_ON_Y1,lgb
csi300_ret_20,0.002777636274095041,ADD_ON_Y1,lgb
ret_20d,0.0022572567407114887,ADD_ON_Y1,lgb
market_up_ratio,0.0019468495139449704,ADD_ON_Y1,lgb
distance_ma60,0.001282117111047132,ADD_ON_Y1,lgb
volume_ratio_5_20,0.0010616166684088047,ADD_ON_Y1,lgb
realized_vol_20,0.0009427283741253234,ADD_ON_Y1,lgb
daily_bb_signal_count,0.00039133737641972033,ADD_ON_Y1,lgb
level_no,0.000342106740715975,ADD_ON_Y1,lgb
realized_vol_10,0.00022283015667765583,ADD_ON_Y1,lgb
signal_role,0.00016082328445117257,ADD_ON_Y1,lgb
distance_to_lower_band,0.00011229078267454007,ADD_ON_Y1,lgb
signal_count_last_20d,7.180832941422466e-05,ADD_ON_Y1,lgb
ret_1d,6.129209317062845e-05,ADD_ON_Y1,lgb
amount_percentile,0.0,ADD_ON_Y1,lgb
days_since_first_signal,-0.0005663148440548937,ADD_ON_Y1,lgb
market_down_ratio,-0.0014655258975030615,ADD_ON_Y1,lgb
log_amount,-0.0029083248851093035,ADD_ON_Y1,lgb
drawdown_60,-0.0030581942938328497,ADD_ON_Y1,lgb
csi1000_ret_5,-0.0034416486621478893,ADD_ON_Y1,lgb
csi300_ret_5,-0.004403677971628684,ADD_ON_Y1,lgb
ret_5d,-0.005478155960829234,ADD_ON_Y1,lgb
gap_pct,-0.0071247103189049366,ADD_ON_Y1,lgb
csi1000_ret_20,-0.0073766807306748115,ADD_ON_Y1,lgb
ret_3d,-0.008378902159770796,ADD_ON_Y1,lgb
distance_ma5,-0.009122773892150571,ADD_ON_Y1,lgb
ret_10d,-0.01302794848497868,ADD_ON_Y1,lgb
bb_z,0.0,ADD_ON_Y6,rf
days_since_first_signal,0.0,ADD_ON_Y6,rf
log_amount,0.0,ADD_ON_Y6,rf
amount_percentile,0.0,ADD_ON_Y6,rf
volume_ratio_5_20,0.0,ADD_ON_Y6,rf
amount_ratio_5_20,0.0,ADD_ON_Y6,rf
signal_role,0.0,ADD_ON_Y6,rf
level_no,0.0,ADD_ON_Y6,rf
signal_count_last_20d,0.0,ADD_ON_Y6,rf
daily_range_pct,0.0,ADD_ON_Y6,rf
csi300_ret_5,0.0,ADD_ON_Y6,rf
csi300_ret_20,0.0,ADD_ON_Y6,rf
csi1000_ret_5,0.0,ADD_ON_Y6,rf
csi1000_ret_20,0.0,ADD_ON_Y6,rf
market_up_ratio,0.0,ADD_ON_Y6,rf
market_down_ratio,0.0,ADD_ON_Y6,rf
gap_pct,0.0,ADD_ON_Y6,rf
bb_width,0.0,ADD_ON_Y6,rf
distance_to_lower_band,0.0,ADD_ON_Y6,rf
ret_5d,0.0,ADD_ON_Y6,rf
distance_ma5,0.0,ADD_ON_Y6,rf
distance_ma10,0.0,ADD_ON_Y6,rf
distance_ma20,0.0,ADD_ON_Y6,rf
distance_ma60,0.0,ADD_ON_Y6,rf
ret_1d,0.0,ADD_ON_Y6,rf
ret_3d,0.0,ADD_ON_Y6,rf
ret_10d,0.0,ADD_ON_Y6,rf
realized_vol_20,0.0,ADD_ON_Y6,rf
ret_20d,0.0,ADD_ON_Y6,rf
drawdown_20,0.0,ADD_ON_Y6,rf
drawdown_60,0.0,ADD_ON_Y6,rf
distance_52w_high,0.0,ADD_ON_Y6,rf
atr14_pct,0.0,ADD_ON_Y6,rf
realized_vol_10,0.0,ADD_ON_Y6,rf
daily_bb_signal_count,0.0,ADD_ON_Y6,rf
