group,task,model,val_ic,test_ic,test_rmse,val_auc,test_auc
NEW_ENTRY,Y1_reg,ridge,0.14768888571918654,0.067273123629634,0.16131846511926556,,
NEW_ENTRY,Y1_reg,rf,0.14756803402656785,-0.03770669125544757,0.1692282087448393,,
NEW_ENTRY,Y1_reg,xgb,0.039698815361889864,0.09706057257987634,0.1806566181205048,,
NEW_ENTRY,Y1_reg,lgb,0.07863980088630754,0.073040168826368,0.17608794784199883,,
NEW_ENTRY,Y6_bad,logit,,,,0.7175735030851998,0.5448897411942615
NEW_ENTRY,Y6_bad,rf,,,,0.7112572828851619,0.5717897074798673
NEW_ENTRY,Y6_bad,xgb,,,,0.7148421595934139,0.5561065316958727
NEW_ENTRY,Y6_bad,lgb,,,,0.6946966181373484,0.563730963766579
ADD_ON,Y1_reg,ridge,0.17816972333995112,0.3032985594791928,0.17547102201208278,,
ADD_ON,Y1_reg,rf,0.19188508076437913,0.21222317552200912,0.19260663369564773,,
ADD_ON,Y1_reg,xgb,0.12795122919872726,0.3218305106489488,0.19217546405588945,,
ADD_ON,Y1_reg,lgb,0.1653625466953043,0.3590554885041235,0.1916626771400018,,
ADD_ON,Y6_bad,logit,,,,0.7201178015674002,0.44508873306519237
ADD_ON,Y6_bad,rf,,,,0.7464264784122996,0.5617227585156348
ADD_ON,Y6_bad,xgb,,,,0.7278703258724771,0.4845955859696858
ADD_ON,Y6_bad,lgb,,,,0.7051541889838758,0.533217752101772
