model,top_k,N,D20_mean,D20_median,ci_lo,ci_hi,bad_rate
model,1,188,0.009523912262659135,-0.017336769229605448,-0.01940189617937324,0.0384418125948681,0.0
model,3,532,0.01260657981426979,-0.0099694808693279,-0.011301409201136937,0.03763074918135355,0.0
model,5,849,0.013367844612977018,-0.0122920557703165,-0.011506736380672023,0.03518335533528718,0.0
amount,1,188,0.008160612078497042,0.0152611867533394,-0.012871085163522342,0.030873322812915965,0.0
amount,3,532,0.009252794448085345,-0.0024099102024656,-0.008320688123068356,0.026933919009269797,0.0
amount,5,849,0.00829868229091548,-0.0033043879197723,-0.008252117924331283,0.026487835467378595,0.0
bb_z,1,188,0.003895180690618513,-0.01293775857770045,-0.015983849125722066,0.024031611373561,0.0
bb_z,3,532,0.004493590770481603,-0.0040899222821418005,-0.01317872607508694,0.02300648915298147,0.0
bb_z,5,849,0.005444212161994703,-0.0059629811182604,-0.012152562497023916,0.024364555548310726,0.0
atr,1,188,0.009129197005227536,-0.01337734104639045,-0.017600405818714488,0.03704143472580872,0.0
atr,3,532,0.008572080713778907,-0.01496019508441865,-0.014015701561930818,0.03273890739778461,0.0
atr,5,849,0.007759000109488459,-0.0163984916362743,-0.015930441564079523,0.03321665260010826,0.0
random,1,188,0.007586697994963875,-0.0038605091927486,-0.017878376162168207,0.03420046101140884,0.0
random,3,532,-0.0021436434295962117,-0.017651377679726347,-0.022099429067154203,0.020132350209198215,0.0
random,5,849,0.003113386488577116,-0.0140294488120574,-0.016569014777524104,0.025174193118356,0.0
model,1,188,0.006655414225303114,-0.00389386607572255,-0.014666148519872278,0.027007271522594724,0.0
model,3,532,0.004776311635359816,-0.0092639811468055,-0.014545073854129885,0.02642877046971907,0.0
model,5,849,0.004128527026226526,-0.0094561523132953,-0.014363714306099583,0.024207733468746807,0.0
amount,1,188,0.008160612078497042,0.0152611867533394,-0.014179756706805454,0.03003935393355013,0.0
amount,3,532,0.009252794448085345,-0.0024099102024656,-0.0079702217028385,0.02863876222760608,0.0
amount,5,849,0.00829868229091548,-0.0033043879197723,-0.009411391116934812,0.02623737104013367,0.0
bb_z,1,188,0.003895180690618513,-0.01293775857770045,-0.017626069872830157,0.024526181627402378,0.0
bb_z,3,532,0.004493590770481603,-0.0040899222821418005,-0.01408320872072072,0.023284931789683803,0.0
bb_z,5,849,0.005444212161994703,-0.0059629811182604,-0.014682544356917415,0.025262434645914992,0.0
atr,1,188,0.009129197005227536,-0.01337734104639045,-0.016872362145322367,0.036505966427975545,0.0
atr,3,532,0.008572080713778907,-0.01496019508441865,-0.013198580440051183,0.03170685053465055,0.0
atr,5,849,0.007759000109488459,-0.0163984916362743,-0.012358660090145315,0.031001167554419087,0.0
random,1,188,0.013850733249457287,-0.00512132721663365,-0.004770875539935555,0.03370677418461521,0.0
random,3,532,0.008629603919550272,-0.0038157729486962997,-0.010158236938258002,0.026219241732596748,0.0
random,5,849,0.01008315186226719,-0.0050390785684901,-0.007151345913398061,0.029263774841969455,0.0
model,1,188,0.014618369930191883,-0.01914550197653565,-0.013611590615490013,0.0430783605311701,0.0
model,3,532,0.00797282266068592,-0.0169258133682341,-0.013406738041114771,0.031308135734860035,0.0
model,5,849,0.008814560761630095,-0.0138432995575852,-0.011413677912818294,0.0279643215046331,0.0
amount,1,188,0.008160612078497042,0.0152611867533394,-0.012843949303910947,0.030439664938130304,0.0
amount,3,532,0.009252794448085345,-0.0024099102024656,-0.008137740510297394,0.027185600979985458,0.0
amount,5,849,0.00829868229091548,-0.0033043879197723,-0.0091932238592391,0.026735631557455276,0.0
bb_z,1,188,0.003895180690618513,-0.01293775857770045,-0.017451091980221906,0.02388017222361671,0.0
bb_z,3,532,0.004493590770481603,-0.0040899222821418005,-0.012330691218397841,0.022757337322163774,0.0
bb_z,5,849,0.005444212161994703,-0.0059629811182604,-0.014004492891634794,0.024084674785006477,0.0
atr,1,188,0.009129197005227536,-0.01337734104639045,-0.019814063311526704,0.03906568453527958,0.0
atr,3,532,0.008572080713778907,-0.01496019508441865,-0.01454703504866256,0.031389975729164604,0.0
atr,5,849,0.007759000109488459,-0.0163984916362743,-0.015967422408872934,0.03264746793576387,0.0
random,1,188,0.007324826886599349,0.00493206320411225,-0.014302983343851366,0.028778576143947243,0.0
random,3,532,0.0037531774542892936,-0.0058755529734648,-0.014721662060813046,0.022927303527903835,0.0
random,5,849,0.002495553060628534,-0.0081860585457705,-0.015384302312176999,0.020575432377057803,0.0
model,1,188,-0.00836094841854567,-0.025955191113562003,-0.03338052014515874,0.016604836976083216,0.0
model,3,532,0.001967879346033562,-0.0239034576950105,-0.019040516249357903,0.026521452102826807,0.0
model,5,849,0.005638943991721799,-0.01950973172745,-0.016922353825087097,0.027003631507967238,0.0
amount,1,188,0.008160612078497042,0.0152611867533394,-0.014399299483526442,0.031635937745294544,0.0
amount,3,532,0.009252794448085345,-0.0024099102024656,-0.008335496771699737,0.02569606689941519,0.0
amount,5,849,0.00829868229091548,-0.0033043879197723,-0.008601387588711863,0.026326839162444063,0.0
bb_z,1,188,0.003895180690618513,-0.01293775857770045,-0.015631566963398784,0.02608184531451143,0.0
bb_z,3,532,0.004493590770481603,-0.0040899222821418005,-0.013584124649990018,0.02334317399326996,0.0
bb_z,5,849,0.005444212161994703,-0.0059629811182604,-0.012687517757524773,0.02476990277335946,0.0
atr,1,188,0.009129197005227536,-0.01337734104639045,-0.018780300443648614,0.035803347715912724,0.0
atr,3,532,0.008572080713778907,-0.01496019508441865,-0.01529201747146094,0.03396776877126636,0.0
atr,5,849,0.007759000109488459,-0.0163984916362743,-0.014410325019026443,0.031338645581294164,0.0
random,1,188,0.0056712594462295625,0.0055094969786112,-0.01609581966080683,0.029344762520640652,0.0
random,3,532,0.007982210613563953,-0.004307277787183299,-0.010387179721348514,0.026371113662787393,0.0
random,5,849,0.013341702091070757,-0.0042744141104794,-0.005395894271606422,0.032667340850534805,0.0
