group,model,year,quintile,N,D20_mean,D20_median,positive_rate
ADD_ON,lgb,2022,1,4722.0,-0.009831004895614866,-0.0156654650999772,44.38797119864464
ADD_ON,lgb,2022,2,4721.0,0.014701315877996593,0.007372515752404,52.55242533361576
ADD_ON,lgb,2022,3,4722.0,0.028484688007744403,0.0249391730506037,60.419313850063524
ADD_ON,lgb,2022,4,4721.0,0.03412977842726568,0.0242921635326698,59.75428934547765
ADD_ON,lgb,2022,5,4722.0,0.06198501387644492,0.052076543413086346,65.98898771706904
ADD_ON,lgb,2023,1,4651.0,-0.010331851526377854,-0.012278044536109,42.89400129004515
ADD_ON,lgb,2023,2,4651.0,0.0014693624167420338,-0.0028662925859184,48.20468716405074
ADD_ON,lgb,2023,3,4650.0,-0.0004962747345377299,-0.004318223495805,47.82795698924731
ADD_ON,lgb,2023,4,4651.0,0.0112065111062952,0.0082168753755471,53.85938507847775
ADD_ON,lgb,2023,5,4651.0,0.03759650953287745,0.0337488598358166,62.41668458396043
ADD_ON,lgb,2024,1,4455.0,-0.005428628510952863,-0.016425533997419,43.8608305274972
ADD_ON,lgb,2024,2,4454.0,-0.021271539717816937,-0.0342068541434336,37.94342164346654
ADD_ON,lgb,2024,3,4454.0,-0.010800094583075733,-0.02168453303015215,42.164346654692416
ADD_ON,lgb,2024,4,4454.0,0.005192565694028439,-0.0058912730721179495,48.02424786708577
ADD_ON,lgb,2024,5,4455.0,0.15870331810947524,0.1353352529823117,79.25925925925927
ADD_ON,rf,2022,1,4722.0,-0.008465047081064724,-0.0156796118379701,43.68911478187209
ADD_ON,rf,2022,2,4721.0,0.02479546123039758,0.0267510267510266,62.4655793264139
ADD_ON,rf,2022,3,4722.0,0.028053831033325198,0.0171947756751014,57.009741634900465
ADD_ON,rf,2022,4,4721.0,0.025476859281804046,0.0176070347990118,56.47108663418767
ADD_ON,rf,2022,5,4722.0,0.05960899204458152,0.05142499010423545,63.46886912325286
ADD_ON,rf,2023,1,4651.0,-0.007989321980207301,-0.0097239005535948,44.54955923457321
ADD_ON,rf,2023,2,4651.0,-0.0023094456722480184,-0.0081268895758467,44.16254568909912
ADD_ON,rf,2023,3,4650.0,-0.005265565382606469,-0.00795666108662945,45.69892473118279
ADD_ON,rf,2023,4,4651.0,0.011257988966138641,0.0090580560379218,54.24639862395184
ADD_ON,rf,2023,5,4651.0,0.04374957543054275,0.0435280367350445,66.54482906901742
ADD_ON,rf,2024,1,4455.0,-0.007603032062612975,-0.0229069176437596,41.84062850729517
ADD_ON,rf,2024,2,4454.0,0.00034314091642140824,-0.0192756450830436,42.52357431522228
ADD_ON,rf,2024,3,4454.0,0.008650389503289984,-0.0105057571663863,46.51998203861697
ADD_ON,rf,2024,4,4454.0,0.0073376751799272165,-0.0009990009990008,49.75303098338572
ADD_ON,rf,2024,5,4455.0,0.11767714673054867,0.094577404372393,70.61728395061728
ADD_ON,ridge,2022,1,4722.0,0.012252359255342671,0.00637187251360485,52.49894112664125
ADD_ON,ridge,2022,2,4721.0,0.02317819386852897,0.0198135198135198,58.63164583774624
ADD_ON,ridge,2022,3,4722.0,0.01985824080964562,0.014030323501531501,54.849639983058026
ADD_ON,ridge,2022,4,4721.0,0.016081278561165598,0.0040253124913645,51.5780554967168
ADD_ON,ridge,2022,5,4722.0,0.05809769177207307,0.0517633842273842,65.54426090639559
ADD_ON,ridge,2023,1,4651.0,-0.009849590915087197,-0.0111292763398846,43.539023865835304
ADD_ON,ridge,2023,2,4651.0,-0.005390183574957837,-0.0079472305129182,46.119114168995914
ADD_ON,ridge,2023,3,4650.0,-0.0009548087803676001,-0.0060700720599198,46.666666666666664
ADD_ON,ridge,2023,4,4651.0,0.012721863296338998,0.0026013841998577,51.08578800258009
ADD_ON,ridge,2023,5,4651.0,0.0429168781808023,0.0342221880683417,67.79187271554504
ADD_ON,ridge,2024,1,4455.0,-0.004617373468948155,-0.0159653081001395,43.59147025813693
ADD_ON,ridge,2024,2,4454.0,-0.02335434882870587,-0.033355824469678,37.539290525370454
ADD_ON,ridge,2024,3,4454.0,-0.019764056599956545,-0.0264158173246396,40.68253255500673
ADD_ON,ridge,2024,4,4454.0,0.03164981962789226,0.0081106806163928,52.6268522676246
ADD_ON,ridge,2024,5,4455.0,0.14248503940454282,0.1245896960182675,76.81257014590348
ADD_ON,xgb,2022,1,4722.0,-0.013200375499910266,-0.023827891660652897,41.507835662854724
ADD_ON,xgb,2022,2,4721.0,0.01707418722567221,0.0101867244724389,54.20461766574878
ADD_ON,xgb,2022,3,4722.0,0.03337070600088769,0.0276804535177742,61.5417196103346
ADD_ON,xgb,2022,4,4721.0,0.030578533615213763,0.0233668770254136,59.627197627621264
ADD_ON,xgb,2022,5,4722.0,0.06164649040231973,0.0517883803855142,66.22193985599323
ADD_ON,xgb,2023,1,4651.0,-0.00434657596800389,-0.0060959448714549,45.92560739625887
ADD_ON,xgb,2023,2,4651.0,-2.0479408470180028e-05,-0.0042515623910971,47.75317136099764
ADD_ON,xgb,2023,3,4650.0,0.0021359381273148856,-0.0020218064208637,49.03225806451613
ADD_ON,xgb,2023,4,4651.0,0.00981854252248677,0.0074671091620244,53.27886476026661
ADD_ON,xgb,2023,5,4651.0,0.03185739746724492,0.0251752422942403,59.21307245753601
ADD_ON,xgb,2024,1,4455.0,-0.0007539492998526935,-0.0113459818275973,45.14029180695847
ADD_ON,xgb,2024,2,4454.0,-0.015511245371939765,-0.028791048778934798,39.717108217332736
ADD_ON,xgb,2024,3,4454.0,-0.021956783472441965,-0.02983039553600985,39.515042658284685
ADD_ON,xgb,2024,4,4454.0,0.021493766633501152,0.00525650635437345,51.773686573866186
ADD_ON,xgb,2024,5,4455.0,0.14312628027038152,0.1162171162171163,75.10662177328844
NEW_ENTRY,lgb,2022,1,3103.0,-0.018607761398650308,-0.0331671905911619,38.44666451820819
NEW_ENTRY,lgb,2022,2,3103.0,0.0025299133710440435,-0.0134865134865133,45.214308733483726
NEW_ENTRY,lgb,2022,3,3103.0,0.010701319995349857,-0.0073418644847217,46.50338382210764
NEW_ENTRY,lgb,2022,4,3103.0,0.023601058767438753,0.007291463722999,53.206574282951976
NEW_ENTRY,lgb,2022,5,3103.0,0.04251189355635298,0.0259201875968344,64.61488881727361
NEW_ENTRY,lgb,2023,1,3100.0,-0.004552787076687947,-0.01250931657834425,42.90322580645161
NEW_ENTRY,lgb,2023,2,3100.0,-1.793708394117543e-05,-0.0081191826211933,45.87096774193548
NEW_ENTRY,lgb,2023,3,3100.0,0.004287997014159071,-0.0009990009990009,49.193548387096776
NEW_ENTRY,lgb,2023,4,3100.0,-0.0015200184340789912,-0.008289005293764199,45.61290322580645
NEW_ENTRY,lgb,2023,5,3100.0,0.014863245770376806,0.001161352656064,50.38709677419355
NEW_ENTRY,lgb,2024,1,2303.0,0.004621940695188642,-0.0026836569838254,48.93617021276596
NEW_ENTRY,lgb,2024,2,2302.0,0.011494968914068577,0.0030630526498295002,50.955690703735876
NEW_ENTRY,lgb,2024,3,2302.0,0.007793035259224162,-0.0009990009990009,49.8262380538662
NEW_ENTRY,lgb,2024,4,2302.0,0.014063681103026688,-0.00650807872035995,48.60990443092963
NEW_ENTRY,lgb,2024,5,2303.0,0.03269387298006075,0.0097059465601372,53.10464611376465
NEW_ENTRY,rf,2022,1,3103.0,-0.034367254135596055,-0.0493403667056361,33.22591040928134
NEW_ENTRY,rf,2022,2,3103.0,0.007360396021683858,-0.0121387133800346,45.085401224621336
NEW_ENTRY,rf,2022,3,3103.0,0.022666369952335605,0.0036388866472432,51.079600386722525
NEW_ENTRY,rf,2022,4,3103.0,0.02986747793794192,0.0146103896103897,57.106026426039314
NEW_ENTRY,rf,2022,5,3103.0,0.03520943451517,0.0197594613179028,61.48888172736062
NEW_ENTRY,rf,2023,1,3100.0,-0.007929709219807445,-0.02194886369654015,39.483870967741936
NEW_ENTRY,rf,2023,2,3100.0,0.006712310076881666,-0.0009990009990009,49.096774193548384
NEW_ENTRY,rf,2023,3,3100.0,-0.0064427080841187034,-0.01305385176352905,43.064516129032256
NEW_ENTRY,rf,2023,4,3100.0,-0.019290233736592378,-0.01915057852732955,40.58064516129033
NEW_ENTRY,rf,2023,5,3100.0,0.040010841153464635,0.026362743583878502,61.74193548387097
NEW_ENTRY,rf,2024,1,2303.0,0.01933691007792134,0.0122292961276011,55.10204081632652
NEW_ENTRY,rf,2024,2,2302.0,0.021112257302556423,0.0093802301594509,53.82276281494352
NEW_ENTRY,rf,2024,3,2302.0,-0.01642779762760758,-0.03694866284794305,37.83666377063423
NEW_ENTRY,rf,2024,4,2302.0,0.05438071774891486,0.0173452719239095,56.42919200695048
NEW_ENTRY,rf,2024,5,2303.0,-0.007723423334346689,-0.0074860204730333,48.24142422926617
NEW_ENTRY,ridge,2022,1,3103.0,-0.014810953245535614,-0.024347939206036,38.80116016757976
NEW_ENTRY,ridge,2022,2,3103.0,-0.009190445575714148,-0.0173967446694718,40.96036094102482
NEW_ENTRY,ridge,2022,3,3103.0,0.011030795453465199,-0.0009990009990008,49.822752175314214
NEW_ENTRY,ridge,2022,4,3103.0,0.027739277651882683,0.0172475925900585,57.04157267160812
NEW_ENTRY,ridge,2022,5,3103.0,0.04596775000743721,0.031523324516955,61.35997421849822
NEW_ENTRY,ridge,2023,1,3100.0,-0.011130747134566058,-0.0187759653408507,41.54838709677419
NEW_ENTRY,ridge,2023,2,3100.0,-0.012715405481650923,-0.0208672137716377,38.903225806451616
NEW_ENTRY,ridge,2023,3,3100.0,-0.0034090348991096123,-0.012029656060257351,43.93548387096774
NEW_ENTRY,ridge,2023,4,3100.0,0.007562191689625919,-0.00285995003167105,48.58064516129032
NEW_ENTRY,ridge,2023,5,3100.0,0.03275349601552844,0.02330020462827235,61.0
NEW_ENTRY,ridge,2024,1,2303.0,0.0013489141458859638,-0.0093538480635252,46.63482414242293
NEW_ENTRY,ridge,2024,2,2302.0,0.004555797511667461,-0.00491207773774775,48.34926151172893
NEW_ENTRY,ridge,2024,3,2302.0,0.01491923058442419,0.00248184928357925,50.608166811468294
NEW_ENTRY,ridge,2024,4,2302.0,0.013188398446643854,0.00315792983967885,50.608166811468294
NEW_ENTRY,ridge,2024,5,2303.0,0.03665485940982812,0.0191930353628182,55.23230568823274
NEW_ENTRY,xgb,2022,1,3103.0,-0.021471026339556828,-0.0338702785054715,37.83435385111183
NEW_ENTRY,xgb,2022,2,3103.0,-0.001990002788897386,-0.0160318477691937,43.66741862713503
NEW_ENTRY,xgb,2022,3,3103.0,0.009992151923556474,-0.0080484032096934,45.858846277795685
NEW_ENTRY,xgb,2022,4,3103.0,0.023521898296442367,0.008881800136355,54.36674186271351
NEW_ENTRY,xgb,2022,5,3103.0,0.0506834031999907,0.0341403581304653,66.25845955526908
NEW_ENTRY,xgb,2023,1,3100.0,-0.00045693815572666544,-0.00991865277579545,44.70967741935484
NEW_ENTRY,xgb,2023,2,3100.0,-0.00014139945343955655,-0.005383113132984551,46.83870967741935
NEW_ENTRY,xgb,2023,3,3100.0,0.0033421585755756115,-0.0018102088602356,48.74193548387097
NEW_ENTRY,xgb,2023,4,3100.0,0.001674092412574753,-0.009129298486420499,45.61290322580645
NEW_ENTRY,xgb,2023,5,3100.0,0.008642586810843626,-0.0045951695277037,48.064516129032256
NEW_ENTRY,xgb,2024,1,2303.0,0.0044683081532071395,-0.0009990009990009,49.50065132435953
NEW_ENTRY,xgb,2024,2,2302.0,-0.007895270683658636,-0.0103684111380647,47.17636837532581
NEW_ENTRY,xgb,2024,3,2302.0,0.01627515009597244,0.00261256640929525,50.39096437880104
NEW_ENTRY,xgb,2024,4,2302.0,0.020668652466925973,0.00018048339261395,50.0868809730669
NEW_ENTRY,xgb,2024,5,2303.0,0.03714879042003503,0.0125705676056964,54.277029960920544
