group,model,year,Q5_median,Q1_median,Q5_Q1_spread,overall_median,Q5_vs_overall,Q5_positive_rate,Q1_positive_rate
ADD_ON,lgb,2022,0.052076543413086346,-0.0156654650999772,0.06774200851306354,0.017775292972680948,0.0343012504404054,65.98898771706904,44.38797119864464
ADD_ON,lgb,2023,0.0337488598358166,-0.012278044536109,0.0460269043719256,0.0022126595455999503,0.03153620029021665,62.41668458396043,42.89400129004515
ADD_ON,lgb,2024,0.1353352529823117,-0.016425533997419,0.1517607869797307,0.0010768502743927,0.134258402707919,79.25925925925927,43.8608305274972
ADD_ON,rf,2022,0.05142499010423545,-0.0156796118379701,0.06710460194220555,0.017775292972680948,0.0336496971315545,63.46886912325286,43.68911478187209
ADD_ON,rf,2023,0.0435280367350445,-0.0097239005535948,0.0532519372886393,0.0022126595455999503,0.041315377189444544,66.54482906901742,44.54955923457321
ADD_ON,rf,2024,0.094577404372393,-0.0229069176437596,0.1174843220161526,0.0010768502743927,0.0935005540980003,70.61728395061728,41.84062850729517
ADD_ON,ridge,2022,0.0517633842273842,0.00637187251360485,0.04539151171377935,0.017775292972680948,0.03398809125470325,65.54426090639559,52.49894112664125
ADD_ON,ridge,2023,0.0342221880683417,-0.0111292763398846,0.0453514644082263,0.0022126595455999503,0.03200952852274175,67.79187271554504,43.539023865835304
ADD_ON,ridge,2024,0.1245896960182675,-0.0159653081001395,0.140555004118407,0.0010768502743927,0.1235128457438748,76.81257014590348,43.59147025813693
ADD_ON,xgb,2022,0.0517883803855142,-0.023827891660652897,0.0756162720461671,0.017775292972680948,0.03401308741283325,66.22193985599323,41.507835662854724
ADD_ON,xgb,2023,0.0251752422942403,-0.0060959448714549,0.0312711871656952,0.0022126595455999503,0.02296258274864035,59.21307245753601,45.92560739625887
ADD_ON,xgb,2024,0.1162171162171163,-0.0113459818275973,0.1275630980447136,0.0010768502743927,0.11514026594272361,75.10662177328844,45.14029180695847
NEW_ENTRY,lgb,2022,0.0259201875968344,-0.0331671905911619,0.0590873781879963,-0.0009990009990008,0.026919188595835197,64.61488881727361,38.44666451820819
NEW_ENTRY,lgb,2023,0.001161352656064,-0.01250931657834425,0.01367066923440825,-0.006343039036688,0.007504391692752,50.38709677419355,42.90322580645161
NEW_ENTRY,lgb,2024,0.0097059465601372,-0.0026836569838254,0.0123896035439626,0.0009620502595616999,0.008743896300575501,53.10464611376465,48.93617021276596
NEW_ENTRY,rf,2022,0.0197594613179028,-0.0493403667056361,0.0690998280235389,-0.0009990009990008,0.0207584623169036,61.48888172736062,33.22591040928134
NEW_ENTRY,rf,2023,0.026362743583878502,-0.02194886369654015,0.04831160728041865,-0.006343039036688,0.032705782620566504,61.74193548387097,39.483870967741936
NEW_ENTRY,rf,2024,-0.0074860204730333,0.0122292961276011,-0.0197153166006344,0.0009620502595616999,-0.008448070732595,48.24142422926617,55.10204081632652
NEW_ENTRY,ridge,2022,0.031523324516955,-0.024347939206036,0.055871263722991,-0.0009990009990008,0.0325223255159558,61.35997421849822,38.80116016757976
NEW_ENTRY,ridge,2023,0.02330020462827235,-0.0187759653408507,0.04207616996912305,-0.006343039036688,0.02964324366496035,61.0,41.54838709677419
NEW_ENTRY,ridge,2024,0.0191930353628182,-0.0093538480635252,0.0285468834263434,0.0009620502595616999,0.0182309851032565,55.23230568823274,46.63482414242293
NEW_ENTRY,xgb,2022,0.0341403581304653,-0.0338702785054715,0.0680106366359368,-0.0009990009990008,0.0351393591294661,66.25845955526908,37.83435385111183
NEW_ENTRY,xgb,2023,-0.0045951695277037,-0.00991865277579545,0.005323483248091751,-0.006343039036688,0.0017478695089843,48.064516129032256,44.70967741935484
NEW_ENTRY,xgb,2024,0.0125705676056964,-0.0009990009990009,0.0135695686046973,0.0009620502595616999,0.011608517346134701,54.277029960920544,49.50065132435953
