year,n_days,daily_delta_pp,n_deep,n_shallow
2020,162,-0.5123948613999689,2719,2663
2021,223,0.4167305450215174,3185,3128
2022,208,0.35637643726836205,4676,4633
2023,228,-0.01611698841717768,4666,4629
2024,180,-0.5748371113439632,4007,3974
