pair,point,n_days,hac_ci_lo,hac_ci_hi,boot_ci_lo,boot_ci_hi,boot_p_nonpos,scope,pop
DEEP30-SHALLOW30 (all days),-0.023073037418788262,1001,-0.5292497992800708,0.4831037244424942,-0.571181322104292,0.4986886714524991,0.528,,
DEEP30-SHALLOW30,-0.10006290838671947,961,-0.5793980680507573,0.37927225127731834,-0.6295772086524156,0.3691557223209123,0.662,collision>=4,
,-0.8399958068341747,407,-1.9763137644128483,0.29632215074449875,-1.900479696566799,0.3034796556993819,0.927,,all
,-1.4746469570274285,205,-2.750064265677528,-0.19922964837732904,-3.040961064271246,-0.3800294706790895,0.997,,"[-2.5,-3.0)"
,-0.05944845493219175,64,-2.59939785889923,2.480500949034847,-1.4700601023942177,1.7055600736662244,0.4365,,"[-3.0,-3.5)"
