bin,n,mean_return,median_return,win_rate,mean_MAE,median_hold,mae30,hold90
"[-2.0,-2.5)",49209,4.746717048754287,5.171233258200524,75.89465341705785,-10.765190528652983,25.0,8.868296449836413,3.253469893718629
"[-2.5,-3.0)",11975,5.1483302326058995,5.385924388621264,76.04175365344467,-10.471313696668968,25.0,8.876826722338205,3.490605427974948
"[-3.0,-3.5)",2340,5.4666852818895455,5.794521230784362,77.56410256410257,-10.38686529071675,26.0,8.547008547008547,3.2478632478632483
<-3.5,261,4.8757565490707995,5.205118897420028,74.32950191570882,-9.920268271152588,26.0,9.195402298850574,3.4482758620689653
