reverse_id,offset,n,IC,direction_ok
R01,0,22,-0.36645962732919257,True
R01,1,22,-0.4059853190287973,True
R01,2,22,-0.5053642010163749,True
R01,3,22,-0.3314511575381141,True
R01,4,22,-0.36984754376058726,True
R01,5,21,-0.31428571428571433,True
R01,6,21,-0.41038961038961036,True
R01,7,21,-0.39090909090909093,True
R01,8,21,-0.45584415584415583,True
R01,9,21,-0.36623376623376624,True
R01,10,21,-0.3896103896103896,True
R01,11,21,-0.36883116883116884,True
R01,12,21,-0.2662337662337662,True
R01,13,21,-0.3220779220779221,True
R01,14,21,-0.35844155844155845,True
R01,15,21,-0.34935064935064936,True
R01,16,21,-0.5558441558441559,True
R01,17,21,-0.6636363636363637,True
R01,18,21,-0.5389610389610389,True
R01,19,21,-0.5285714285714286,True
R02,0,22,-0.20045172219085267,True
R02,1,22,-0.10559006211180126,True
R02,2,22,-0.10333145115753813,True
R02,3,22,-0.1643139469226426,True
R02,4,22,-0.06719367588932806,True
R02,5,21,-0.13116883116883118,True
R02,6,21,-0.16623376623376623,True
R02,7,21,-0.3155844155844156,True
R02,8,21,-0.438961038961039,True
R02,9,21,-0.1974025974025974,True
R02,10,21,-0.14285714285714285,True
R02,11,21,-0.23636363636363636,True
R02,12,21,-0.14025974025974028,True
R02,13,21,-0.18571428571428572,True
R02,14,21,-0.22857142857142856,True
R02,15,21,-0.24155844155844156,True
R02,16,21,-0.3077922077922078,True
R02,17,21,-0.425974025974026,True
R02,18,21,-0.3181818181818181,True
R02,19,21,-0.36233766233766235,True
R03,0,22,-0.27724449463579903,True
R03,1,22,-0.19706380575945792,True
R03,2,22,-0.20158102766798422,True
R03,3,22,-0.1101072840203275,True
R03,4,22,-0.1078486730660644,True
R03,5,21,-0.07532467532467534,True
R03,6,21,-0.13116883116883118,True
R03,7,21,-0.24285714285714283,True
R03,8,21,-0.16233766233766234,True
R03,9,21,-0.11818181818181818,True
R03,10,21,-0.10259740259740259,True
R03,11,21,-0.187012987012987,True
R03,12,21,-0.16883116883116883,True
R03,13,21,-0.15714285714285717,True
R03,14,21,-0.2194805194805195,True
R03,15,21,-0.1974025974025974,True
R03,16,21,-0.2636363636363636,True
R03,17,21,-0.31428571428571433,True
R03,18,21,-0.3220779220779221,True
R03,19,21,-0.33766233766233766,True
R04,0,22,-0.042348955392433656,True
R04,1,22,-0.18690005646527386,True
R04,2,22,-0.11236589497459064,True
R04,3,22,-0.03444381705251271,True
R04,4,22,-0.2930547713156409,True
R04,5,21,0.27792207792207796,False
R04,6,21,-0.18571428571428572,True
R04,7,21,0.17142857142857143,False
R04,8,21,-0.5805194805194805,True
R04,9,21,-0.4168831168831169,True
R04,10,21,-0.08311688311688312,True
R04,11,21,-0.2194805194805195,True
R04,12,21,0.05064935064935065,False
R04,13,21,-0.04025974025974026,True
R04,14,21,-0.3194805194805195,True
R04,15,21,-0.18961038961038962,True
R04,16,21,-0.3116883116883117,True
R04,17,21,-0.2545454545454545,True
R04,18,21,-0.14285714285714285,True
R04,19,21,0.14935064935064934,False
R05,0,22,0.3569613245987091,True
R05,1,22,0.2707746218954658,True
R05,2,22,0.14963297571993225,True
R05,3,22,0.028805423345781903,True
R05,4,22,0.2298136645962733,True
R05,5,21,0.012987012987012986,True
R05,6,21,0.15994811963266706,True
R05,7,21,0.12747984332067894,True
R05,8,21,0.1673238353971207,True
R05,9,21,0.3364728985514665,True
R05,10,21,0.4720420115988467,True
R05,11,21,0.18725633517970774,True
R05,12,21,-0.00909090909090909,False
R05,13,21,0.13186100078368282,True
R05,14,21,0.1209363831368946,True
R05,15,21,0.12857142857142856,True
R05,16,21,0.27568293790345866,True
R05,17,21,0.1883116883116883,True
R05,18,21,-0.01038961038961039,False
R05,19,21,0.10522897599486017,True
R06,0,22,-0.11688311688311688,True
R06,1,22,-0.27611518915866745,True
R06,2,22,-0.13833992094861663,True
R06,3,22,-0.02766798418972332,True
R06,4,22,-0.2874082439299831,True
R06,5,21,0.2584415584415584,False
R06,6,21,-0.2909090909090909,True
R06,7,21,0.08571428571428572,False
R06,8,21,-0.43636363636363634,True
R06,9,21,-0.34415584415584416,True
R06,10,21,-0.11688311688311687,True
R06,11,21,-0.14155844155844155,True
R06,12,21,0.06883116883116883,False
R06,13,21,-0.03766233766233767,True
R06,14,21,-0.22207792207792207,True
R06,15,21,-0.17142857142857143,True
R06,16,21,-0.26493506493506497,True
R06,17,21,-0.28181818181818186,True
R06,18,21,-0.18311688311688312,True
R06,19,21,0.11038961038961038,False
R07,0,22,-0.22190852625635235,True
R07,1,22,-0.1643139469226426,True
R07,2,22,-0.21513269339356297,True
R07,3,22,-0.24223602484472054,True
R07,4,22,-0.3777526821005082,True
R07,5,21,-0.26883116883116887,True
R07,6,21,-0.4623376623376624,True
R07,7,21,-0.33246753246753247,True
R07,8,21,-0.34415584415584416,True
R07,9,21,-0.23766233766233766,True
R07,10,21,-0.2662337662337662,True
R07,11,21,-0.37142857142857144,True
R07,12,21,-0.18181818181818182,True
R07,13,21,-0.13506493506493505,True
R07,14,21,-0.1883116883116883,True
R07,15,21,-0.2662337662337662,True
R07,16,21,-0.42727272727272725,True
R07,17,21,-0.42987012987012985,True
R07,18,21,-0.4285714285714285,True
R07,19,21,-0.40259740259740256,True
