episode_id,ts_code,entry_date,exit_date,exit_type,hold_days,total_cost,pnl,simple_return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl
2094,300156.SZ,2020-04-17,2020-08-20,TAKE_PROFIT_DYN,84,799948.8746449198,-687822.7118461197,-85.98333389136019,-85.98333389136019,0.0,1.0,False,-687822.7118461197
52024,300125.SZ,2024-01-23,2024-07-22,TAKE_PROFIT_DYN,117,997729.8163232398,-753432.3516099598,-75.5146673261157,-75.5146673261157,0.0,1.0,False,-753432.3516099597
53530,002528.SZ,2024-03-28,2024-07-22,TAKE_PROFIT_DYN,76,598642.4955911399,-398235.6806135399,-66.52312248903999,-66.52312248903999,0.0,1.0,False,-398235.6806135398
54070,603388.SH,2024-04-09,2024-07-22,TAKE_PROFIT_DYN,70,399327.62319449993,-263252.4339951,-65.92392279030443,-65.92392279030443,0.0,1.0,False,-263252.4339950999
54239,603959.SH,2024-04-11,2024-07-19,TAKE_PROFIT_DYN,67,599619.7256048999,-391694.1612229799,-65.323761793833,-65.323761793833,0.0,1.0,False,-391694.1612229799
43642,688707.SH,2023-08-14,2024-09-02,TAKE_PROFIT_DYN,256,992649.421764,-646160.0539679999,-65.09448752004843,-64.90452554736841,0.1899619726800239,1.0054421768707484,True,-644274.3975446201
50012,300338.SZ,2023-12-25,2024-07-01,TAKE_PROFIT_DYN,122,999433.96128576,-635702.97908304,-63.60630153744382,-63.60630153744382,0.0,1.0,False,-635702.97908304
21975,600136.SH,2022-01-28,2022-07-21,TAKE_PROFIT_DYN,113,999193.65882336,-621670.31634708,-62.2171999249027,-62.2171999249027,0.0,1.0,False,-621670.31634708
54540,002750.SZ,2024-04-16,2024-07-18,TAKE_PROFIT_DYN,63,399376.68494723993,-235697.14401155993,-59.01625029580706,-59.01625029580706,0.0,1.0,False,-235697.14401155993
48716,688021.SH,2023-12-08,2024-09-25,TAKE_PROFIT_DYN,193,994534.7948335798,-575867.6288857798,-57.903215842955234,-57.903215842955234,0.0,1.0,False,-575867.6288857796
51815,000851.SZ,2024-01-23,2024-07-18,TAKE_PROFIT_DYN,115,999595.16418762,-578465.3382849,-57.8699616614316,-57.8699616614316,0.0,1.0,False,-578465.3382849001
7187,000007.SZ,2020-12-03,2021-02-23,TAKE_PROFIT_DYN,52,399282.56648279994,-228120.0533297999,-57.13248523201595,-57.12989770773467,0.002587524281281617,1.0000603609585321,True,-228109.7217964413
45951,301239.SZ,2023-10-11,2024-07-18,TAKE_PROFIT_DYN,188,986750.9975723398,-557655.2104048198,-56.514278858272704,-56.514278858272704,0.0,1.0,False,-557655.2104048198
6810,300044.SZ,2020-11-11,2021-06-08,TAKE_PROFIT_DYN,139,997734.8226245396,-560724.1507445397,-56.1997174028221,-56.1997174028221,0.0,1.0,False,-560724.1507445397
34364,301029.SZ,2022-12-22,2024-02-26,TAKE_PROFIT_DYN,282,989800.8363243,-627074.0843261399,-63.35356177863284,-55.78570560853069,7.5678561701021465,1.2065100058125053,True,-552167.3806626487
21745,688086.SH,2022-01-26,2022-06-06,TAKE_PROFIT_DYN,82,996369.1036298998,-555398.3966889598,-55.74223394378374,-55.74223394378374,0.0,1.0,False,-555398.3966889598
51380,002453.SZ,2024-01-19,2024-09-19,TAKE_PROFIT_DYN,160,998180.3834402398,-551846.9748290398,-55.285295522147315,-55.285295522147315,0.0,1.0,False,-551846.9748290398
38165,002808.SZ,2023-03-31,2023-06-21,TAKE_PROFIT_DYN,54,198970.4388672,-108724.7419002,-54.64366592304035,-54.64366592304035,0.0,1.0,False,-108724.74190020001
21278,300392.SZ,2022-01-26,2022-07-20,TAKE_PROFIT_DYN,114,998484.7665592798,-542844.2698725597,-54.36680538884629,-54.36680538884629,0.0,1.0,False,-542844.2698725597
42,000673.SZ,2020-03-02,2020-07-09,TAKE_PROFIT_DYN,87,599724.8579322,-324268.4508713999,-54.069536485355925,-54.069536485355925,0.0,1.0,False,-324268.45087139984
35261,603032.SH,2023-02-07,2023-11-10,TAKE_PROFIT_DYN,186,985544.47895904,-660964.49936352,-67.0659227944384,-53.892291912213764,13.173630882224643,1.4,True,-531132.507525312
51778,000040.SZ,2024-01-23,2024-10-29,TAKE_PROFIT_DYN,181,799684.5419362801,-424236.2096926801,-53.05044519998785,-53.05044519998785,0.0,1.0,False,-424236.2096926801
52794,002424.SZ,2024-02-01,2024-07-19,TAKE_PROFIT_DYN,109,998284.51450728,-529332.966756,-53.02425902271569,-53.02425902271569,0.0,1.0,False,-529332.966756
35872,300427.SZ,2023-03-03,2023-06-05,TAKE_PROFIT_DYN,62,996958.84592304,-515884.92677766,-51.74585981029387,-51.74585981029387,0.0,1.0,False,-515884.92677766
15748,603877.SH,2021-09-01,2022-06-01,TAKE_PROFIT_DYN,177,989018.85206124,-525005.3107206,-53.08344827061918,-51.56096409835917,1.5224841722600075,1.0324508966695132,True,-509947.6552373
