round,ts_code,entry_date,exit_date,exit_type,hold_days,pnl,return_pct,adj_ret_pct,delta_pp,factor_ratio,crossed,adj_pnl,year
75,300059.SZ,2025-01-03,2025-02-07,TAKE_PROFIT_DYN,19,22018.793702708324,5.53,5.5299999999999905,-9.769962616701378e-15,1.0,False,22018.793702708284,2025
77,300308.SZ,2025-02-06,2025-05-08,TAKE_PROFIT_DYN,61,44131.62004571932,5.7,5.699999999999994,-6.217248937900877e-15,1.0,False,44131.62004571927,2025
72,600150.SH,2024-09-23,2024-12-18,TAKE_PROFIT_DYN,57,25436.3520043632,6.46,6.459999999999999,-8.881784197001252e-16,1.0,False,25436.352004363198,2024
54,600519.SH,2023-04-13,2023-06-16,TAKE_PROFIT_DYN,43,21583.124183761713,6.52,6.522784545407001,0.0027845454070014597,1.0000261410571443,True,21592.341850834513,2023
52,300059.SZ,2023-03-08,2023-04-03,TAKE_PROFIT_DYN,18,26491.370888469333,6.66,6.659999999999999,-8.881784197001252e-16,1.0,False,26491.370888469333,2023
24,600031.SH,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,35,26446.78991808009,4.43,6.7095354477611835,2.2795354477611838,1.0218283582089551,True,40055.45698303645,2021
58,002475.SZ,2023-09-08,2023-10-11,TAKE_PROFIT_DYN,17,13313.771587543888,6.73,6.7299999999999915,-8.881784197001252e-15,1.0,False,13313.77158754387,2023
50,300014.SZ,2023-01-12,2023-02-01,TAKE_PROFIT_DYN,9,13723.867595196903,6.97,6.9700000000000095,9.769962616701378e-15,1.0,False,13723.867595196924,2023
41,601888.SH,2022-08-09,2022-09-26,TAKE_PROFIT_DYN,33,27874.463486190245,7.19,7.1900000000000075,7.105427357601002e-15,1.0,False,27874.463486190274,2022
32,600030.SH,2021-11-17,2021-12-06,TAKE_PROFIT_DYN,13,15779.60539603603,7.94,7.9399999999999915,-8.881784197001252e-15,1.0,False,15779.605396036011,2021
71,601899.SH,2024-07-24,2024-09-25,TAKE_PROFIT_DYN,43,34330.47968560393,7.24,7.949862884160752,0.7098628841607519,1.0066193853427896,True,37696.49257569301,2024
64,601318.SH,2024-03-25,2024-04-29,TAKE_PROFIT_DYN,23,32003.39317152993,8.1,8.099999999999996,-3.552713678800501e-15,1.0,False,32003.393171529915,2024
3,000063.SZ,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,17,16503.35348347336,8.34,8.339999999999993,-7.105427357601002e-15,1.0,False,16503.353483473344,2020
55,600809.SH,2023-05-23,2023-07-25,TAKE_PROFIT_DYN,43,38903.72564703948,6.61,8.38737504212066,1.777375042120659,1.0166717478859455,True,49364.6198997713,2023
43,601899.SH,2022-09-27,2022-10-27,TAKE_PROFIT_DYN,17,33980.60838873399,8.5,8.499999999999996,-3.552713678800501e-15,1.0,False,33980.60838873398,2022
