date,frozen_events,replay_events,frozen_only,replay_only
2020-06-18,"[('000063.SZ', 'EXIT'), ('002415.SZ', 'EXIT')]","[('000063.SZ', 'EXIT'), ('002415.SZ', 'EXIT'), ('002714.SZ', 'EXIT')]",[],"[('002714.SZ', 'EXIT')]"
2020-07-06,"[('002714.SZ', 'EXIT')]",[],"[('002714.SZ', 'EXIT')]",[]
2022-06-06,[],"[('002415.SZ', 'EXIT')]",[],"[('002415.SZ', 'EXIT')]"
2022-06-08,"[('002415.SZ', 'EXIT')]",[],"[('002415.SZ', 'EXIT')]",[]
2022-10-27,"[('601899.SH', 'EXIT')]",[],"[('601899.SH', 'EXIT')]",[]
2022-10-28,"[('000858.SZ', 'INIT')]","[('601899.SH', 'EXIT')]","[('000858.SZ', 'INIT')]","[('601899.SH', 'EXIT')]"
2022-10-31,[],"[('300750.SZ', 'INIT')]",[],"[('300750.SZ', 'INIT')]"
2022-11-30,"[('000858.SZ', 'EXIT')]",[],"[('000858.SZ', 'EXIT')]",[]
2022-12-07,"[('300274.SZ', 'INIT')]","[('300274.SZ', 'INIT'), ('300750.SZ', 'EXIT')]",[],"[('300750.SZ', 'EXIT')]"
2023-12-29,[],"[('600519.SH', 'EXIT')]",[],"[('600519.SH', 'EXIT')]"
2024-01-04,[],"[('002230.SZ', 'INIT')]",[],"[('002230.SZ', 'INIT')]"
2024-02-06,"[('600519.SH', 'EXIT')]",[],"[('600519.SH', 'EXIT')]",[]
2024-02-08,[],"[('002230.SZ', 'EXIT')]",[],"[('002230.SZ', 'EXIT')]"
2025-07-10,[],"[('600519.SH', 'EXIT')]",[],"[('600519.SH', 'EXIT')]"
2025-07-11,"[('600519.SH', 'EXIT')]",[],"[('600519.SH', 'EXIT')]",[]
2026-08-25,"[('600276.SH', 'EXIT'), ('688256.SH', 'EXIT'), ('688256.SH', 'INIT'), ('688525.SH', 'EXIT')]","[('688256.SH', 'INIT')]","[('600276.SH', 'EXIT'), ('688256.SH', 'EXIT'), ('688525.SH', 'EXIT')]",[]
