hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_independent_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,win_rate,std_daily,n_days_used,hac_t,ci_lo,ci_hi,boot_p_pos,raw_p,fdr_q
P0016,TREND,SIDEWAYS,B4,10D,1947,201,6,VALID_SAMPLE,-0.024089868676751742,-0.01621943849616217,-0.007870430180589565,0.0076385406094538096,0.5726759116589625,0.10560485089806888,201.0,-0.8238522312127536,-0.032254098404445486,0.012361969930613252,0.7385,0.411004882666555,0.8300045426969109
P0017,TREND,DOWN,B1,5D,106867,175,32,VALID_SAMPLE,0.002303200769081217,-0.0004304984206383148,0.0027336991897195344,0.005926217183520952,0.5365734978992579,0.04300600272438679,175.0,0.5049921288864901,-0.0070087058511975366,0.011985473687295752,0.2665,0.6142033615957141,0.8300045426969109
P0018,TREND,DOWN,B1,10D,106804,175,32,VALID_SAMPLE,0.0015269495408743448,-0.0007448148571092149,0.0022717643979835583,0.006285904118365329,0.5435096063817835,0.05570115746971094,175.0,0.28892603036362646,-0.015807385189327183,0.017964617480312577,0.3635,0.7729819180696008,0.8337533751352133
P0019,TREND,DOWN,B2,5D,48129,172,10,VALID_SAMPLE,0.003115931688014902,-0.002458252938902596,0.005574184626917499,0.0009616229197081075,0.5717966298905026,0.04833720174780476,172.0,0.9911236687491123,-0.006110258291879232,0.01551020520824868,0.143,0.323025574905471,0.8337533751352133
P0020,TREND,DOWN,B2,10D,48117,172,10,VALID_SAMPLE,1.8034099502396737e-05,-0.004084408356760949,0.004102442456263345,0.00732044215876741,0.5853648398694848,0.05791356684566184,172.0,0.5070385796683706,-0.016161415203990944,0.020758419421667746,0.303,0.6127809809925989,0.8337533751352133
P0021,TREND,DOWN,B3,5D,14407,153,7,VALID_SAMPLE,-0.0026792638387707476,-0.00691271757798167,0.004233453739210924,0.00691271757798167,0.5817311029360728,0.05567917820562542,153.0,0.6331044745666319,-0.007548960715913834,0.017094806983605347,0.2575,0.5276167929583214,0.8337533751352133
P0022,TREND,DOWN,B3,10D,14410,153,7,VALID_SAMPLE,-0.004382447453082662,-0.008873602264788578,0.004491154811705914,0.01102958144755981,0.610617626648161,0.07216534772159794,153.0,0.47755555708813113,-0.01646191655097386,0.025632296676776876,0.3235,0.6336525651027621,0.8337533751352133
P0023,TREND,DOWN,B4,5D,3241,114,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0024,TREND,DOWN,B4,10D,3242,114,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0025,BREADTH,LOW,B1,5D,130248,168,51,VALID_SAMPLE,0.007706468147740302,-0.0004304984206383148,0.008136966568378617,0.009737258536804867,0.538971807628524,0.04249858873867397,168.0,1.4729174631199424,-0.000554431062950624,0.016472820499471432,0.04,0.14265554465808655,0.845644293967298
P0026,BREADTH,LOW,B1,10D,130161,168,51,VALID_SAMPLE,0.011136567810356315,-0.0007448148571092149,0.011881382667465527,0.017582123892798868,0.5385253647405905,0.053008270300817326,168.0,1.5500606693644732,-0.004433786205698898,0.026866873700239227,0.0635,0.12301996753955276,0.845644293967298
P0027,BREADTH,LOW,B2,5D,60944,165,28,VALID_SAMPLE,0.00925962653825069,-0.002458252938902596,0.011717879477153288,0.011565443655282176,0.5609740089262274,0.046586053950326806,165.0,2.122348640326627,0.002446869957151444,0.020516036980269225,0.0055,0.03531003249241113,0.845644293967298
P0028,BREADTH,LOW,B2,10D,60930,165,28,VALID_SAMPLE,0.011043286697917156,-0.004084408356760949,0.015127695054678106,0.018272197317247073,0.5706548498276711,0.052664025234820055,165.0,1.9959627994543596,-0.0022620689013969904,0.03069075672509067,0.0425,0.047593257847149614,0.845644293967298
P0029,BREADTH,LOW,B3,5D,17999,159,14,VALID_SAMPLE,-0.00048765684708321926,-0.00691271757798167,0.006425060730898451,0.010705365303959193,0.5778654369687205,0.051957055412440625,159.0,1.0116911253341072,-0.005374189593815852,0.01746459626186523,0.134,0.31323254601836487,0.845644293967298
P0030,BREADTH,LOW,B3,10D,18004,159,14,VALID_SAMPLE,0.0012970630894027805,-0.008873602264788578,0.010170665354191357,0.016897165977877417,0.5949233503665852,0.06529381375702376,159.0,1.1738563937259634,-0.008694998541832425,0.028636191472450792,0.1415,0.24221892871826678,0.845644293967298
P0031,BREADTH,LOW,B4,5D,3917,128,6,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0032,BREADTH,LOW,B4,10D,3918,128,6,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0033,BREADTH,MID,B1,5D,108472,443,44,VALID_SAMPLE,-0.002818628462631684,-0.0004304984206383148,-0.002388130041993369,-0.0007935520027448223,0.4798473338741795,0.03044117730906672,443.0,-0.9198530623806334,-0.00864547821181855,0.0038165802038450814,0.7555,0.3581512826463985,0.845644293967298
P0034,BREADTH,MID,B1,10D,108436,443,44,VALID_SAMPLE,-0.004588386014759976,-0.0007448148571092149,-0.0038435711576507614,-0.0026234998766577217,0.4601977203142868,0.04383112034178475,443.0,-0.9038964474515115,-0.015603672815753663,0.0074982078141723986,0.741,0.3665426863991372,0.845644293967298
P0035,BREADTH,MID,B2,5D,35850,439,18,VALID_SAMPLE,-0.005881381111119807,-0.002458252938902596,-0.0034231281722172102,-0.001716763982100689,0.5031799163179916,0.03377340936032381,439.0,-1.2420296591749136,-0.009865653712073114,0.002787994596748551,0.844,0.21489024468230583,0.845644293967298
P0036,BREADTH,MID,B2,10D,35836,439,18,VALID_SAMPLE,-0.009475950015388736,-0.004084408356760949,-0.005391541658627787,-0.000989388677748811,0.49416787587900435,0.04611684401393932,439.0,-1.2751214062790346,-0.016236876419246572,0.005333399826002125,0.837,0.20294221764526507,0.845644293967298
P0037,BREADTH,MID,B3,5D,8447,407,15,VALID_SAMPLE,-0.009787619212247172,-0.00691271757798167,-0.0028749016342654995,-0.0014502558580794574,0.5176985912158163,0.043667284169075345,407.0,-0.9022708456182069,-0.00923148437291794,0.0036608511116897812,0.804,0.3674479724404347,0.845644293967298
P0038,BREADTH,MID,B3,10D,8448,407,15,VALID_SAMPLE,-0.013580772003795302,-0.008873602264788578,-0.0047071697390067245,-0.0024213633137730884,0.5237926136363636,0.060513253673474744,407.0,-0.9664173479857124,-0.01482485043042424,0.0069559691549139595,0.796,0.3344106916533732,0.845644293967298
P0039,BREADTH,MID,B4,5D,1595,281,5,VALID_SAMPLE,-0.01780694002254288,-0.013805497083738707,-0.0040014429388041785,0.006249781099657941,0.529153605015674,0.07878945514782157,281.0,-0.6313835239732078,-0.020280043220369758,0.01125316170579421,0.6595,0.5283048774321104,0.845644293967298
P0040,BREADTH,MID,B4,10D,1598,281,5,VALID_SAMPLE,-0.021501722250811678,-0.01621943849616217,-0.005282283754649509,0.013241031943667908,0.55819774718398,0.11200552060371725,281.0,-0.5602620982790998,-0.030629846556388344,0.016836714046107263,0.6465,0.5757486546266132,0.845644293967298
P0041,BREADTH,HIGH,B1,5D,4631,97,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0042,BREADTH,HIGH,B1,10D,4626,97,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0043,BREADTH,HIGH,B2,5D,1043,90,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0044,BREADTH,HIGH,B2,10D,1043,90,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0045,BREADTH,HIGH,B3,5D,205,63,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0046,BREADTH,HIGH,B3,10D,205,63,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0047,BREADTH,HIGH,B4,5D,37,25,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0048,BREADTH,HIGH,B4,10D,37,25,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0049,VOLATILITY,LOW,B1,5D,52085,128,21,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0050,VOLATILITY,LOW,B1,10D,52064,128,21,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0051,VOLATILITY,LOW,B2,5D,21110,128,12,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0052,VOLATILITY,LOW,B2,10D,21099,128,12,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0053,VOLATILITY,LOW,B3,5D,4596,126,5,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0054,VOLATILITY,LOW,B3,10D,4598,126,5,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0055,VOLATILITY,LOW,B4,5D,880,108,5,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0056,VOLATILITY,LOW,B4,10D,885,108,5,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0057,VOLATILITY,NORMAL,B1,5D,89217,279,18,VALID_SAMPLE,-0.0029949451347924183,-0.0004304984206383148,-0.0025644467141541036,-0.0014357534776781528,0.5161572346077541,0.034892722371039964,279.0,-0.7760613171899593,-0.008003463056802426,0.002686134958754106,0.8335,0.43837250965377483,0.845644293967298
P0058,VOLATILITY,NORMAL,B1,10D,89169,279,18,VALID_SAMPLE,-0.008205129946556257,-0.0007448148571092149,-0.007460315089447044,-0.003069857744999584,0.48404714642981306,0.047904892337667336,279.0,-1.4047723674754224,-0.01780972373661372,0.0021348562856213387,0.9335,0.16120533471062373,0.845644293967298
P0059,VOLATILITY,NORMAL,B2,5D,34014,277,4,VALID_SAMPLE,-0.0040526806306588085,-0.002458252938902596,-0.0015944276917562107,-0.0013522083749014416,0.5577703298641736,0.04042172994124064,277.0,-0.44093872185380545,-0.008594388848421525,0.00552941427026703,0.6925,0.6596025492944925,0.845644293967298
P0060,VOLATILITY,NORMAL,B2,10D,34013,277,4,VALID_SAMPLE,-0.008519308697508233,-0.004084408356760949,-0.004434900340747282,0.00015416167205178563,0.5427042601358304,0.062484507723929356,277.0,-0.8000162270225726,-0.014774947990208384,0.005926343505386348,0.807,0.42438942814332714,0.8792781327284703
P0061,VOLATILITY,NORMAL,B3,5D,8621,259,3,VALID_SAMPLE,-0.0044245788497752556,-0.00691271757798167,0.002488138728206415,0.00262946771416108,0.5536480686695279,0.04465270073272018,259.0,0.6586765407201164,-0.0036935663485094983,0.009593557828414813,0.248,0.5106908833110285,0.8792781327284703
P0062,VOLATILITY,NORMAL,B3,10D,8614,259,3,VALID_SAMPLE,-0.007854366922256547,-0.008873602264788578,0.0010192353425320286,0.0020131948849744776,0.5416763408404922,0.06299317153081466,259.0,0.17379292909878014,-0.010245639834493952,0.012930797705973444,0.4515,0.8621644843690414,0.8792781327284703
P0063,VOLATILITY,NORMAL,B4,5D,1626,175,3,VALID_SAMPLE,-0.017567540721611107,-0.013805497083738707,-0.003762043637872401,0.00529740912581627,0.5584255842558425,0.07469307351968014,175.0,-0.5539510131954946,-0.017695096143320956,0.008360322363107712,0.703,0.5803235676007904,0.8792781327284703
P0064,VOLATILITY,NORMAL,B4,10D,1627,175,3,VALID_SAMPLE,-0.02393433941773715,-0.01621943849616217,-0.0077149009215749815,0.01815480468023481,0.5494775660725261,0.11788456971092454,175.0,-0.6986242322423496,-0.03006903419500782,0.0119792637169071,0.768,0.4857195940760652,0.9340761424539715
P0065,VOLATILITY,HIGH,B1,5D,52388,138,8,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0066,VOLATILITY,HIGH,B1,10D,52349,138,8,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0067,VOLATILITY,HIGH,B2,5D,19922,135,3,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0068,VOLATILITY,HIGH,B2,10D,19914,135,3,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0069,VOLATILITY,HIGH,B3,5D,6089,125,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0070,VOLATILITY,HIGH,B3,10D,6091,125,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0071,VOLATILITY,HIGH,B4,5D,1332,84,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0072,VOLATILITY,HIGH,B4,10D,1331,84,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0073,VOLATILITY,EXTREME,B1,5D,27063,63,19,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0074,VOLATILITY,EXTREME,B1,10D,27056,63,19,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0075,VOLATILITY,EXTREME,B2,5D,14902,62,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0076,VOLATILITY,EXTREME,B2,10D,14904,62,4,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0077,VOLATILITY,EXTREME,B3,5D,5719,49,3,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0078,VOLATILITY,EXTREME,B3,10D,5724,49,3,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0079,VOLATILITY,EXTREME,B4,5D,1483,28,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0080,VOLATILITY,EXTREME,B4,10D,1484,28,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0081,LIQUIDITY,LOW,B1,5D,47433,69,12,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0082,LIQUIDITY,LOW,B1,10D,47412,69,12,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0083,LIQUIDITY,LOW,B2,5D,17967,69,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0084,LIQUIDITY,LOW,B2,10D,17962,69,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0085,LIQUIDITY,LOW,B3,5D,2830,65,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0086,LIQUIDITY,LOW,B3,10D,2831,65,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0087,LIQUIDITY,LOW,B4,5D,324,45,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0088,LIQUIDITY,LOW,B4,10D,324,45,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0089,LIQUIDITY,NORMAL,B1,5D,179249,574,77,VALID_SAMPLE,-0.002658027379237693,-0.0004304984206383148,-0.002227528958599379,-0.0016025197032358393,0.4806107704924435,0.033669042860232846,574.0,-0.9184552134717701,-0.007531174217732831,0.0028386291335611978,0.805,0.35876703920837255,0.9466624009007032
P0090,LIQUIDITY,NORMAL,B1,10D,179143,574,77,VALID_SAMPLE,-0.0035850286927337333,-0.0007448148571092149,-0.002840213835624517,-0.00011209031360370368,0.46825162021401895,0.047079923159020626,574.0,-0.7105380672977348,-0.013224350176520211,0.0066925459357906085,0.703,0.477659624494416,0.9466624009007032
P0091,LIQUIDITY,NORMAL,B2,5D,72758,565,42,VALID_SAMPLE,-0.005047615524777313,-0.002458252938902596,-0.002589362585874717,-0.001812695608761418,0.5174826135957558,0.03760256298828801,565.0,-1.0311800556513804,-0.008458202512097092,0.0030720176235574824,0.8165,0.30289837766992916,0.9466624009007032
P0092,LIQUIDITY,NORMAL,B2,10D,72735,565,42,VALID_SAMPLE,-0.007170631779772411,-0.004084408356760949,-0.0030862234230114595,-0.0008318922626350013,0.510222038908366,0.05061329536721173,565.0,-0.780430887432808,-0.013033031455361888,0.006555657702367647,0.723,0.43546470441432344,0.9466624009007032
P0093,LIQUIDITY,NORMAL,B3,5D,21637,514,27,VALID_SAMPLE,-0.009467797991541174,-0.00691271757798167,-0.0025550804135595056,-0.0004491714435048348,0.5510006008226649,0.048552237435000485,514.0,-0.8425130815471082,-0.008297451136414712,0.0036512833971236564,0.806,0.3998934371324796,1.0117665837069931
P0094,LIQUIDITY,NORMAL,B3,10D,21644,514,27,VALID_SAMPLE,-0.013637641393617105,-0.008873602264788578,-0.004764039128828529,-0.002413864882107917,0.559647015339124,0.07160572970189583,514.0,-0.9763439142193563,-0.0143325244650212,0.006057126250468312,0.844,0.329354236124461,1.0117665837069931
P0095,LIQUIDITY,NORMAL,B4,5D,4760,353,11,VALID_SAMPLE,-0.018600824502796365,-0.013805497083738707,-0.004795327419057656,0.004320089569416565,0.5657563025210084,0.07537162481175706,353.0,-0.919453346268828,-0.016220077379596978,0.006358975630238187,0.7885,0.35848813506241567,1.0117665837069931
P0096,LIQUIDITY,NORMAL,B4,10D,4764,353,11,VALID_SAMPLE,-0.02282308997052541,-0.01621943849616217,-0.006603651474363246,0.005647072473559139,0.589840470193115,0.10530807294696205,353.0,-0.8342487152663534,-0.023736116346610353,0.008698007018936953,0.7695,0.4047066334827973,1.0117665837069931
P0097,LIQUIDITY,HIGH,B1,5D,16669,65,7,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0098,LIQUIDITY,HIGH,B1,10D,16668,65,7,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0099,LIQUIDITY,HIGH,B2,5D,7112,60,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0100,LIQUIDITY,HIGH,B2,10D,7112,60,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0101,LIQUIDITY,HIGH,B3,5D,2184,50,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0102,LIQUIDITY,HIGH,B3,10D,2182,50,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0103,LIQUIDITY,HIGH,B4,5D,465,36,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0104,LIQUIDITY,HIGH,B4,10D,465,36,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
