hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_independent_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,win_rate,std_daily,n_days_used,hac_t,ci_lo,ci_hi,boot_p_pos,raw_p,fdr_q
P0001,TREND,UP,B1,5D,39815,254,16,VALID_SAMPLE,-0.0014372909541769702,-0.0004304984206383148,-0.0010067925335386547,0.0009607895440277688,0.5018962702499058,0.03656766951270799,254.0,-0.26982122163613015,-0.007307465964230499,0.005446543194987264,0.63,0.7875177431396455,0.8300045426969109
P0002,TREND,UP,B1,10D,39805,254,16,VALID_SAMPLE,-0.001209470287557534,-0.0007448148571092149,-0.00046465543044831996,0.002945859625785194,0.46918728802914206,0.05250559455763077,254.0,-0.07957019261858878,-0.010929075329289878,0.011186520589969193,0.538,0.9366420041571414,0.8300045426969109
P0003,TREND,UP,B2,5D,11261,247,4,VALID_SAMPLE,-0.00535649304829,-0.002458252938902596,-0.002898240109387402,-0.0006995672495836739,0.5141639286031436,0.04579520200653207,247.0,-0.6707219482330178,-0.010736937748036236,0.004853660890132885,0.757,0.5030268989971707,0.8300045426969109
P0004,TREND,UP,B2,10D,11254,247,4,VALID_SAMPLE,-0.005250172879201981,-0.004084408356760949,-0.0011657645224410324,0.0045907781974254295,0.4830282566198685,0.06860854852556604,247.0,-0.181621574588353,-0.012542297166108394,0.01127430785760084,0.585,0.8560292769148378,0.8300045426969109
P0005,TREND,UP,B3,5D,2185,216,0,VALID_SAMPLE,-0.009505902433860649,-0.00691271757798167,-0.0025931848558789793,-0.0003570423893007892,0.5002288329519451,0.05293440436846444,216.0,-0.5268406838060303,-0.010589764581857852,0.00583603151220548,0.724,0.5988473648721867,0.8300045426969109
P0006,TREND,UP,B3,10D,2187,216,0,VALID_SAMPLE,-0.008728551289163599,-0.008873602264788578,0.00014505097562497892,0.0030474641686104296,0.47782350251486055,0.0865920618545863,216.0,0.017599326555033212,-0.014627240241936786,0.0165039674666348,0.5085,0.9859748150775925,0.8300045426969109
P0007,TREND,UP,B4,5D,364,119,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0008,TREND,UP,B4,10D,364,119,1,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,
P0009,TREND,SIDEWAYS,B1,5D,96669,279,48,VALID_SAMPLE,-0.0012286061435132242,-0.0004304984206383148,-0.0007981077228749092,0.0001646300366798894,0.4877158137562197,0.029968456581921654,279.0,-0.2704383145500949,-0.007782836162503861,0.005677641566000579,0.5905,0.787023731294092,0.8300045426969109
P0010,TREND,SIDEWAYS,B1,10D,96614,279,48,VALID_SAMPLE,-0.001746737044611902,-0.0007448148571092149,-0.0010019221875026886,0.0023141134060616084,0.47278862276688677,0.04392074483726818,279.0,-0.20711072782738457,-0.012825444124181141,0.009668276965288788,0.5725,0.8360750059221252,0.8300045426969109
P0011,TREND,SIDEWAYS,B2,5D,38447,275,32,VALID_SAMPLE,-0.0033415054800339464,-0.002458252938902596,-0.0008832525411313503,0.0005447795329254952,0.5056051187348818,0.03324936829755745,275.0,-0.2820702988406997,-0.008113327519289367,0.006035398301279235,0.602,0.7781025418169395,0.8300045426969109
P0012,TREND,SIDEWAYS,B2,10D,38438,275,32,VALID_SAMPLE,-0.005603231140158626,-0.004084408356760949,-0.001518822783397675,0.00322989998978946,0.5046828659139393,0.04522569656493841,275.0,-0.32332693535815094,-0.013566127600570781,0.00932548007943039,0.6035,0.7466942817299748,0.8300045426969109
P0013,TREND,SIDEWAYS,B3,5D,10059,260,22,VALID_SAMPLE,-0.007249604090402484,-0.00691271757798167,-0.0003368865124208142,0.0023092313224313725,0.5361367929217616,0.041254499467420026,260.0,-0.08762231215258842,-0.01005140704974369,0.009073712266426523,0.523,0.9302445754970807,0.8300045426969109
P0014,TREND,SIDEWAYS,B3,10D,10060,260,22,VALID_SAMPLE,-0.01163697802219627,-0.008873602264788578,-0.002763375757407693,0.00019880983297577547,0.5351888667992047,0.05358872231459203,260.0,-0.5057083075737299,-0.017448356431734872,0.010952055550349811,0.644,0.6134915511952039,0.8300045426969109
P0015,TREND,SIDEWAYS,B4,5D,1944,201,6,VALID_SAMPLE,-0.01795249934081646,-0.013805497083738707,-0.004147002257077752,0.0038286465632904366,0.5581275720164609,0.07068744795468106,201.0,-0.6552960758840247,-0.01746120257704248,0.008604498815029754,0.732,0.513030165479939,0.8300045426969109
