horizon,panic_n,nonpanic_n,panic_mean_pct,nonpanic_mean_pct,delta_pp
5,187,919,0.4309,0.3077,0.1232
10,185,916,1.0396,0.5648,0.4748
20,184,908,1.713,1.2827,0.4303
40,181,894,3.6985,2.9661,0.7325
