date,equity,cash,stock_val,etf_val
2020-01-02,1000000.0,1000000.0,0.0,0.0
2020-01-03,1000000.0,1000000.0,0.0,0.0
2020-01-06,1000000.0,1000000.0,0.0,0.0
2020-01-07,1000000.0,1000000.0,0.0,0.0
2020-01-08,1000000.0,1000000.0,0.0,0.0
2020-01-09,1000000.0,1000000.0,0.0,0.0
2020-01-10,1000000.0,1000000.0,0.0,0.0
2020-01-13,1000000.0,1000000.0,0.0,0.0
2020-01-14,1000000.0,1000000.0,0.0,0.0
2020-01-15,1000000.0,1000000.0,0.0,0.0
2020-01-16,1000000.0,1000000.0,0.0,0.0
2020-01-17,1000000.0,1000000.0,0.0,0.0
2020-01-20,1000000.0,1000000.0,0.0,0.0
2020-01-21,1000000.0,1000000.0,0.0,0.0
2020-01-22,1000000.0,1000000.0,0.0,0.0
2020-01-23,1000000.0,1000000.0,0.0,0.0
2020-02-03,1000000.0,1000000.0,0.0,0.0
2020-02-04,1000000.0,1000000.0,0.0,0.0
2020-02-05,1000000.0,1000000.0,0.0,0.0
2020-02-06,1000000.0,1000000.0,0.0,0.0
2020-02-07,1000000.0,1000000.0,0.0,0.0
2020-02-10,1000000.0,1000000.0,0.0,0.0
2020-02-11,1000000.0,1000000.0,0.0,0.0
2020-02-12,1000000.0,1000000.0,0.0,0.0
2020-02-13,1000000.0,1000000.0,0.0,0.0
2020-02-14,1000000.0,1000000.0,0.0,0.0
2020-02-17,1000000.0,1000000.0,0.0,0.0
2020-02-18,1000000.0,1000000.0,0.0,0.0
2020-02-19,1000000.0,1000000.0,0.0,0.0
2020-02-20,1000000.0,1000000.0,0.0,0.0
2020-02-21,1000000.0,1000000.0,0.0,0.0
2020-02-24,1000000.0,1000000.0,0.0,0.0
2020-02-25,1000000.0,1000000.0,0.0,0.0
2020-02-26,1000000.0,1000000.0,0.0,0.0
2020-02-27,1000000.0,1000000.0,0.0,0.0
2020-02-28,1000000.0,1000000.0,0.0,0.0
2020-03-02,1004324.8675040001,609388.8675040001,394936.0,0.0
2020-03-03,1012205.8675040001,609388.8675040001,402817.0,0.0
2020-03-04,1012018.8675040001,609388.8675040001,402630.0,0.0
2020-03-05,1018821.8675040001,609388.8675040001,409433.0,0.0
2020-03-06,1012591.8675040001,609388.8675040001,403203.0,0.0
2020-03-09,991568.8675040001,609388.8675040001,382180.0,0.0
2020-03-10,1013532.5846880001,422098.5846880001,591434.0,0.0
2020-03-11,1011657.5846880001,422098.5846880001,589559.0,0.0
2020-03-12,989483.5846880001,422098.5846880001,567385.0,0.0
2020-03-13,985170.3404448002,5121.540444800106,758372.0,221676.8
2020-03-16,929215.9404448002,5121.540444800106,707768.0,216326.4
2020-03-17,925192.3273275001,161.32732750013747,925031.0,0.0
2020-03-18,905423.3273275001,161.32732750013747,905262.0,0.0
2020-03-19,882234.3273275001,161.32732750013747,882073.0,0.0
2020-03-20,894101.3273275001,161.32732750013747,893940.0,0.0
2020-03-23,851187.3273275001,161.32732750013747,851026.0,0.0
2020-03-24,880761.3273275001,161.32732750013747,880600.0,0.0
2020-03-25,920141.3273275001,161.32732750013747,919980.0,0.0
2020-03-26,914737.3273275001,161.32732750013747,914576.0,0.0
2020-03-27,908264.3273275001,161.32732750013747,908103.0,0.0
2020-03-30,905504.3273275001,161.32732750013747,905343.0,0.0
2020-03-31,908887.3273275001,161.32732750013747,908726.0,0.0
2020-04-01,910129.3273275001,161.32732750013747,909968.0,0.0
2020-04-02,922524.3273275001,161.32732750013747,922363.0,0.0
2020-04-03,908301.3273275001,161.32732750013747,908140.0,0.0
2020-04-07,928206.3273275001,161.32732750013747,928045.0,0.0
2020-04-08,918524.3273275001,161.32732750013747,918363.0,0.0
2020-04-09,912123.3273275001,161.32732750013747,911962.0,0.0
2020-04-10,917502.3273275001,161.32732750013747,917341.0,0.0
2020-04-13,899380.3273275001,161.32732750013747,899219.0,0.0
2020-04-14,940851.3273275001,161.32732750013747,940690.0,0.0
2020-04-15,949069.1099337002,5026.909933700226,560867.0,383175.1999999999
2020-04-16,943107.5099337002,5026.909933700226,557145.0,380935.6
2020-04-17,961810.8762781002,5026.276278100209,1167.0,955617.6
2020-04-20,961798.8762781002,5026.276278100209,1155.0,955617.6
2020-04-21,942291.6762781002,5026.276278100209,1140.0,936125.4
2020-04-22,931798.8762781002,5026.276278100209,1143.0,925629.6
2020-04-23,941283.0762781003,5026.276278100209,1131.0,935125.8
