role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2022-05-09,34.034,21.307,5800,197397.2,51.32,197397.2
ADD_POSITION,2022-05-11,34.434,21.307,5800,199717.2,51.93,199717.2
ADD_POSITION,2022-05-16,32.112,21.307,6200,199094.4,51.76,199094.4
TAKE_PROFIT_DYN,2022-06-06,34.735,21.915,17800,618283.0,779.04,-635124.58
