role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2022-07-14,37.207,5.189,5300,197197.1,51.27,197197.1
ADD_POSITION,2022-07-18,35.185,5.4146,5600,197036.0,51.23,205602.45
ADD_POSITION,2022-08-04,33.363,5.4146,5900,196841.7,51.18,205399.7
TAKE_PROFIT_DYN,2022-08-31,34.685,5.4146,16800,582708.0,734.21,-607276.02
