ts_code,name,entry_date,exit_date,levels,pnl_old,pnl_correct,diff,ret_old,ret_correct,cross_ca,multi_level_cross_ca,sign_flip,adj_entry
300750.SZ,宁德时代,2020-03-02,2020-04-15,3,-17564.68,-17566.11,-1.43,-4.33,-4.33,False,False,False,1.0019
601318.SH,中国平安,2020-03-02,2020-04-17,3,-17726.73,-17726.97,-0.24,-3.03,-3.03,False,False,False,2.4056
000725.SZ,京东方A,2020-03-17,2020-05-11,2,27272.02,27245.12,-26.9,13.06,13.05,False,False,False,4.8592
002714.SZ,牧原股份,2020-05-12,2020-06-18,1,-73422.3,13746.78,87169.08,-37.35,6.99,True,False,True,7.5891
000063.SZ,中兴通讯,2020-05-26,2020-06-18,1,16543.12,16542.48,-0.63,8.36,8.36,False,False,False,15.7875
002415.SZ,海康威视,2020-05-26,2020-06-18,1,14247.33,19638.82,5391.49,7.16,9.86,True,False,False,20.5233
600030.SH,中信证券,2020-09-08,2020-10-12,1,6613.85,6613.92,0.07,3.34,3.34,False,False,False,5.5686
002456.SZ,欧菲光,2020-09-02,2020-10-28,4,-11994.3,-11996.55,-2.24,-1.99,-1.99,False,False,False,20.4314
300136.SZ,信维通信,2020-10-13,2020-11-09,2,3092.14,3091.02,-1.12,1.53,1.53,False,False,False,13.0631
600745.SH,*ST闻泰,2020-09-09,2020-12-07,1,-9391.32,-9391.81,-0.49,-6.35,-6.36,False,False,False,2.1312
601012.SH,隆基绿能,2020-11-16,2020-12-09,2,44963.39,44960.13,-3.26,11.57,11.57,False,False,False,9.755
300122.SZ,智飞生物,2020-11-12,2020-12-21,2,82452.35,82453.02,0.68,21.59,21.59,False,False,False,4.2129
002475.SZ,立讯精密,2020-12-15,2020-12-23,1,16941.61,16940.25,-1.36,8.52,8.52,False,False,False,33.7293
000651.SZ,格力电器,2020-12-10,2021-01-05,2,18683.31,18684.48,1.16,4.78,4.78,False,False,False,161.4689
601318.SH,中国平安,2021-01-29,2021-02-25,3,55426.92,55428.57,1.64,9.42,9.43,False,False,False,2.474
300059.SZ,东方财富,2021-02-26,2021-04-02,1,-10814.74,-10811.88,2.86,-5.45,-5.45,False,False,False,46.478
300750.SZ,宁德时代,2021-02-01,2021-04-14,2,9928.49,9928.34,-0.14,2.68,2.68,False,False,False,1.003
002475.SZ,立讯精密,2021-01-29,2021-04-19,3,-128562.82,-128555.27,7.55,-21.91,-21.91,False,False,False,33.729
601166.SH,兴业银行,2021-04-16,2021-05-12,1,19181.57,19182.55,0.99,10.16,10.16,False,False,False,4.313
002352.SZ,顺丰控股,2021-04-13,2021-05-18,2,6983.72,8982.38,1998.67,1.84,2.37,True,False,False,3.476
600031.SH,三一重工,2021-05-14,2021-06-01,1,27818.87,27813.62,-5.25,13.96,13.95,False,False,False,48.24
002594.SZ,比亚迪,2021-05-06,2021-06-08,2,131567.65,131568.81,1.16,34.99,34.99,False,False,False,1.02
002340.SZ,格林美,2021-06-08,2021-07-06,3,31636.13,32357.2,721.08,5.29,5.41,True,False,False,23.868
000661.SZ,长春高新,2021-05-25,2021-07-19,3,18776.78,18776.53,-0.25,3.64,3.64,False,False,False,7.445
600031.SH,三一重工,2021-06-15,2021-08-03,3,22024.06,26832.78,4808.72,4.63,5.58,True,True,False,48.24
002241.SZ,歌尔股份,2021-07-23,2021-08-05,1,20518.02,20522.23,4.21,10.27,10.28,False,False,False,23.1
002460.SZ,赣锋锂业,2021-08-17,2021-08-30,1,47024.09,47023.67,-0.42,24.03,24.03,False,False,False,9.589
300750.SZ,宁德时代,2021-08-17,2021-09-14,1,19148.42,19148.3,-0.12,9.86,9.86,False,False,False,1.004
000858.SZ,五粮液,2021-07-09,2021-09-27,5,-54012.84,-54013.84,-1.0,-5.59,-5.59,False,False,False,17.725
600111.SH,北方稀土,2021-09-30,2021-10-25,1,43782.6,43782.74,0.14,22.28,22.28,False,False,False,19.695
002466.SZ,天齐锂业,2021-09-23,2021-11-09,2,20545.88,20546.83,0.95,5.28,5.28,False,False,False,7.754
601919.SH,中远海控,2021-09-29,2021-11-30,2,12082.56,12066.88,-15.68,3.04,3.03,False,False,False,1.356
600030.SH,中信证券,2021-11-17,2021-12-06,1,15781.34,15779.76,-1.58,7.94,7.94,False,False,False,5.661
000651.SZ,格力电器,2021-10-28,2021-12-09,2,14882.52,14883.45,0.94,3.77,3.77,False,False,False,171.831
601012.SH,隆基绿能,2021-12-02,2022-03-01,3,11911.36,11914.67,3.31,2.05,2.05,False,False,False,13.688
002594.SZ,比亚迪,2021-12-17,2022-05-05,4,-15161.14,-15159.75,1.39,-2.22,-2.22,False,False,False,1.02
000858.SZ,五粮液,2022-03-04,2022-05-30,1,-16906.99,-16906.78,0.21,-8.53,-8.53,False,False,False,17.725
300750.SZ,宁德时代,2021-12-21,2022-06-02,3,-97943.6,-97943.16,0.44,-18.13,-18.13,False,False,False,1.004
