date,equity,cash,stock_val,etf_val
2020-01-02,1000000.0,1000000.0,0.0,0.0
2020-01-03,1000000.0,1000000.0,0.0,0.0
2020-01-06,1000000.0,1000000.0,0.0,0.0
2020-01-07,1000000.0,1000000.0,0.0,0.0
2020-01-08,1000000.0,1000000.0,0.0,0.0
2020-01-09,1000000.0,1000000.0,0.0,0.0
2020-01-10,1000000.0,1000000.0,0.0,0.0
2020-01-13,1000000.0,1000000.0,0.0,0.0
2020-01-14,1000000.0,1000000.0,0.0,0.0
2020-01-15,1000000.0,1000000.0,0.0,0.0
2020-01-16,1000000.0,1000000.0,0.0,0.0
2020-01-17,1000000.0,1000000.0,0.0,0.0
2020-01-20,1000000.0,1000000.0,0.0,0.0
2020-01-21,1000000.0,1000000.0,0.0,0.0
2020-01-22,1000000.0,1000000.0,0.0,0.0
2020-01-23,1000000.0,1000000.0,0.0,0.0
2020-02-03,1000000.0,1000000.0,0.0,0.0
2020-02-04,1000000.0,1000000.0,0.0,0.0
2020-02-05,1000000.0,1000000.0,0.0,0.0
2020-02-06,1000000.0,1000000.0,0.0,0.0
2020-02-07,1000000.0,1000000.0,0.0,0.0
2020-02-10,1000000.0,1000000.0,0.0,0.0
2020-02-11,1000000.0,1000000.0,0.0,0.0
2020-02-12,1000000.0,1000000.0,0.0,0.0
2020-02-13,1000000.0,1000000.0,0.0,0.0
2020-02-14,1000000.0,1000000.0,0.0,0.0
2020-02-17,1000000.0,1000000.0,0.0,0.0
2020-02-18,1000000.0,1000000.0,0.0,0.0
2020-02-19,1000000.0,1000000.0,0.0,0.0
2020-02-20,1000000.0,1000000.0,0.0,0.0
2020-02-21,1000000.0,1000000.0,0.0,0.0
2020-02-24,1000000.0,1000000.0,0.0,0.0
2020-02-25,1000000.0,1000000.0,0.0,0.0
2020-02-26,1000000.0,1000000.0,0.0,0.0
2020-02-27,1000000.0,1000000.0,0.0,0.0
2020-02-28,1000000.0,1000000.0,0.0,0.0
2020-03-02,1004324.8675040001,609388.8675040001,394936.0,0.0
2020-03-03,1012205.8675040001,609388.8675040001,402817.0,0.0
2020-03-04,1012018.8675040001,609388.8675040001,402630.0,0.0
2020-03-05,1018821.8675040001,609388.8675040001,409433.0,0.0
2020-03-06,1012591.8675040001,609388.8675040001,403203.0,0.0
2020-03-09,991568.8675040001,609388.8675040001,382180.0,0.0
2020-03-10,1013532.5846880001,422098.5846880001,591434.0,0.0
2020-03-11,1011657.5846880001,422098.5846880001,589559.0,0.0
2020-03-12,989483.5846880001,422098.5846880001,567385.0,0.0
2020-03-13,985447.4918640001,227075.49186400007,758372.0,0.0
2020-03-16,934843.4918640001,227075.49186400007,707768.0,0.0
2020-03-17,933013.756654,332.75665400008256,932681.0,0.0
2020-03-18,913028.756654,332.75665400008256,912696.0,0.0
2020-03-19,889929.756654,332.75665400008256,889597.0,0.0
2020-03-20,901832.756654,332.75665400008256,901500.0,0.0
2020-03-23,858450.756654,332.75665400008256,858118.0,0.0
2020-03-24,888042.756654,332.75665400008256,887710.0,0.0
2020-03-25,927602.756654,332.75665400008256,927270.0,0.0
2020-03-26,922018.756654,332.75665400008256,921686.0,0.0
2020-03-27,915545.756654,332.75665400008256,915213.0,0.0
2020-03-30,912443.756654,332.75665400008256,912111.0,0.0
2020-03-31,915736.756654,332.75665400008256,915404.0,0.0
2020-04-01,917140.756654,332.75665400008256,916808.0,0.0
2020-04-02,929715.756654,332.75665400008256,929383.0,0.0
2020-04-03,915348.756654,332.75665400008256,915016.0,0.0
2020-04-07,935469.756654,332.75665400008256,935137.0,0.0
2020-04-08,925787.756654,332.75665400008256,925455.0,0.0
2020-04-09,919350.756654,332.75665400008256,919018.0,0.0
2020-04-10,924513.756654,332.75665400008256,924181.0,0.0
2020-04-13,906283.756654,332.75665400008256,905951.0,0.0
2020-04-14,947934.756654,332.75665400008256,947602.0,0.0
2020-04-15,956631.604054,388852.60405400005,567779.0,0.0
2020-04-16,952855.604054,388852.60405400005,564003.0,0.0
2020-04-17,964063.429982,955894.429982,8169.0,0.0
2020-04-20,963979.429982,955894.429982,8085.0,0.0
2020-04-21,963874.429982,955894.429982,7980.0,0.0
2020-04-22,963895.429982,955894.429982,8001.0,0.0
2020-04-23,963811.429982,955894.429982,7917.0,0.0
2020-04-24,963664.429982,955894.429982,7770.0,0.0
2020-04-27,963601.429982,955894.429982,7707.0,0.0
2020-04-28,963328.429982,955894.429982,7434.0,0.0
