role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2020-05-26,28.038,20.5233,7100,199069.8,51.76,199069.8
TAKE_PROFIT_DYN,2020-06-18,30.09,21.0418,7100,213639.0,269.19,-218760.38
