threshold_pct,common,early,new,dropped,early_delta_pnl,new_pnl,dropped_pnl,early_saved,early_truncated
0.1,87,7,4,3,933.43,9398.68,23310.19,17215.36,-16281.93
0.2,83,10,7,4,-95122.2,189207.63,44451.61,22166.51,-117288.72
0.3,76,13,11,8,41505.72,168953.05,146048.59,233787.92,-192282.2
0.5,66,22,18,9,486191.37,212376.34,62786.92,609126.69,-122935.31
0.75,56,30,26,11,464834.16,373028.19,162216.77,649757.78,-184923.63
1.0,46,37,31,14,350708.13,552533.52,115801.56,640943.47,-290235.34
1.5,34,47,47,16,227110.17,789929.97,180634.21,697775.94,-470665.77
2.0,19,54,53,24,180042.88,181544.54,382334.96,740196.03,-560153.15
