role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2024-07-19,24.995,1.13,8000,199960.0,51.99,199960.0
ADD_POSITION,2024-07-26,23.223,1.13,8600,199717.8,51.93,199717.8
ADD_POSITION,2024-09-05,18.879,1.1615,8100,152919.9,39.76,157182.71
TAKE_PROFIT_DYN,2024-09-24,20.42,1.1615,24700,504374.0,383.32,-518039.97
