role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2023-05-23,221.221,6.2321,900,199098.9,51.77,199098.9
ADD_POSITION,2023-05-25,215.085,6.2321,900,193576.5,50.33,193576.5
ADD_POSITION,2023-06-27,195.685,6.336,1000,195685.0,50.88,198947.41
TAKE_PROFIT_DYN,2023-07-25,224.365,6.336,2800,628222.0,791.56,-637890.8
