date,round,ts_code,action,level,open,high,low,close,bb_lower,bb_upper,price,shares,amount,avg_cost,hold_days,ret_pct,tp_price
2020-03-02,0,601318.SH,INITIAL_ENTRY,1,78.32,80.2,78.32,79.58,78.426,83.231,78.398,2500,195995.8,78.419,0,,
2020-03-02,0,300750.SZ,INITIAL_ENTRY,1,138.8,141.95,134.95,139.99,139.227,171.814,138.939,1400,194514.32,138.975,0,,
2020-03-10,0,300750.SZ,ADD_POSITION,2,133.61,141.69,133.01,140.53,132.88,166.737,133.744,1400,187241.05,136.377,6,,
2020-03-13,0,601318.SH,ADD_POSITION,2,72.14,75.98,72.1,74.71,75.675,84.264,72.212,2700,194972.78,75.206,9,,
2020-03-17,0,601318.SH,ADD_POSITION,3,71.65,73.0,70.89,72.14,72.748,85.211,71.722,2700,193648.46,74.021,11,,
2020-03-17,0,300750.SZ,ADD_POSITION,3,121.0,122.93,111.25,117.95,118.567,167.798,121.121,200,24224.2,135.362,11,,
2020-03-17,0,000725.SZ,INITIAL_ENTRY,1,4.19,4.3,4.06,4.25,4.172,5.883,4.194,2100,8807.8,4.197,0,,
2020-04-15,0,300750.SZ,TAKE_PROFIT_DYN,3,129.8,131.89,127.23,128.0,109.608,129.048,129.67,3000,389010.6,135.362,31,-4.33,
2020-04-17,1,601318.SH,TAKE_PROFIT_DYN,3,71.1,73.32,70.79,72.4,67.527,72.064,71.868,7900,567757.67,74.021,33,-3.03,
2020-04-29,2,000725.SZ,ADD_POSITION,2,3.51,3.63,3.48,3.57,3.578,4.017,3.514,56900,199918.72,3.539,30,,
2020-05-11,2,000725.SZ,TAKE_PROFIT_DYN,2,3.9,4.03,3.88,3.95,3.578,3.993,4.006,59000,236353.41,3.539,35,13.06,
2020-05-12,3,002714.SZ,INITIAL_ENTRY,1,115.5,117.81,115.3,116.03,115.594,133.8,115.615,1700,196546.35,115.646,0,,
2020-05-26,3,000063.SZ,INITIAL_ENTRY,1,37.31,37.64,37.14,37.53,36.825,43.731,37.347,5300,197940.74,37.357,0,,
2020-05-26,3,002415.SZ,INITIAL_ENTRY,1,28.01,28.85,28.01,28.38,28.279,33.24,28.038,7100,199069.87,28.045,0,,
2020-06-18,3,002714.SZ,TAKE_PROFIT_DYN,1,70.43,73.18,70.28,72.11,66.167,72.492,72.547,1700,123330.55,115.646,27,-37.35,
2020-06-18,4,000063.SZ,TAKE_PROFIT_DYN,1,39.8,43.52,39.35,42.38,35.59,41.13,40.529,5300,214805.98,37.357,17,8.36,
2020-06-18,5,002415.SZ,TAKE_PROFIT_DYN,1,29.5,30.21,29.22,30.0,27.127,30.088,30.09,7100,213638.15,28.045,17,7.16,
2020-09-02,6,002456.SZ,INITIAL_ENTRY,1,16.97,17.14,16.17,16.5,17.406,20.621,16.987,11700,198747.55,16.991,0,,
2020-09-04,6,002456.SZ,ADD_POSITION,2,16.18,16.52,16.11,16.31,16.54,20.835,16.196,12300,199213.01,16.586,2,,
2020-09-08,6,002456.SZ,ADD_POSITION,3,15.71,15.76,14.95,15.26,15.437,21.279,15.726,12700,199716.52,16.29,4,,
2020-09-08,6,600030.SH,INITIAL_ENTRY,1,29.95,30.97,29.88,30.65,29.951,32.914,29.98,6600,197867.67,29.988,0,,
2020-09-09,6,600745.SH,INITIAL_ENTRY,1,123.0,123.0,115.9,117.3,125.082,145.116,123.123,1200,147747.6,123.155,0,,
2020-09-10,6,002456.SZ,ADD_POSITION,4,14.82,14.86,14.23,14.26,14.175,21.658,14.835,300,4450.45,16.278,6,,
2020-10-12,6,600030.SH,TAKE_PROFIT_DYN,1,30.9,31.85,30.79,31.72,29.393,31.266,31.029,6600,204791.0,29.988,18,3.34,
2020-10-13,7,300136.SZ,INITIAL_ENTRY,1,51.9,53.36,51.54,52.95,52.505,60.666,51.952,3800,197417.22,51.965,0,,
2020-10-16,7,300136.SZ,ADD_POSITION,2,49.62,50.18,49.2,49.6,49.562,61.614,49.67,100,4966.96,51.908,3,,
2020-10-28,7,002456.SZ,TAKE_PROFIT_DYN,4,15.43,16.38,15.36,16.25,14.166,16.057,15.974,37000,591038.37,16.278,34,-1.99,
2020-11-09,8,300136.SZ,TAKE_PROFIT_DYN,2,49.99,53.99,49.98,52.76,46.533,52.798,52.767,3900,205792.0,51.908,19,1.53,
2020-11-12,9,300122.SZ,INITIAL_ENTRY,1,134.79,138.97,134.01,135.0,133.41,172.789,134.925,1400,188894.71,134.96,0,,
2020-11-16,9,601012.SH,INITIAL_ENTRY,1,66.69,67.85,64.1,66.87,66.423,76.581,66.757,2900,193594.4,66.774,0,,
2020-11-18,9,300122.SZ,ADD_POSITION,2,120.4,121.3,115.69,118.89,118.212,174.299,120.52,1600,192832.64,127.276,4,,
2020-11-18,9,601012.SH,ADD_POSITION,2,64.9,65.42,62.0,62.74,63.811,77.516,64.965,3000,194894.7,65.863,2,,
2020-12-07,9,600745.SH,TAKE_PROFIT_DYN,1,115.59,116.28,110.91,111.18,101.15,112.812,115.474,1200,138569.29,123.155,57,-6.35,
2020-12-09,10,601012.SH,TAKE_PROFIT_DYN,2,72.58,74.1,72.1,73.37,63.035,73.575,73.576,5900,434100.46,65.863,17,11.57,
2020-12-10,11,000651.SZ,INITIAL_ENTRY,1,63.01,63.78,62.73,62.83,63.435,70.456,63.073,3100,195526.33,63.089,0,,
2020-12-15,11,002475.SZ,INITIAL_ENTRY,1,49.62,50.65,49.32,50.34,49.832,53.462,49.67,4000,198678.48,49.683,0,,
2020-12-16,11,000651.SZ,ADD_POSITION,2,61.0,61.78,60.5,61.03,60.644,71.29,61.061,3200,195395.2,62.067,4,,
2020-12-21,11,300122.SZ,TAKE_PROFIT_DYN,2,149.8,157.0,149.0,155.62,114.993,155.237,154.955,3000,464864.67,127.276,27,21.59,
2020-12-23,12,002475.SZ,TAKE_PROFIT_DYN,1,53.21,55.5,53.21,55.47,49.487,54.477,53.986,4000,215943.84,49.683,6,8.52,
2021-01-05,13,000651.SZ,TAKE_PROFIT_DYN,2,62.36,65.53,62.36,65.26,58.374,65.199,65.115,6300,410223.37,62.067,17,4.78,
2021-01-29,14,601318.SH,INITIAL_ENTRY,1,80.9,81.44,78.5,79.08,80.469,89.272,80.981,2400,194354.16,81.002,0,,
2021-01-29,14,002475.SZ,INITIAL_ENTRY,1,51.45,53.99,51.44,53.1,50.655,62.898,51.501,3800,195705.51,51.515,0,,
2021-02-01,14,300750.SZ,INITIAL_ENTRY,1,353.0,356.9,346.2,350.33,351.613,422.444,353.353,500,176676.5,353.445,0,,
2021-02-02,14,601318.SH,ADD_POSITION,2,79.28,79.45,77.95,78.18,78.459,90.086,79.359,2500,198398.2,80.174,2,,
2021-02-04,14,601318.SH,ADD_POSITION,3,78.0,80.32,77.7,79.62,76.623,90.34,78.078,2500,195195.0,79.473,4,,
2021-02-25,14,601318.SH,TAKE_PROFIT_DYN,3,84.52,88.28,83.35,87.14,75.728,87.154,87.073,7400,644339.02,79.473,14,9.42,
2021-02-26,15,300750.SZ,ADD_POSITION,2,323.0,333.0,317.79,322.23,327.621,425.106,323.323,600,193993.8,337.061,14,,
2021-02-26,15,300059.SZ,INITIAL_ENTRY,1,30.5,31.22,30.31,30.38,30.996,40.246,30.53,6500,198448.25,30.538,0,,
2021-03-10,15,002475.SZ,ADD_POSITION,2,45.49,46.4,43.02,43.43,43.818,52.293,45.535,4300,195802.61,48.347,23,,
2021-03-12,15,002475.SZ,ADD_POSITION,3,42.37,42.5,40.15,40.85,41.53,53.029,42.412,4600,195096.9,46.201,25,,
2021-04-02,15,300059.SZ,TAKE_PROFIT_DYN,1,28.66,29.17,28.6,28.87,26.625,28.917,28.911,6500,187921.89,30.538,25,-5.45,
