role,date,raw_px,adj,qty,amount,fee,adj_amount
INITIAL_ENTRY,2020-05-12,115.615,7.5891,1700,196545.5,51.1,196545.5
TAKE_PROFIT_DYN,2020-06-18,72.547,12.9598,1700,123329.9,155.4,-210343.38
