threshold_pct,all_pnl,drop_top1,drop_top2,drop_top3
0.0,215200.94874274463,83633.29798834451,1180.9525825044257,-54245.96994373569
0.1,180274.3445110647,49205.56438666466,-32767.86521437543,-87604.12491469563
0.2,319311.8630816344,188741.9535872343,107322.68498021417,32671.859662794217
0.3,249612.49698991468,165637.1043375146,96422.0745246145,30349.76467305451
0.5,960679.7180053147,873625.8888806346,790573.4068937346,708337.3724621944
0.75,882825.150767725,773160.9386322249,691255.8590943249,621797.4395160847
1.0,966130.5656593755,853430.8899679155,772698.1564105153,701646.5445793152
1.5,1092142.2499186257,951321.3641647855,872883.4355053854,803159.4838849853
2.0,176393.70464964485,96421.68026178482,28954.750999744807,-37934.3225751553
