ts_code,date,adj_changed,pstar_old,pstar_correct,old_trigger,corr_trigger
601318.SH,2020-03-03,False,83.70685246889731,83.70685246889731,False,False
300750.SZ,2020-03-03,False,174.94975033441975,174.94975033441975,False,False
601318.SH,2020-03-04,False,83.7420074650921,83.7420074650921,False,False
300750.SZ,2020-03-04,False,174.1736292285451,174.1736292285451,False,False
601318.SH,2020-03-05,False,83.66633933736,83.66633933736,False,False
300750.SZ,2020-03-05,False,171.72028246808654,171.72028246808654,False,False
601318.SH,2020-03-06,False,83.87661891226365,83.87661891226365,False,False
300750.SZ,2020-03-06,False,171.03981518957045,171.03981518957045,False,False
601318.SH,2020-03-09,False,83.8943627309528,83.8943627309528,False,False
300750.SZ,2020-03-09,False,169.09125070585267,169.09125070585267,False,False
601318.SH,2020-03-10,False,84.05847201127693,84.05847201127693,False,False
300750.SZ,2020-03-10,False,169.81067550897777,169.81067550897777,False,False
601318.SH,2020-03-11,False,84.03404120801184,84.03404120801184,False,False
300750.SZ,2020-03-11,False,168.7171566805943,168.7171566805943,False,False
601318.SH,2020-03-12,False,84.15242721105008,84.15242721105008,False,False
300750.SZ,2020-03-12,False,167.97512050775458,167.97512050775458,False,False
601318.SH,2020-03-13,False,84.4326855275958,84.4326855275958,False,False
300750.SZ,2020-03-13,False,168.54807126486443,168.54807126486443,False,False
601318.SH,2020-03-16,False,84.78211597159014,84.78211597159014,False,False
300750.SZ,2020-03-16,False,168.60584907955476,168.60584907955476,False,False
601318.SH,2020-03-17,False,85.70508872129354,85.70508872129354,False,False
300750.SZ,2020-03-17,False,170.2330073297718,170.2330073297718,False,False
601318.SH,2020-03-18,False,86.11250303276765,86.11250303276765,False,False
300750.SZ,2020-03-18,False,171.4794412343966,171.4794412343966,False,False
000725.SZ,2020-03-18,False,6.051565809650261,6.051565809650261,False,False
601318.SH,2020-03-19,False,86.39380405843312,86.39380405843312,False,False
300750.SZ,2020-03-19,False,170.4752755447987,170.4752755447987,False,False
000725.SZ,2020-03-19,False,6.077800949233055,6.077800949233055,False,False
601318.SH,2020-03-20,False,86.92620770905664,86.92620770905664,False,False
300750.SZ,2020-03-20,False,168.89118288952503,168.89118288952503,False,False
000725.SZ,2020-03-20,False,6.069138509905523,6.069138509905523,False,False
601318.SH,2020-03-23,False,87.0842770717384,87.0842770717384,False,False
300750.SZ,2020-03-23,False,167.56591239009663,167.56591239009663,False,False
000725.SZ,2020-03-23,False,5.94277637527712,5.94277637527712,False,False
601318.SH,2020-03-24,False,87.4572780741064,87.4572780741064,False,False
300750.SZ,2020-03-24,False,164.6654348552598,164.6654348552598,False,False
