ts_code,name,entry_date,exit_date,levels,adj_entry,adj_exit,n_ca_changes,change_dates,change_ratios,ca_any,multi_level_cross
600519.SH,贵州茅台,2023-10-16,2023-12-29,3,7.768,7.8576,1,2023-12-20,2023-12-20:1.011535,True,True
601318.SH,中国平安,2023-11-10,2024-01-25,3,2.8438,2.8438,0,,,False,False
300750.SZ,宁德时代,2023-10-17,2024-02-08,3,1.822,1.822,0,,,False,False
002230.SZ,科大讯飞,2024-01-04,2024-02-08,2,13.57,13.57,0,,,False,False
601012.SH,隆基绿能,2024-01-30,2024-03-12,2,19.49,19.49,0,,,False,False
601318.SH,中国平安,2024-03-25,2024-04-29,2,2.8438,2.8438,0,,,False,False
000628.SZ,高新发展,2024-04-01,2024-05-21,3,3.179,3.179,0,,,False,False
000977.SZ,浪潮信息,2024-05-29,2024-07-09,1,6.633,6.656,3,2024-06-21;2024-06-25;2024-06-26,2024-06-21:1.003468;2024-06-25:1.000015;2024-06-26:0.999985,True,False
000625.SZ,长安汽车,2024-05-07,2024-07-10,2,14.773,15.125,3,2024-05-24;2024-06-25;2024-06-26,2024-05-24:1.023841;2024-06-25:1.000007;2024-06-26:0.999980,True,True
603019.SH,中科曙光,2024-03-28,2024-07-17,2,4.045,4.062,3,2024-06-06;2024-06-25;2024-06-26,2024-06-06:1.004277;2024-06-25:0.999877;2024-06-26:1.000049,True,True
601919.SH,中远海控,2024-07-15,2024-09-20,2,2.083,2.083,0,,,False,False
601138.SH,工业富联,2024-07-19,2024-09-24,3,1.13,1.1615,1,2024-08-15,2024-08-15:1.027876,True,True
601899.SH,紫金矿业,2024-07-24,2024-09-25,3,2.115,2.129,1,2024-08-09,2024-08-09:1.006619,True,True
600150.SH,中国船舶,2024-09-23,2024-12-18,2,3.3292,3.3292,0,,,False,False
600418.SH,江淮汽车,2024-11-28,2025-01-22,1,6.353,6.353,0,,,False,False
600030.SH,中信证券,2025-01-02,2025-02-07,2,6.5115,6.5115,0,,,False,False
300059.SZ,东方财富,2025-01-03,2025-02-07,2,81.227,81.227,0,,,False,False
000063.SZ,中兴通讯,2025-03-04,2025-05-07,2,16.7756,17.1055,1,2025-04-16,2025-04-16:1.019665,True,True
300308.SZ,中际旭创,2025-02-06,2025-05-08,4,6.563,6.563,0,,,False,False
300502.SZ,新易盛,2025-03-03,2025-05-08,2,8.4973,8.4973,0,,,False,False
688981.SH,中芯国际,2025-05-12,2025-06-23,2,1.0,1.0,0,,,False,False
688256.SH,寒武纪,2025-05-28,2025-06-26,1,1.0,1.0,0,,,False,False
600519.SH,贵州茅台,2025-06-16,2025-07-10,1,8.1454,8.305,1,2025-06-26,2025-06-26:1.019594,True,False
300308.SZ,中际旭创,2025-10-15,2025-10-24,1,6.5961,6.5961,0,,,False,False
002460.SZ,赣锋锂业,2025-11-25,2025-12-22,1,14.1356,14.1356,0,,,False,False
601138.SH,工业富联,2025-11-25,2025-12-25,1,1.1843,1.1843,0,,,False,False
300502.SZ,新易盛,2026-01-13,2026-02-02,1,11.9444,11.9444,0,,,False,False
300750.SZ,宁德时代,2025-11-24,2026-02-06,4,1.9194,1.9194,0,,,False,False
300308.SZ,中际旭创,2026-02-09,2026-03-18,1,6.5961,6.5961,0,,,False,False
002475.SZ,立讯精密,2026-01-09,2026-04-08,5,34.5218,34.6301,1,2026-02-12,2026-02-12:1.003137,True,True
688256.SH,寒武纪,2026-02-04,2026-04-08,3,1.0,1.0,0,,,False,False
601899.SH,紫金矿业,2026-03-20,2026-04-15,2,2.1767,2.1767,0,,,False,False
300274.SZ,阳光电源,2026-07-02,2026-08-11,2,9.8706,9.8706,0,,,False,False
600487.SH,亨通光电,2026-07-07,2026-08-18,2,11.0337,11.0337,0,,,False,False
688525.SH,佰维存储,2026-07-16,2026-08-25,2,1.0006,1.0006,0,,,False,False
600276.SH,恒瑞医药,2026-08-21,2026-08-25,2,65.4769,65.4769,0,,,False,False
688256.SH,寒武纪,2026-08-25,2026-08-25,1,1.4912,1.4912,0,,,False,False
