signal_date,entry_date,exit_date,entry_idx,exit_idx,qty,entry_open,exit_close,buy_fill,sell_fill,buy_fee,sell_fee,cash_out,proceeds,net_return_pct,pnl,year
2021-01-28,2021-01-29,2021-02-04,262,266,18400,5.407,5.474,5.412406999999999,5.468526,24.897072199999997,25.155219600000002,99613.18587219997,100595.7231804,0.9863526596374387,982.5373082000297,2021
2021-02-04,2021-02-05,2021-02-18,267,271,18300,5.486,5.764,5.491485999999999,5.758236,25.123548449999994,26.3439297,100519.31734844999,105349.3748703,4.805103784287186,4830.057521850016,2021
2021-03-09,2021-03-10,2021-03-16,285,289,20900,5.037,5.073,5.042037,5.067927,26.344643324999996,26.479918575,105404.917943325,105893.194381425,0.463238763074169,488.27643810000154,2021
2021-03-24,2021-03-25,2021-03-31,296,300,21600,4.906,5.05,4.910905999999999,5.04495,26.518892399999995,27.24273,106102.08849239997,108943.67727,2.6781647920187472,2841.588777600031,2021
2021-04-12,2021-04-13,2021-04-19,308,312,22000,4.946,5.089,4.950945999999999,5.0839110000000005,27.230202999999996,27.961510500000003,108948.04220299998,111818.08048950002,2.63431836723819,2870.038286500043,2021
2021-04-23,2021-04-26,2021-04-30,317,321,21700,5.151,5.128,5.1561509999999995,5.122872,27.972119174999996,27.791580600000003,111916.44881917498,111138.53081940001,-0.6950881733496277,-777.9179997749743,2021
2021-04-30,2021-05-06,2021-05-12,322,326,21700,5.109,5.056,5.114108999999999,5.050944,27.744041324999994,27.401371200000003,111003.90934132498,109578.0834288,-1.2844826105544762,-1425.8259125249751,2021
2021-06-11,2021-06-15,2021-06-21,349,353,20900,5.24,5.119,5.24524,5.113881,27.406379,26.720028225000004,109652.922379,106853.39287177501,-2.5530824409301234,-2799.5295072249864,2021
2021-06-29,2021-06-30,2021-07-06,360,364,20400,5.226,5.127,5.2312259999999995,5.121873,26.679252599999998,26.1215523,106743.68965259999,104460.0876477,-2.1393320882311944,-2283.6020048999926,2021
2021-07-08,2021-07-09,2021-07-15,367,371,20400,5.12,5.207,5.12512,5.2017929999999994,26.138112000000003,26.529144299999995,104578.586112,106090.04805569998,1.4452881798203463,1511.4619436999783,2021
2021-07-15,2021-07-16,2021-07-22,372,376,20400,5.2,5.209,5.2052,5.203791,26.546519999999997,26.5393341,106212.62651999999,106130.7970659,-0.07704305672601335,-81.82945409999229,2021
2021-07-23,2021-07-26,2021-07-30,378,382,20600,5.137,4.872,5.142136999999999,4.867128,26.482005549999997,25.0657092,105954.50420554998,100237.7710908,-5.395460209657167,-5716.733114749979,2021
2021-08-17,2021-08-18,2021-08-24,395,399,20400,4.904,4.957,4.908904,4.952043,25.035410399999996,25.2554193,100166.67701039999,100996.4217807,0.8283640778198695,829.7447703000071,2021
2021-08-30,2021-08-31,2021-09-06,404,408,20700,4.882,5.002,4.886881999999999,4.996998,25.289614349999997,25.85946465,101183.74701434998,103411.99913535,2.202183835595651,2228.2521210000123,2021
2021-09-16,2021-09-17,2021-09-27,417,421,21100,4.888,4.963,4.892887999999999,4.958037,25.809984199999995,26.153645175,103265.74678419998,104588.427054825,1.2808509228031901,1322.680270625031,2021
2021-09-27,2021-09-28,2021-10-11,422,426,21100,4.955,5.005,4.959955,4.999995,26.163762625,26.374973625000003,104681.214262625,105473.519526375,0.7568743535609612,792.3052637500077,2021
2021-10-12,2021-10-13,2021-10-19,428,432,21300,4.945,4.995,4.949945,4.990005,26.358457124999997,26.571776625,105460.18695712498,106260.53472337499,0.7589098685889784,800.3477662500081,2021
2021-10-27,2021-10-28,2021-11-03,439,443,21400,4.96,4.893,4.96496,4.888107,26.562535999999998,26.15137245,106276.70653599998,104579.33842755,-1.5971214801194658,-1697.368108449984,2021
2021-12-06,2021-12-07,2021-12-13,467,471,20900,4.995,5.156,4.999994999999999,5.150843999999999,26.124973874999995,26.913159899999997,104526.02047387499,107625.72644009998,2.965487399378923,3099.705966224996,2021
2021-12-20,2021-12-21,2021-12-27,477,481,21700,4.953,5.001,4.957953,4.995999,26.896895025,27.103294575,107614.47699502499,108386.075005425,0.7170020539482579,771.5980104000046,2021
2022-01-05,2022-01-06,2022-01-12,488,492,22000,4.923,4.919,4.927923,4.9140809999999995,27.1035765,27.0274455,108441.4095765,108082.75455449999,-0.33073622281439735,-358.6550220000063,2022
2022-01-14,2022-01-17,2022-01-21,495,499,22500,4.798,4.784,4.802797999999999,4.779216,27.015738749999997,26.88309,108089.97073874998,107505.47691,-0.5407475131644597,-584.4938287499826,2022
2022-01-21,2022-01-24,2022-01-28,500,504,22500,4.76,4.554,4.764759999999999,4.5494460000000005,26.801774999999996,25.590633750000006,107233.90177499998,102336.94436625001,-4.566613102472802,-4896.957408749964,2022
2022-03-07,2022-03-08,2022-03-14,526,530,23600,4.347,4.172,4.351347,4.167828,25.672947299999997,24.5901852,102717.46214729999,98336.1506148,-4.265400878204182,-4381.311532499982,2022
2022-03-14,2022-03-15,2022-03-21,531,535,23700,4.135,4.252,4.139135,4.247748,24.524374875,25.1679069,98122.023874875,100646.4596931,2.572751476716537,2524.435818225,2022
2022-04-11,2022-04-12,2022-04-18,549,553,24500,4.103,4.161,4.1071029999999995,4.156839,25.156005874999995,25.460638874999997,100649.17950587498,101817.09486112499,1.1603823905805752,1167.9153552500065,2022
2022-04-21,2022-04-22,2022-04-28,557,561,25700,3.965,3.915,3.9689649999999994,3.911085,25.500600125,25.128721125000002,102027.90110012499,100489.755778875,-1.5075732271906028,-1538.145321249991,2022
2022-06-22,2022-06-23,2022-06-29,597,601,23300,4.291,4.458,4.295291,4.4535420000000006,25.020070075,25.941882150000005,100105.300370075,103741.58671785002,3.6324613525279785,3636.2863477750216,2022
2022-07-05,2022-07-06,2022-07-12,606,610,23100,4.5,4.352,4.504499999999999,4.347648,26.013487499999997,25.107667200000005,104079.96348749998,100405.56113280001,-3.5303647614569575,-3674.402354699967,2022
2022-07-12,2022-07-13,2022-07-19,611,615,23000,4.355,4.319,4.359355,4.314681,25.06629125,24.80941575,100290.23129124999,99212.85358425,-1.0742598687116502,-1077.3777069999924,2022
2022-08-02,2022-08-03,2022-08-09,626,630,23700,4.18,4.211,4.18418,4.2067890000000006,24.7912665,24.925224825000004,99189.8572665,99675.97407517502,0.490087214632181,486.1168086750258,2022
2022-08-24,2022-08-25,2022-08-31,642,646,24000,4.153,4.141,4.157152999999999,4.136859,24.942917999999995,24.821154000000003,99796.61491799998,99259.794846,-0.5379141090517577,-536.8200719999732,2022
2022-08-31,2022-09-01,2022-09-07,647,651,24000,4.13,4.119,4.13413,4.114881,24.80478,24.689285999999996,99243.92478,98732.45471399999,-0.5153666253464033,-511.47006600000896,2022
2022-09-15,2022-09-16,2022-09-22,657,661,24200,4.077,3.932,4.081077,3.928068,24.690515849999997,23.764811400000003,98786.75391584999,95035.4807886,-3.7973442577589362,-3751.2731272499805,2022
2022-09-23,2022-09-26,2022-09-30,663,667,24300,3.9,3.868,3.9038999999999993,3.8641319999999997,23.716192499999995,23.4746019,94888.48619249997,93874.93299809999,-1.0681519276677984,-1013.5531943999813,2022
2022-10-10,2022-10-11,2022-10-17,669,673,24700,3.791,3.902,3.7947909999999996,3.898098,23.432834425,24.07075515,93754.77053442498,96258.94984485001,2.6709886826564597,2504.1793104250246,2022
