date,K1,K2,K3
2020-01-02,0.9997512795750001,0.9997512795750001,0.9997512795750001
2020-01-03,1.010031879575,1.010031879575,1.010031879575
2020-01-06,0.990405279575,0.990405279575,0.990405279575
2020-01-07,0.994610979575,0.994610979575,0.994610979575
2020-01-08,0.9824611795750002,0.9824611795750002,0.9824611795750002
2020-01-09,0.994143679575,0.994143679575,0.994143679575
2020-01-10,1.004424279575,1.004424279575,1.004424279575
2020-01-13,1.0016204795750001,1.0016204795750001,1.0016204795750001
2020-01-14,1.0086299795750002,1.0086299795750002,1.0086299795750002
2020-01-15,1.0053588795750001,1.0053588795750001,1.0053588795750001
2020-01-16,0.9997512795750001,0.9997512795750001,0.9997512795750001
2020-01-17,1.0030223795750002,1.0030223795750002,1.0030223795750002
2020-01-20,1.003956979575,1.003956979575,1.003956979575
2020-01-21,1.003956979575,1.003956979575,1.003956979575
2020-01-22,1.011901079575,1.011901079575,1.011901079575
2020-01-23,1.0086299795750002,1.0086299795750002,1.0086299795750002
2020-02-03,0.9932090795750003,0.9932090795750003,0.9932090795750003
2020-02-04,0.9997512795750001,0.9997512795750001,0.9997512795750001
2020-02-05,1.005826179575,1.005826179575,1.005826179575
2020-02-06,1.0235835795750001,1.0235835795750001,1.0235835795750001
2020-02-07,1.025920079575,1.025920079575,1.025920079575
2020-02-10,1.027789279575,1.027789279575,1.027789279575
2020-02-11,1.041808279575,1.041808279575,1.041808279575
2020-02-12,1.060032979575,1.060032979575,1.060032979575
2020-02-13,1.1025572795750003,1.1025572795750003,1.1025572795750003
2020-02-14,1.0553599795750002,1.0553599795750002,1.0553599795750002
2020-02-17,1.061902179575,1.061902179575,1.061902179575
2020-02-18,1.0469485795750002,1.0469485795750002,1.0469485795750002
2020-02-19,1.043677479575,1.043677479575,1.043677479575
2020-02-20,1.0506869795750002,1.0506869795750002,1.0506869795750002
2020-02-21,1.040406379575,1.040406379575,1.040406379575
2020-02-24,1.017975979575,1.017975979575,1.017975979575
2020-02-25,1.017508679575,1.017508679575,1.017508679575
2020-02-26,0.9908725795750001,0.9908725795750001,0.9908725795750001
2020-02-27,0.985264979575,0.985264979575,0.985264979575
2020-02-28,0.953488579575,0.953488579575,0.953488579575
2020-03-02,0.9717132795750001,0.9717132795750001,0.9717132795750001
2020-03-03,0.9670402795750002,0.9670402795750002,0.9670402795750002
2020-03-04,0.955357779575,0.955357779575,0.955357779575
2020-03-05,0.9684421795750001,0.9684421795750001,0.9684421795750001
2020-03-06,0.9474136795750001,0.9474136795750001,0.9474136795750001
2020-03-09,0.896010679575,0.896010679575,0.896010679575
2020-03-10,0.9231140795750001,0.9231140795750001,0.9231140795750001
2020-03-11,0.9062912795750002,0.9062912795750002,0.9062912795750002
2020-03-12,0.8740475795750001,0.8740475795750001,0.8740475795750001
2020-03-13,0.8567574795750001,0.8567574795750001,0.8567574795750001
2020-03-16,0.8361962795750001,0.8361962795750001,0.8361962795750001
2020-03-17,0.8291867795750001,0.8291867795750001,0.8291867795750001
2020-03-18,0.8016160795750001,0.8016160795750001,0.8016160795750001
2020-03-19,0.7992795795750001,0.7992795795750001,0.7992795795750001
2020-03-20,0.8263829795750002,0.8263829795750002,0.8263829795750002
2020-03-23,0.7768491795750001,0.7768491795750001,0.7768491795750001
2020-03-24,0.8072236795750002,0.8072236795750002,0.8072236795750002
2020-03-25,0.8390000795750001,0.8390000795750001,0.8390000795750001
2020-03-26,0.8291867795750001,0.8291867795750001,0.8291867795750001
2020-03-27,0.8310559795750001,0.8310559795750001,0.8310559795750001
2020-03-30,0.8179715795750001,0.8179715795750001,0.8179715795750001
2020-03-31,0.8291867795750001,0.8291867795750001,0.8291867795750001
2020-04-01,0.8109620795750001,0.8109620795750001,0.8109620795750001
2020-04-02,0.8193734795750002,0.8193734795750002,0.8193734795750002
2020-04-03,0.8109620795750001,0.8109620795750001,0.8109620795750001
2020-04-07,0.8506825795750002,0.8506825795750002,0.8506825795750002
2020-04-08,0.8441403795750001,0.8441403795750001,0.8441403795750001
