stop_pct,killed_winners_old,killed_winners_adj,pnl_lost_old,pnl_lost_adj
-10.0,14651,14540,1222468357.0470078,1218698903.8275676
-12.5,10745,10661,1070118423.7280064,1065982349.6502681
-15.0,7986,7909,938475882.0068711,933413120.5179969
-17.5,6009,5958,825418957.9881687,821654158.8913409
-20.0,4652,4616,735074580.840572,732105378.1124632
-22.5,3639,3608,656592283.3954861,653947120.3755049
-25.0,2856,2836,582988447.9894408,580881808.9372572
-27.5,2362,2347,535984514.3131115,534435556.60198057
-30.0,1889,1875,477201927.10983944,476015345.0443083
-35.0,1189,1182,358341196.6736364,357524605.8319504
-40.0,714,710,248405119.70312676,247840242.77742103
