group,stop_pct,n,old_trig_rate,adj_trig_rate,old_mean,adj_mean
factor_unchanged,-10.0,54336,40.52929917550059,40.52929917550059,3.075471378063174,3.075615533410949
factor_unchanged,-12.5,54336,32.88979681978799,32.88979681978799,3.507482651961634,3.507177740154758
factor_unchanged,-15.0,54336,26.86064487632509,26.86064487632509,3.812174596773842,3.811839299099797
factor_unchanged,-17.5,54336,22.156581272084804,22.156581272084804,4.037807271249173,4.037642560577496
factor_unchanged,-20.0,54336,18.433451118963486,18.433451118963486,4.207661603103072,4.207472021765621
factor_unchanged,-22.5,54336,15.266121908127209,15.266121908127209,4.367844679999747,4.367668347465503
factor_unchanged,-25.0,54336,12.8073468786808,12.8073468786808,4.498127849020993,4.497893434325073
factor_unchanged,-27.5,54336,10.87308598351001,10.87308598351001,4.577124207348599,4.577307065949021
factor_unchanged,-30.0,54336,9.115503533568905,9.115503533568905,4.700023875792474,4.699859612845211
factor_unchanged,-35.0,54336,6.345700824499412,6.345700824499412,4.956686746842594,4.957033734546269
factor_unchanged,-40.0,54336,4.159305064782096,4.159305064782096,5.2625070245647905,5.262503368761413
factor_changed,-10.0,7492,70.60864922584089,65.29631607047517,-2.553539435812317,-2.4407829555533773
factor_changed,-12.5,7492,62.14628937533369,56.23331553657235,-2.788645264418914,-2.649552003264101
factor_changed,-15.0,7492,54.418045915643354,48.45168179391351,-3.0599976649414384,-2.9159828609858245
factor_changed,-17.5,7492,46.636412172984514,40.5232247730913,-3.1283307729782,-2.980882540103447
factor_changed,-20.0,7492,40.496529631607046,34.35664709022958,-3.2997333829822413,-3.146609775586787
factor_changed,-22.5,7492,34.6903363587827,28.376935397757606,-3.3641351157865693,-3.186729589416502
factor_changed,-25.0,7492,29.391350774159104,23.545114789108382,-3.349064222266491,-3.212764344247179
factor_changed,-27.5,7492,24.813134009610252,19.113721302722904,-3.3440271997420563,-3.196272875453697
factor_changed,-30.0,7492,21.142552055525897,15.710090763481046,-3.364511063072851,-3.223306100901787
factor_changed,-35.0,7492,14.295248264815804,9.743726641751202,-3.229750461766817,-3.1136275787540937
factor_changed,-40.0,7492,9.730379071009077,6.099839829151095,-3.1787894868089728,-3.081961864778984
