stop_pct,base_mean,base_median,base_win,base_pf,base_p5,base_p10,base_hold,old_mean,old_median,old_win,old_pf,old_p5,old_p10,old_hold,old_trig,old_gap,old_pending,adj_mean,adj_median,adj_win,adj_pf,adj_p5,adj_p10,adj_hold,adj_trig,adj_gap,adj_pending,d_old_base,d_adj_base,d_adj_old
-10.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,2.3933767119320497,2.1537697415359083,54.39121433654655,0.8783511088459326,-9.295747683417034,-7.556479727773043,20.0,44.17416057449699,31.710551853529147,0.016173901792068318,2.407166651362027,2.194160830089321,54.57236203661772,0.8781020013379858,-9.325880828964559,-7.58448462748359,20.0,43.530439283172676,31.078152293459276,0.01940868215048198,-2.705935081496246,-2.6921451420662685,0.013789939429977416
-12.5,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,2.744550156174562,3.4488027943985022,60.58581872290871,0.9053292859545584,-10.438238318141826,-8.730718368428883,21.0,36.434948566992304,25.344504108171055,0.014556511612861487,2.761136800164881,3.4626863597864017,60.72006210778288,0.9058571837490969,-10.458194715805213,-8.757556293092986,21.0,35.718444717603674,24.640939380216086,0.014556511612861487,-2.3547616372537337,-2.3381749932634146,0.01658664399031906
-15.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,2.9794400010442232,4.060273347254615,65.00452869250178,0.9197805771476486,-11.763881885377904,-10.009704508540828,22.0,30.19990942614996,20.348385844601154,0.012939121433654655,2.996596308490987,4.070579464346611,65.12906773630071,0.9207426957199426,-11.813085065441244,-10.048397616709119,22.0,29.476936016044508,19.59306463091156,0.014556511612861487,-2.1198717923840724,-2.102715484937309,0.017156307446763552
-17.5,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.1694514093847834,4.421560742885109,68.19240473571845,0.9308043350248921,-13.323192075472036,-11.279728911640905,22.0,25.122921653619716,16.067154040240666,0.029113023225722973,3.1871736782862756,4.42561450520944,68.274891634858,0.9323396431659271,-13.34580972368745,-11.300301231850428,22.0,24.382156951542992,15.358737141748074,0.032347803584136636,-1.9298603840435122,-1.91213811514202,0.0177222689014922
-20.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.2979539749127507,4.65753232016381,70.37588147764767,0.9351371182626672,-14.930812507428284,-12.548557512165756,23.0,21.106941838649156,12.669017273727116,0.021026072329688814,3.3163420996305977,4.65973012914673,70.43249013391991,0.9371481998477382,-14.930812507428284,-12.557453077782567,23.0,20.362942356214013,11.949278643980074,0.022643462508895644,-1.801357818515545,-1.782969693797698,0.01838812471784701
-22.5,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.4309230161899675,4.818727680109789,72.00782816846736,0.9478099634179892,-16.54322834751183,-13.664932838259418,23.0,17.619848612279227,10.089279937892218,0.016173901792068318,3.452265142718139,4.820295228063777,72.05796726402276,0.9504143188515474,-16.552469658189167,-13.659122692053222,23.0,16.854823057514395,9.382480429578832,0.01940868215048198,-1.6683887772383281,-1.6470466507101569,0.021342126528171246
-25.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.5472453524484724,4.956150043856862,73.27586206896551,0.9626285679832239,-18.131155667037252,-14.624294508425875,24.0,14.816911431713786,8.085333505854953,0.01779129197127515,3.563555463226812,4.957442529050169,73.30820987254965,0.9643332376440676,-18.141295747707634,-14.586704020577848,24.0,14.108494533221194,7.40279485022967,0.02426085268810248,-1.5520664409798233,-1.5357563302014836,0.01631011077833966
-27.5,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.6172796977101958,5.032377815267875,74.07161803713528,0.9692259372496137,-19.76312704359572,-15.1099215085724,24.0,12.562269521899463,6.3919259882254,0.029113023225722973,3.6353445098095833,5.033275448178507,74.09587888982338,0.9719742025316472,-19.753097135745076,-15.024876584440584,24.0,11.871643915378145,5.7627612085139415,0.0355825839425503,-1.4820320957181,-1.4639672836187123,0.018064812099387595
-30.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.7228048850119366,5.117822985467087,74.83987837225853,0.9898155508756472,-21.315778559997145,-14.170478704298713,24.0,10.57287960147506,5.067283431455004,0.030730413404929803,3.739771019855101,5.118574970828907,74.86252183476742,0.9923285350312001,-21.31663801923997,-13.946668597688932,24.0,9.914601798537879,4.47693601604451,0.032347803584136636,-1.376506908416359,-1.3595407735731948,0.016966134843164227
-35.0,5.099311793428296,5.4710601826715735,77.89189364042181,1.7541302913366976,-12.247317046788204,-5.911241850170966,25.0,3.9646962641017365,5.2505224647812465,75.9688167173449,1.0603141166554908,-23.259994857327737,-9.412094746014228,25.0,7.308986219835672,3.1134760949731515,0.016173901792068318,3.979072381126357,5.2505224647812465,75.98013844859935,1.0632054994289155,-23.246593662296988,-9.339641896904684,25.0,6.757456168726144,2.6282590412111015,0.01940868215048198,-1.1346155293265592,-1.1202394123019386,0.014376117024620605
