stop_pct,n_trig,median_hold,max_hold,p90_hold
-10.0,26914,26.0,337.0,54.0
-12.5,22084,29.0,337.0,57.0
-15.0,18225,31.0,337.0,59.0
-17.5,15075,32.0,337.0,62.0
-20.0,12590,33.0,337.0,65.0
-22.5,10421,35.0,337.0,68.0
-25.0,8723,37.0,337.0,71.0
-27.5,7340,38.0,337.0,74.0
-30.0,6130,39.0,337.0,77.0
-35.0,4178,40.0,337.0,83.0
-40.0,2717,42.0,337.0,91.0
