stop_pct,n_gap,gap_rate,n_pending
-10.0,19215,31.078152293459276,12
-12.5,15235,24.640939380216086,9
-15.0,12114,19.59306463091156,9
-17.5,9496,15.358737141748074,20
-20.0,7388,11.949278643980074,14
-22.5,5801,9.382480429578832,12
-25.0,4577,7.40279485022967,15
-27.5,3563,5.7627612085139415,22
-30.0,2768,4.47693601604451,20
-35.0,1625,2.6282590412111015,12
-40.0,862,1.394190334476289,4
