stop_pct,metric,point,ci_lo,ci_hi
-10.0,adj_mean,1.8472510309771524,0.9848997982897968,2.5555723432364306
-12.5,adj_mean,2.122331296489737,1.2109126998182418,2.8982938036239885
-15.0,adj_mean,2.2882732417747826,1.3164405422869663,3.1208452266268187
-17.5,adj_mean,2.4478336667231835,1.4400895847445716,3.276730168474191
-20.0,adj_mean,2.5940185304541163,1.5436059014095538,3.4618083166228386
-22.5,adj_mean,2.6945371739687114,1.6002919849053625,3.5569505549561193
-25.0,adj_mean,2.8244573571989666,1.7196935032510379,3.6967357487538566
-27.5,adj_mean,2.949802689244355,1.8335271337677537,3.826533259820837
-30.0,adj_mean,3.0279883457238106,1.8956804385816264,3.9200144592801927
-35.0,adj_mean,3.2400136481401236,2.1481056964062195,4.185831465169163
-40.0,adj_mean,3.428589005713209,2.3676519731174848,4.319575838010217
