ts_code,signal_date,entry_date,exit_date,entry_adj_factor,min_adj_factor,max_adj_factor,factor_changed,old_raw_trig,new_adj_trig,old_raw_trig_date,new_adj_trig_date
603676.SH,2020-02-28,2020-03-02,2020-03-11,1.0081000328063965,1.0081000328063965,1.0081000328063965,0,0,0,2020-03-11,2020-03-11
300234.SZ,2020-03-09,2020-03-10,2020-03-11,3.3642001152038574,3.3642001152038574,3.3642001152038574,0,0,0,2020-03-11,2020-03-11
300651.SZ,2020-03-09,2020-03-10,2020-03-11,1.7069000005722046,1.7069000005722046,1.7069000005722046,0,0,0,2020-03-11,2020-03-11
000632.SZ,2020-02-06,2020-02-07,2020-03-12,7.526700019836426,7.526700019836426,7.526700019836426,0,0,0,2020-03-12,2020-03-12
002873.SZ,2020-02-28,2020-03-02,2020-03-13,1.7131999731063843,1.7131999731063843,1.7131999731063843,0,0,0,2020-03-13,2020-03-13
600107.SH,2020-02-06,2020-02-07,2020-03-17,2.588900089263916,2.588900089263916,2.588900089263916,0,0,0,2020-03-17,2020-03-17
002871.SZ,2020-02-28,2020-03-02,2020-03-17,1.7258000373840332,1.7258000373840332,1.7258000373840332,0,0,0,2020-03-17,2020-03-17
002603.SZ,2020-03-10,2020-03-11,2020-03-17,2.7084999084472656,2.7084999084472656,2.7084999084472656,0,0,0,2020-03-17,2020-03-17
002773.SZ,2020-02-28,2020-03-02,2020-03-18,1.9836000204086304,1.9836000204086304,1.9836000204086304,0,0,0,2020-03-18,2020-03-18
600800.SH,2020-03-13,2020-03-16,2020-03-18,9.904399871826172,9.904399871826172,9.904399871826172,0,0,0,2020-03-18,2020-03-18
000791.SZ,2020-03-16,2020-03-17,2020-03-19,3.601300001144409,3.601300001144409,3.601300001144409,0,0,0,2020-03-19,2020-03-19
603630.SH,2020-03-16,2020-03-17,2020-03-19,1.348099946975708,1.348099946975708,1.348099946975708,0,0,0,2020-03-19,2020-03-19
603600.SH,2020-03-12,2020-03-13,2020-03-20,2.815000057220459,2.815000057220459,2.815000057220459,0,0,0,2020-03-20,2020-03-20
600520.SH,2020-03-16,2020-03-17,2020-03-20,2.341599941253662,2.341599941253662,2.341599941253662,0,0,0,2020-03-20,2020-03-20
603712.SH,2020-03-16,2020-03-17,2020-03-20,1.0033999681472778,1.0033999681472778,1.0033999681472778,0,0,0,2020-03-20,2020-03-20
603867.SH,2020-03-16,2020-03-17,2020-03-20,1.0089999437332153,1.0089999437332153,1.0089999437332153,0,0,0,2020-03-20,2020-03-20
600054.SH,2020-03-17,2020-03-18,2020-03-20,4.375999927520752,4.375999927520752,4.375999927520752,0,0,0,2020-03-20,2020-03-20
600280.SH,2020-03-18,2020-03-19,2020-03-20,11.472900390625,11.472900390625,11.472900390625,0,0,0,2020-03-20,2020-03-20
300765.SZ,2020-03-13,2020-03-16,2020-03-23,1.0,1.0,1.0,0,0,0,2020-03-23,2020-03-23
002059.SZ,2020-03-16,2020-03-17,2020-03-23,2.108099937438965,2.108099937438965,2.108099937438965,0,0,0,2020-03-23,2020-03-23
002686.SZ,2020-03-16,2020-03-17,2020-03-23,4.684199810028076,4.684199810028076,4.684199810028076,0,0,0,2020-03-23,2020-03-23
002723.SZ,2020-03-16,2020-03-17,2020-03-23,2.0388998985290527,2.0388998985290527,2.0388998985290527,0,0,0,2020-03-23,2020-03-23
000908.SZ,2020-03-17,2020-03-18,2020-03-23,2.8296000957489014,2.8296000957489014,2.8296000957489014,0,0,0,2020-03-23,2020-03-23
603897.SH,2020-03-17,2020-03-18,2020-03-23,1.0073000192642212,1.0073000192642212,1.0073000192642212,0,0,0,2020-03-23,2020-03-23
002490.SZ,2020-03-18,2020-03-19,2020-03-23,2.0441999435424805,2.0441999435424805,2.0441999435424805,0,0,0,2020-03-23,2020-03-23
002593.SZ,2020-03-18,2020-03-19,2020-03-23,3.2441999912261963,3.2441999912261963,3.2441999912261963,0,0,0,2020-03-23,2020-03-23
002910.SZ,2020-03-18,2020-03-19,2020-03-23,1.0091999769210815,1.0091999769210815,1.0091999769210815,0,0,0,2020-03-23,2020-03-23
002817.SZ,2020-03-13,2020-03-16,2020-03-24,1.0108000040054321,1.0108000040054321,1.0108000040054321,0,0,0,2020-03-24,2020-03-24
300026.SZ,2020-03-13,2020-03-16,2020-03-24,47.56829833984375,47.56829833984375,47.56829833984375,0,0,0,2020-03-24,2020-03-24
603229.SH,2020-03-13,2020-03-16,2020-03-24,1.0080000162124634,1.0080000162124634,1.0080000162124634,0,0,0,2020-03-24,2020-03-24
002559.SZ,2020-03-16,2020-03-17,2020-03-24,6.89739990234375,6.89739990234375,6.89739990234375,0,0,0,2020-03-24,2020-03-24
300157.SZ,2020-03-16,2020-03-17,2020-03-24,6.1371002197265625,6.1371002197265625,6.1371002197265625,0,0,0,2020-03-24,2020-03-24
600855.SH,2020-03-16,2020-03-17,2020-03-24,1.6157000064849854,1.6157000064849854,1.6157000064849854,0,0,0,2020-03-24,2020-03-24
300167.SZ,2020-03-17,2020-03-18,2020-03-24,6.973499774932861,6.973499774932861,6.973499774932861,0,0,0,2020-03-24,2020-03-24
002615.SZ,2020-03-18,2020-03-19,2020-03-24,5.088399887084961,5.088399887084961,5.088399887084961,0,0,0,2020-03-24,2020-03-24
600127.SH,2020-03-18,2020-03-19,2020-03-24,5.087200164794922,5.087200164794922,5.087200164794922,0,0,0,2020-03-24,2020-03-24
002727.SZ,2020-02-28,2020-03-02,2020-03-25,2.102099895477295,2.102099895477295,2.102099895477295,0,0,0,2020-03-25,2020-03-25
600056.SH,2020-03-13,2020-03-16,2020-03-25,9.240099906921387,9.240099906921387,9.240099906921387,0,0,0,2020-03-25,2020-03-25
603507.SH,2020-03-13,2020-03-16,2020-03-25,1.016800045967102,1.016800045967102,1.016800045967102,0,0,0,2020-03-25,2020-03-25
002877.SZ,2020-03-16,2020-03-17,2020-03-25,2.7383999824523926,2.7383999824523926,2.7383999824523926,0,0,0,2020-03-25,2020-03-25
002956.SZ,2020-03-16,2020-03-17,2020-03-25,1.0,1.0,1.0,0,0,0,2020-03-25,2020-03-25
