n_event_days,daily_mean,daily_median,daily_positive_rate,hac_t,hac_ci_lo,hac_ci_hi,block_boot_ci_lo,block_boot_ci_hi,block_boot_p_nonpos,delta_daily_mean,delta_hac_ci_lo,delta_hac_ci_hi,stop_pct
1097,1.8472510309771524,1.3821351407674665,62.53418413855971,6.191180229593431,1.2624494444542895,2.4320526175000152,0.9848997982897968,2.5555723432364306,0.0,-2.1948876644540185,-2.655881583273281,-1.733893745634756,-10.0
1097,2.122331296489737,2.0368539465627986,65.72470373746582,6.645226073163367,1.4963526924029562,2.748309900576518,1.2109126998182418,2.8982938036239885,0.0,-1.9198073989414344,-2.3751551983898076,-1.4644595994930611,-12.5
1097,2.2882732417747826,2.413687098171337,68.64175022789426,6.845265256953614,1.6330735693701859,2.943472914179379,1.3164405422869663,3.1208452266268187,0.0,-1.7538654536563885,-2.212926191534356,-1.294804715778421,-15.0
1097,2.4478336667231835,2.7389921288872086,69.46216955332726,7.072700306758469,1.7694854010412846,3.1261819324050824,1.4400895847445716,3.276730168474191,0.0,-1.5943050287079872,-2.0470128097114046,-1.1415972477045697,-17.5
1097,2.5940185304541163,2.8019243215767378,70.37374658158613,7.213058694994514,1.8891474716315546,3.298889589276678,1.5436059014095538,3.4618083166228386,0.0,-1.4481201649770548,-1.9037231394179646,-0.992517190536145,-20.0
1097,2.6945371739687114,2.947558743757944,73.01731996353692,7.343490059041476,1.9753569451514577,3.413717402785965,1.6002919849053625,3.5569505549561193,0.0,-1.3476015214624597,-1.7990295519134332,-0.8961734910114864,-22.5
1097,2.8244573571989666,3.243743089283326,73.83773928896991,7.627886519968941,2.0987076484667346,3.5502070659311986,1.7196935032510379,3.6967357487538566,0.0,-1.217681338232204,-1.6554408225214905,-0.7799218539429175,-25.0
1097,2.949802689244355,3.4451483830585206,75.29626253418414,7.972703394185881,2.2246266749033228,3.674978703585387,1.8335271337677537,3.826533259820837,0.0,-1.0923360061868161,-1.5005204765868094,-0.6841515357868229,-27.5
1097,3.0279883457238106,3.459937781860583,75.47857793983592,8.179663839710894,2.302425868595358,3.7535508228522634,1.8956804385816264,3.9200144592801927,0.0,-1.0141503497073605,-1.4017622735261934,-0.6265384258885275,-30.0
1097,3.2400136481401236,3.730242401056818,77.2105742935278,8.795389351719118,2.517995952685469,3.962031343594778,2.1481056964062195,4.185831465169163,0.0,-0.8021250472910476,-1.1359329761938586,-0.46831711838823675,-35.0
1097,3.428589005713209,3.8270597683618943,78.57793983591613,9.527442583640175,2.7232544532135656,4.133923558212853,2.3676519731174848,4.319575838010217,0.0,-0.613549689717962,-0.8733516281131879,-0.353747751322736,-40.0
