date,ts_code,action,trade_amount,day_amount_yuan,impact_ratio
2020-04-13,000977.SZ,INITIAL_ENTRY,196840.0,1962585843.0,0.00010029624981861239
2020-04-28,000725.SZ,INITIAL_ENTRY,199656.0,3256274704.0,6.131423732609017e-05
2020-04-29,000725.SZ,ADD_POSITION,199920.0,1802881967.0,0.00011088912289286879
2020-05-25,000063.SZ,INITIAL_ENTRY,196524.0,3227462521.0,6.089117959427421e-05
2020-05-25,002415.SZ,INITIAL_ENTRY,198658.0,2391961088.0,8.30523544035178e-05
2020-06-15,600703.SH,INITIAL_ENTRY,199805.0,2856717241.0,6.994216898066461e-05
2020-09-01,002456.SZ,INITIAL_ENTRY,199558.0,6600305406.0,3.0234661538327003e-05
2020-09-02,002456.SZ,ADD_POSITION,199650.0,4619578104.0,4.32182323808157e-05
2020-09-03,002456.SZ,ADD_POSITION,199560.0,2281429758.0,8.747146358559946e-05
2020-09-04,002456.SZ,ADD_POSITION,198982.0,1619825099.0,0.00012284165748687413
2020-09-07,002456.SZ,ADD_POSITION,198882.0,2027689288.0,9.80830747476928e-05
2020-09-07,600030.SH,INITIAL_ENTRY,197406.0,4681671186.0,4.216571223334094e-05
2020-10-23,000661.SZ,INITIAL_ENTRY,197994.0,3817405715.0,5.1866114000408256e-05
2020-11-11,300122.SZ,INITIAL_ENTRY,199485.0,4128913159.0,4.8314167026054424e-05
2020-11-13,601012.SH,INITIAL_ENTRY,199680.0,9493407770.0,2.103354294239907e-05
2020-11-17,601012.SH,ADD_POSITION,195570.0,3327658456.0,5.877105555931489e-05
2020-11-18,601012.SH,ADD_POSITION,194494.0,5581719641.0,3.4844817101052964e-05
2020-12-14,002475.SZ,INITIAL_ENTRY,199240.0,4359614391.0,4.5701289639586385e-05
2020-12-15,000651.SZ,INITIAL_ENTRY,195168.0,4637048624.0,4.2088840515897945e-05
2020-12-16,688981.SH,INITIAL_ENTRY,198720.0,4156901711.0,4.78048349024339e-05
2020-12-17,688981.SH,ADD_POSITION,196035.0,2152082302.0,9.109084713805709e-05
2020-12-18,688981.SH,ADD_POSITION,198072.0,1690830727.0,0.00011714478382554257
2020-12-21,688981.SH,ADD_POSITION,195696.0,1942585877.0,0.00010073994787927721
2021-01-28,601318.SH,INITIAL_ENTRY,194208.0,8642469570.0,2.2471354793558155e-05
2021-01-28,002475.SZ,INITIAL_ENTRY,196365.0,6301783109.0,3.116022824072729e-05
2021-01-29,601318.SH,ADD_POSITION,197700.0,10098743883.0,1.957669214017832e-05
2021-01-29,300750.SZ,INITIAL_ENTRY,177055.0,9896345998.0,1.7890946823785455e-05
2021-02-01,601318.SH,ADD_POSITION,198175.0,5729483192.0,3.458863449965419e-05
2021-02-01,300750.SZ,ADD_POSITION,175165.0,6170654212.0,2.8386779421112052e-05
2021-02-02,601318.SH,ADD_POSITION,195450.0,7742175159.0,2.52448434691892e-05
2021-02-03,601318.SH,ADD_POSITION,153080.0,10255482626.0,1.4926650025412466e-05
2021-02-22,300059.SZ,INITIAL_ENTRY,198417.0,15597925379.0,1.2720730172689205e-05
2021-02-25,300059.SZ,ADD_POSITION,199521.0,8215259010.0,2.428663536440344e-05
2021-02-26,300059.SZ,ADD_POSITION,197470.0,8164585003.0,2.4186164995213047e-05
2021-02-26,002594.SZ,INITIAL_ENTRY,197270.0,9978745767.0,1.9769017530477385e-05
2021-03-09,002475.SZ,ADD_POSITION,195800.0,3344775520.0,5.853905555969867e-05
2021-03-10,002475.SZ,ADD_POSITION,199778.0,3429793611.0,5.8247819740311485e-05
2021-03-11,002475.SZ,ADD_POSITION,198105.0,5882176947.0,3.367885763807846e-05
2021-03-12,002475.SZ,ADD_POSITION,57190.0,4522028816.0,1.264697823190519e-05
2021-04-12,002352.SZ,INITIAL_ENTRY,197700.0,11114679797.0,1.7787287048373797e-05
2021-04-13,002352.SZ,ADD_POSITION,194400.0,3974653421.0,4.890992481832292e-05
2021-04-14,002352.SZ,ADD_POSITION,161050.0,2318018783.0,6.947743529134294e-05
2021-04-30,002594.SZ,ADD_POSITION,190284.0,5715463804.0,3.329283615912827e-05
2021-05-06,002594.SZ,ADD_POSITION,195000.0,6423783465.0,3.0355942267116875e-05
2021-05-06,600519.SH,INITIAL_ENTRY,195900.0,10584968907.0,1.850737604627713e-05
2021-05-07,002594.SZ,ADD_POSITION,100765.0,5528741179.0,1.8225667785415424e-05
2021-05-24,000661.SZ,INITIAL_ENTRY,171688.0,7737609508.0,2.218876512474426e-05
2021-05-25,000661.SZ,ADD_POSITION,173416.0,5319782863.0,3.2598322989108815e-05
2021-05-27,000661.SZ,ADD_POSITION,166604.0,4705668032.0,3.540496245528609e-05
2021-05-28,000661.SZ,ADD_POSITION,200000.0,5831961939.0,3.429377662130178e-05
2021-06-07,002340.SZ,INITIAL_ENTRY,199549.0,5953320023.0,3.351894392188968e-05
2021-06-08,002340.SZ,ADD_POSITION,199820.0,2854707015.0,6.99966752980428e-05
2021-06-09,002340.SZ,ADD_POSITION,199080.0,2744943934.0,7.252607149243143e-05
2021-06-11,600031.SH,INITIAL_ENTRY,198030.0,6809871535.0,2.9079843721310374e-05
2021-06-15,002340.SZ,ADD_POSITION,57330.0,2622357504.0,2.1862007721125732e-05
2021-07-08,600031.SH,ADD_POSITION,197496.0,5076235112.0,3.8905999356319805e-05
2021-07-08,000858.SZ,INITIAL_ENTRY,188888.0,12010041260.0,1.5727506334978235e-05
2021-07-09,000858.SZ,ADD_POSITION,187096.0,5702882115.0,3.280727117046501e-05
2021-07-22,002241.SZ,INITIAL_ENTRY,198536.0,10210335275.0,1.9444611234864666e-05
2021-07-26,000858.SZ,ADD_POSITION,199632.0,11693393537.0,1.70722040071882e-05
2021-07-27,000858.SZ,ADD_POSITION,184920.0,10158683399.0,1.8203146287461144e-05
2021-07-28,000858.SZ,ADD_POSITION,189344.0,8397862028.999999,2.2546690972791168e-05
2021-08-16,300750.SZ,INITIAL_ENTRY,190800.0,10620462840.0,1.796531873181527e-05
2021-08-16,002460.SZ,INITIAL_ENTRY,196656.0,6547494120.0,3.0035307614755062e-05
2021-08-17,002460.SZ,ADD_POSITION,193320.0,4959774575.0,3.897757792752103e-05
2021-09-22,002466.SZ,INITIAL_ENTRY,189738.0,6017134718.0,3.1532948636234936e-05
2021-09-27,002466.SZ,ADD_POSITION,192360.0,8416512134.0,2.285507309172971e-05
2021-09-28,601919.SH,INITIAL_ENTRY,198271.0,6043676031.0,3.28063580812411e-05
2021-09-29,601919.SH,ADD_POSITION,198480.0,6814707975.0,2.9125239222007895e-05
2021-09-29,600111.SH,INITIAL_ENTRY,198960.0,6283256084.0,3.1665110786530214e-05
2021-10-27,000651.SZ,INITIAL_ENTRY,198558.0,5920209011.0,3.3539018577058815e-05
2021-10-28,000651.SZ,ADD_POSITION,197100.0,2272474226.0,8.673365697393833e-05
2021-11-15,601919.SH,ADD_POSITION,198696.0,3156421305.0,6.29497715293111e-05
2021-11-16,600030.SH,INITIAL_ENTRY,199283.0,5565688292.0,3.580563436986672e-05
2021-11-17,600030.SH,ADD_POSITION,199532.0,1628413109.0,0.00012253156087802043
2021-11-29,000651.SZ,ADD_POSITION,197391.0,1471557292.0,0.00013413748895343722
2021-12-01,601012.SH,INITIAL_ENTRY,193338.0,10072294774.0,1.919502996467804e-05
2021-12-02,601012.SH,ADD_POSITION,199512.0,5291846726.0,3.77017722413905e-05
2021-12-03,601012.SH,ADD_POSITION,197376.0,8287662740.0,2.3815640934249696e-05
2021-12-16,002594.SZ,INITIAL_ENTRY,171720.0,7928142188.0,2.1659550992906588e-05
2021-12-17,002594.SZ,ADD_POSITION,195286.0,4240478258.9999995,4.605282425054877e-05
2021-12-20,002594.SZ,ADD_POSITION,189350.0,5964658201.0,3.174532280294865e-05
2021-12-20,300750.SZ,INITIAL_ENTRY,183063.0,9648533093.0,1.8973143195499013e-05
2021-12-21,300750.SZ,ADD_POSITION,181221.0,7553655489.0,2.399116563681026e-05
2021-12-24,300750.SZ,ADD_POSITION,173040.0,14321299320.0,1.208270256305208e-05
2022-01-28,601012.SH,ADD_POSITION,70110.0,7340734965.0,9.550814780029317e-06
2022-02-08,000858.SZ,INITIAL_ENTRY,190000.0,5740104552.0,3.3100442383719146e-05
2022-02-10,601012.SH,ADD_POSITION,198650.0,5474501841.0,3.628640664841088e-05
2022-03-03,000858.SZ,ADD_POSITION,182070.0,5775912552.0,3.1522291648434916e-05
2022-03-03,300014.SZ,INITIAL_ENTRY,198775.0,5010489059.0,3.9671776080012395e-05
2022-03-04,000858.SZ,ADD_POSITION,194007.0,5577557113.0,3.478350755885841e-05
