version,exit,etf,range,total,ann,mdd,sharpe,trades,wr,stock_pnl,year
STRICT_V2_A_prev_etf_on_full,A_prev,etf_on,full,45.12,5.83,-40.55,0.349,100.0,68.0,184870.0,
STRICT_V2_A_prev_etf_on_train,A_prev,etf_on,train,34.44,7.76,-27.39,0.415,65.0,69.23,175468.0,
STRICT_V2_A_prev_etf_on_test,A_prev,etf_on,test,15.48,5.66,-28.7,0.338,37.0,64.86,-47234.0,
STRICT_V2_A_prev_stock_only_full,A_prev,stock_only,full,5.15,0.77,-39.86,0.158,100.0,70.0,51549.0,
STRICT_V2_A_prev_stock_only_train,A_prev,stock_only,train,12.17,2.94,-27.84,0.241,65.0,72.31,121724.0,
STRICT_V2_A_prev_stock_only_test,A_prev,stock_only,test,-11.22,-4.45,-30.01,-0.025,37.0,62.16,-112229.0,
STRICT_V2_B_confirm_etf_on_full,B_confirm,etf_on,full,74.43,8.83,-39.23,0.457,73.0,63.01,150366.0,
STRICT_V2_B_confirm_etf_on_train,B_confirm,etf_on,train,6.97,1.72,-39.23,0.197,47.0,63.83,-136050.0,
STRICT_V2_B_confirm_etf_on_test,B_confirm,etf_on,test,65.32,21.18,-24.28,0.849,28.0,60.71,280881.0,
STRICT_V2_B_confirm_stock_only_full,B_confirm,stock_only,full,23.4,3.25,-39.86,0.253,72.0,62.5,234042.0,
STRICT_V2_B_confirm_stock_only_train,B_confirm,stock_only,train,-5.37,-1.39,-39.86,0.075,46.0,65.22,-53741.0,
STRICT_V2_B_confirm_stock_only_test,B_confirm,stock_only,test,25.39,9.03,-24.3,0.465,28.0,64.29,253909.0,
STRICT_V2_A_prev_yearly_2020,,,,19.27,,,,,,,2020.0
STRICT_V2_A_prev_yearly_2021,,,,21.42,,,,,,,2021.0
STRICT_V2_A_prev_yearly_2022,,,,-0.4,,,,,,,2022.0
STRICT_V2_A_prev_yearly_2023,,,,-7.13,,,,,,,2023.0
STRICT_V2_A_prev_yearly_2024,,,,-0.02,,,,,,,2024.0
STRICT_V2_A_prev_yearly_2025,,,,19.85,,,,,,,2025.0
STRICT_V2_A_prev_yearly_2026,,,,-7.25,,,,,,,2026.0
STRICT_V2_B_confirm_yearly_2020,,,,26.57,,,,,,,2020.0
STRICT_V2_B_confirm_yearly_2021,,,,6.38,,,,,,,2021.0
STRICT_V2_B_confirm_yearly_2022,,,,-6.55,,,,,,,2022.0
STRICT_V2_B_confirm_yearly_2023,,,,-16.61,,,,,,,2023.0
STRICT_V2_B_confirm_yearly_2024,,,,30.62,,,,,,,2024.0
STRICT_V2_B_confirm_yearly_2025,,,,33.9,,,,,,,2025.0
STRICT_V2_B_confirm_yearly_2026,,,,-6.6,,,,,,,2026.0
ETF_BUYHOLD,,,,26.59,,,,,,,
