etf_mark,slippage_bp,total,ann,mdd,sharpe,trades,wr,stock_pnl
close,0,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
close,10,299.97,24.21,-45.77,0.648,100,72.0,1674284.0
close,20,244.34,21.34,-46.12,0.63,100,70.0,1430432.0
close,50,34.91,4.8,-61.52,0.647,82,62.2,459354.0
nav,0,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
nav,10,299.97,24.21,-45.77,0.648,100,72.0,1674284.0
nav,20,244.34,21.34,-46.12,0.63,100,70.0,1430432.0
nav,50,34.91,4.8,-61.52,0.647,82,62.2,459354.0
