K,train_total,train_sharpe,test_total,test_sharpe
1,102.24,0.705,77.17,0.679
2,114.1,0.622,101.86,0.74
3,155.29,0.693,94.54,0.731
4,81.81,0.645,100.58,0.754
5,77.45,0.73,100.3,0.756
8,72.18,0.725,97.64,0.753
