time_stop,total,ann,mdd,sharpe,trades,wr,stock_pnl
None,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
10,-25.2,-4.44,-97.09,0.95,168,53.57,113192.0
15,-15.69,-2.63,-92.83,1.116,135,51.85,217978.0
20,5.03,0.77,-83.91,0.785,140,53.57,-155097.0
30,66.54,8.31,-67.21,0.723,116,64.66,618206.0
40,213.91,19.59,-45.43,0.627,115,67.83,1057991.0
