ts_code,entry_date,exit_date,pnl,return_pct,D1_ret_vs_exitclose,D3_ret_vs_exitclose,D5_ret_vs_exitclose,D10_ret_vs_exitclose,D20_ret_vs_exitclose,post20_high_ret
000977.SZ,2020-04-13,2020-05-07,44285.388000000006,22.49,0.8488564017920419,2.7352039613298906,-0.5187455788729034,-2.7352039613298684,-9.832586654091003,5.022400377269509
000725.SZ,2020-04-28,2020-06-03,83272.78704000002,20.83,2.364066193853409,12.056737588652467,13.475177304964525,5.200945626477527,13.475177304964525,15.130023640661939
000063.SZ,2020-05-25,2020-06-19,28344.834599999973,14.42,-1.5861908094238375,-7.371121996734309,-6.391415908560749,5.784931187310494,-4.408677396780969,11.686494051784479
002714.SZ,2020-05-11,2020-06-22,-70698.56640000001,-35.66,0.06584145377930284,2.7126678957071437,9.665525414801168,15.683434290229116,23.149855148801677,30.379246773768777
600703.SH,2020-06-15,2020-07-07,45418.499579999974,22.73,2.925045703839113,3.400365630712976,6.325411334552089,-1.4990859232175469,-4.972577696526514,10.749542961608771
002456.SZ,2020-09-01,2020-10-29,-38849.78952000011,-3.9,-3.4375000000000044,0.5624999999999991,0.49999999999998934,1.5625,-5.500000000000005,8.000000000000007
300122.SZ,2020-11-11,2020-12-22,32786.433899999975,16.43,1.4130075932651032,2.0138659623638144,-4.463519313304721,-0.23109937273027015,-6.173654671508744,4.853086827335762
601012.SH,2020-11-13,2020-12-22,196654.43256,33.34,4.891922639362911,6.3139931740614275,0.5688282138794021,21.7292377701934,23.21956769055744,33.10580204778155
002475.SZ,2020-11-16,2020-12-24,17905.307119999954,4.44,1.4893235241342229,-0.41270410909742816,0.6998026197739149,7.679885160595723,3.158083617441254,13.51157365871165
002475.SZ,2021-01-28,2021-04-20,-55621.572999999975,-27.69,2.5808281338627337,6.04083947816223,8.90527509926262,-1.5882019285308968,-1.730005672149748,9.52921157118547
300750.SZ,2021-01-29,2021-04-20,5396.358000000007,1.53,-0.9220055710306374,3.481894150417819,-2.8969359331476263,2.3064066852367615,4.615598885793859,9.192200557103059
002594.SZ,2021-04-30,2021-06-11,206078.42015999998,41.17,2.3345960708307523,2.2376883094000544,6.854021672099386,11.721434234869177,17.381728482072067,20.214078054796936
600031.SH,2021-06-11,2021-08-04,47996.87232000008,6.7,-0.5619834710743898,3.9338842975206623,2.809917355371905,-3.6363636363636376,-4.6280991735537125,9.322314049586788
002460.SZ,2021-08-16,2021-08-31,116201.54160000006,29.79,-9.999999999999998,-18.03181818181817,-14.595454545454556,-17.36363636363636,-25.936363636363634,2.0000000000000018
000858.SZ,2021-09-16,2021-09-28,49273.4718,12.6,0.8020650871208623,5.199594357886972,5.71586613810271,0.9357426016409987,-7.200147506222921,12.786945699271701
300750.SZ,2021-08-16,2021-10-11,22987.75199999998,12.04,-3.0710172744721653,2.168905950095956,14.207293666026866,17.230326295585407,26.833013435700572,30.326295585412666
601318.SH,2021-01-28,2021-10-22,-277698.8367,-30.84,-1.9893166328973977,-4.86277399152698,-8.694050469699754,-8.030944925400629,-7.975686130042359,-0.5710075520353741
000858.SZ,2021-11-01,2021-11-25,44359.03116000001,12.13,-0.040367795469820056,-2.2202287508409912,-0.08970621215518282,12.58129625476565,6.3063467145099805,15.366674142184333
601919.SH,2021-09-28,2021-12-01,25156.048979999963,4.22,2.574605032182564,6.3779988297249846,10.122878876535978,7.372732592159159,13.809245172615569,16.910473961380923
000651.SZ,2021-10-27,2021-12-28,26560.42865999986,4.48,-2.5925925925925797,-2.037037037037026,3.3068783068783025,4.550264550264571,3.5978835978836,8.756613756613763
600036.SH,2021-11-26,2022-01-21,27809.21465999994,4.38,0.05789270551910253,-1.582400617522195,-5.0366653801620975,1.813971439598605,-3.8788112697800026,2.2771130837514475
000661.SZ,2022-01-24,2022-02-28,47709.41243999993,12.38,0.3845097500686512,-1.5819829717110823,-5.10848667948366,-0.02197198571821657,-9.129360065915959,5.992859104641579
601012.SH,2021-12-01,2022-03-02,16298.80547999998,1.91,-1.9487820112429777,-4.059962523422856,-2.3735165521548973,1.1867582760774598,-5.821361648969392,4.422236102435995
300059.SZ,2022-01-05,2022-05-05,-158310.49364,-35.15,-3.883928571428563,-2.0535714285714213,0.3571428571428559,-1.026785714285705,1.9196428571428559,2.9910714285714457
000858.SZ,2022-03-03,2022-05-31,-28378.408019999973,-4.01,-0.5775962660443446,0.8984830805134125,3.926487747957985,3.4305717619603326,12.018669778296376,16.610268378063008
002415.SZ,2022-05-06,2022-06-07,970.8897600000491,0.35,2.2929206076239605,-0.5159071367153878,-1.834336486099175,3.9839495557466353,4.01261106334192,7.451991974777883
300014.SZ,2022-03-03,2022-06-07,104268.35958999989,17.5,7.924318308291611,7.345575959933237,12.198107957707304,11.630495269894281,5.063995548135791,22.42626599888704
002241.SZ,2022-06-23,2022-08-08,4003.026179999986,2.01,-1.6338880484114915,6.959152798789736,6.838124054462957,13.28290468986384,-2.2390317700453743,16.490166414523454
600036.SH,2022-07-13,2022-09-01,-14609.516939999885,-1.85,-0.521739130434784,-2.5507246376811676,-3.4782608695652306,1.3043478260869712,-2.4637681159420333,4.521739130434788
601888.SH,2022-08-08,2022-09-28,53320.22933999996,9.1,-2.5829711576451975,-7.250098775187663,-10.593638877913857,-11.299881469774785,-9.966416436191217,0.5037534571315838
002594.SZ,2022-07-12,2022-11-07,-70375.36055999994,-9.29,-0.8856855995410085,-6.676706827309243,-5.410929432013756,-8.849684452094097,-5.5651176133103775,1.3339070567986333
300750.SZ,2022-09-01,2022-12-08,-9382.384079999989,-3.61,0.9822341665279399,-3.5817061859347854,0.7919708897186517,-4.392703403334375,-0.9061288558042224,2.2902941945917688
002241.SZ,2022-11-11,2023-01-06,18152.810100000002,9.05,0.5476451259583737,-2.081051478641849,-1.04052573932093,3.2311062431544357,22.070098576122653,29.189485213581577
300274.SZ,2022-12-13,2023-04-19,39445.85453999997,9.6,-3.134738771769008,-5.224564619615024,7.681026581118244,-1.191567369385882,4.307974335472053,10.540788267644373
603799.SH,2022-09-29,2023-07-20,-224518.93721999996,-23.08,-0.4794246903715549,1.7578905313623494,-2.1574111066720025,-0.1198561725928915,0.7191370355573268,5.793048341989615
300014.SZ,2023-01-11,2023-11-07,-214365.86334000004,-25.38,0.1906779661016822,0.21186440677964935,-0.6355932203389925,-5.021186440677972,-14.343220338983054,2.9661016949152463
300308.SZ,2023-07-21,2023-12-11,12754.654200000048,3.77,-4.319600499375786,-6.109030378693303,-5.626300457761135,-7.4074074074074066,-15.672076570952987,1.1235955056179803
601318.SH,2023-11-09,2024-01-26,-21927.41538000002,-3.46,-0.6545454545454632,-1.7939393939394033,-2.7878787878787836,3.5878787878787843,2.642424242424246,7.757575757575763
